badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-109924656,Mount Saint Thomas,NSW,2500,6 Grasmere Street,"6 Grasmere Street, Mount Saint Thomas, NSW 2500",295000,"$295,000",house,1,1,0,,,485.0,m²,OCOWOL,McGrath - Wollongong,,,23 Apr 2012,house,,485.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-140903064,Mount Saint Thomas,NSW,2500,14 Ocean Street,"14 Ocean Street, Mount Saint Thomas, NSW 2500",756000,"$756,000",house,2,1,1,,,460.0,m²,QWESSB,First National Real Estate - Wollongong,,,24 Nov 2022,house,,460.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-140667399,Mount Saint Thomas,NSW,2500,48 Ocean Street,"48 Ocean Street, Mount Saint Thomas, NSW 2500",827500,"$827,500",house,2,1,1,,,525.0,m²,PFSWOL,Stone Real Estate - Illawarra,,,12 Nov 2022,house,,525.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-140589635,Mount Saint Thomas,NSW,2500,18 Prospect Street,"18 Prospect Street, Mount Saint Thomas, NSW 2500",740000,"$740,000",house,2,1,1,,,464.0,m²,OCOWOL,McGrath - Wollongong,,,25 Oct 2022,house,,464.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-137623418,Mount Saint Thomas,NSW,2500,26 Mount Street,"26 Mount Street, Mount Saint Thomas, NSW 2500",765000,"$765,000",house,2,1,1,,,582.0,m²,FLVFJQ,Belle Property - Illawarra,,,09 Nov 2021,house,,582.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-135731878,Mount Saint Thomas,NSW,2500,96 The Avenue,"96 The Avenue, Mount Saint Thomas, NSW 2500",725000,"$725,000",house,2,1,2,,,481.0,m²,OCOWOL,McGrath - Wollongong,,,19 Mar 2021,house,,481.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-134083654,Mount Saint Thomas,NSW,2500,344 Gladstone Avenue,"344 Gladstone Avenue, Mount Saint Thomas, NSW 2500",543000,"$543,000",house,2,1,1,,,531.0,m²,XRHWOM,Raine & Horne - Wollongong,,,11 Aug 2020,house,,531.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-132629762,Mount Saint Thomas,NSW,2500,49 The Avenue,"49 The Avenue, Mount Saint Thomas, NSW 2500",641000,"$641,000",house,2,1,1,,,-1.0,,OCOWOL,McGrath - Wollongong,,,20 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-131367982,Mount Saint Thomas,NSW,2500,99 The Avenue,"99 The Avenue, Mount Saint Thomas, NSW 2500",595000,"$595,000",house,2,1,1,,,-1.0,,XHNXYA,One Agency JD Property Agents - FAIRY MEADOW,,,24 Jun 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+saint+thomas-130145618,Mount Saint Thomas,NSW,2500,6 Grasmere  Street,"6 Grasmere  Street, Mount Saint Thomas, NSW 2500",520000,"$520,000",house,2,1,1,61,m²,474.0,m²,FANWOL,All Residential Real Estate - Wollongong,,,18 Jun 2019,house,61,474.0
