badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+white-106096223,Mount White,NSW,2250,"L158,178 & 200 Pacific Highway","L158,178 & 200 Pacific Highway, Mount White, NSW 2250",175000,"Range: $145,000 - $175,000",acreage,0,1,0,,,1000.0,m²,,,,,30 Jun 2011,house,,1000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-127378950,Mount White,NSW,2250,"Site 26, 165 Glenworth Valley Rd","Site 26, 165 Glenworth Valley Rd, Mount White, NSW 2250",,Contact agent,house,1,1,1,,,125.0,m²,,,,,23 May 2018,house,,125.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-127902458,Mount White,NSW,2250,7/165 Glenworth Valley Road,"7/165 Glenworth Valley Road, Mount White, NSW 2250",235000,"$235,000",house,2,1,3,,,-1.0,,MWXJCK,buymyplace,,,02 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-136016306,Mount White,NSW,2250,"Site 18 Neverfail Park, 165 Glenworth Valley Road Road","Site 18 Neverfail Park, 165 Glenworth Valley Road Road, Mount White, NSW 2250",175000,"$175,000",house,2,1,0,,,210.0,m²,JXEEYT,Riverfront Real Estate - BAR POINT,,,17 Jun 2021,house,,210.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-130704206,Mount White,NSW,2250,97 Morgans Road,"97 Morgans Road, Mount White, NSW 2250",2040000,"$2,040,000",house,2,1,1,,,16.92,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,29 Nov 2019,house,,169200.00000000003
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-129184050,Mount White,NSW,2250,Site 10 165 Glenworth Valley Road,"Site 10 165 Glenworth Valley Road, Mount White, NSW 2250",75000,"$75,000",house,2,1,1,,,165.0,m²,,,,,12 Aug 2019,house,,165.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+white-126693466,Mount White,NSW,2250,97 Morgans Road,"97 Morgans Road, Mount White, NSW 2250",2350000,"$2,350,000",acreage,2,1,1,,,16.92,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,18 Oct 2017,house,,169200.00000000003
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-105450624,Mount White,NSW,2250,,,275000,"$275,000",house,2,1,2,,,860.0,m²,,,,,06 May 2009,house,,860.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-121356466,Mount White,NSW,2250,20 Ashbrookes Road,"20 Ashbrookes Road, Mount White, NSW 2250",1500000,"$1,500,000",house,3,3,22,,,-1.0,,BCUSHO,DiJones - Central Coast,,,24 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+white-116694903,Mount White,NSW,2250,161 Glenworth Valley Road,"161 Glenworth Valley Road, Mount White, NSW 2250",590000,"$590,000",acreage,3,2,6,185.81,m²,11.44,ha,TEQIJG,33Degrees Real Estate - Pitt Town,,,12 Feb 2015,house,185.81,114400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-122792410,Mount White,NSW,2250,,,,Contact agent,house,3,1,2,,,-1.0,,,,,,17 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+white-111501935,Mount White,NSW,2250,131 Pacific Highway,"131 Pacific Highway, Mount White, NSW 2250",,Contact agent,acreage,3,1,3,,,-1.0,,,,,,08 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-104861385,Mount White,NSW,2250,,,445000,"$445,000",house,3,1,3,135,m²,765.0,m²,,,,,24 Oct 2009,house,135,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-104192200,Mount White,NSW,2250,,,,Contact agent,house,3,2,2,,,932.0,m²,,,,,10 Sep 2008,house,,932.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+white-134409914,Mount White,NSW,2250,231 Pacific Highway,"231 Pacific Highway, Mount White, NSW 2250",2300000,"$2,300,000",acreage,4,4,3,,,3.24,ha,YDNNTE,Raine & Horne  -  Wyong,,,25 Sep 2020,house,,32400.000000000004
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+white-111461119,Mount White,NSW,2250,46 Ernbrook Road,"46 Ernbrook Road, Mount White, NSW 2250",,Contact agent,acreage,5,3,6,,,-1.0,,,,,,08 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+white-118208387,Mount White,NSW,2250,229 Morgans Road,"229 Morgans Road, Mount White, NSW 2250",3395000,"$3,395,000",house,6,6,5,,,20.23,ha,BCUSHO,DiJones - Central Coast,,,25 May 2015,house,,202300.0
Sold,https://www.realestate.com.au/sold/property-residential+land-nsw-mount+white-202111146,Mount White,NSW,2250,131 Morgans Road,"131 Morgans Road, Mount White, NSW 2250",1650000,"$1,650,000",residential-land,,,,,,2.02,ha,BCUSHO,DiJones - Central Coast,,,18 Jun 2018,land,,20200.0
Sold,https://www.realestate.com.au/sold/property-residential+land-nsw-mount+white-202443718,Mount White,NSW,2250,131 Morgans Road,"131 Morgans Road, Mount White, NSW 2250",1650000,"$1,650,000",residential-land,,,,,,2.02,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,28 Aug 2020,land,,20200.0
Sold,https://www.realestate.com.au/sold/property-residential+land-nsw-mount+white-200444551,Mount White,NSW,2250,175 Glenworth Valley Road,"175 Glenworth Valley Road, Mount White, NSW 2250",310000,"$310,000",residential-land,,,,,,11.44,ha,,,,,13 Mar 2015,land,,114400.0
Sold,https://www.realestate.com.au/sold/property-residential+land-nsw-mount+white-2698116,Mount White,NSW,2250,,,,Contact agent,residential-land,,,,,,-1.0,,,,,,30 Jun 2011,land,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+white-126693466,Mount White,NSW,2250,97 Morgans Road,"97 Morgans Road, Mount White, NSW 2250",2350000,"$2,350,000",acreage,2,1,1,,,16.92,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,18 Oct 2017,acreage,,169200.00000000003
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+white-116694903,Mount White,NSW,2250,161 Glenworth Valley Road,"161 Glenworth Valley Road, Mount White, NSW 2250",590000,"$590,000",acreage,3,2,6,185.81,m²,11.44,ha,TEQIJG,33Degrees Real Estate - Pitt Town,,,12 Feb 2015,acreage,185.81,114400.0
