badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-narara-119322776,Narara,NSW,2250,21-27 Hanlan Street South,"21-27 Hanlan Street South, Narara, NSW 2250",525000,"$525,000",acreage,1,1,0,,,3.7,ha,XRWXCG,Stone Real Estate - Gosford,,,02 May 2015,house,,37000.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-narara-119450071,Narara,NSW,2250,75 Showground Road,"75 Showground Road, Narara, NSW 2250",450000,"$450,000",residential-other,1,1,0,,,1657.0,m²,XRWXCG,Stone Real Estate - Gosford,,,02 May 2015,house,,1657.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-117712559,Narara,NSW,2250,7 Baree Avenue,"7 Baree Avenue, Narara, NSW 2250",445000,"$445,000",house,1,1,1,,,-1.0,,UHULSH,Wiseberry  - Kariong,,,16 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-106565668,Narara,NSW,2250,,,,Contact agent,house,1,1,0,,,-1.0,,,,,,24 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-140697011,Narara,NSW,2250,2/6 Argyle Avenue,"2/6 Argyle Avenue, Narara, NSW 2250",611000,"$611,000",house,2,2,1,134,m²,588.0,m²,ZRRWDY,The Agency Central Coast,,,04 Jan 2023,house,134,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-139190059,Narara,NSW,2250,13 Kimberley Avenue,"13 Kimberley Avenue, Narara, NSW 2250",840000,"$840,000",house,2,1,4,,,-1.0,,PTRTER,Property Central - CENTRAL COAST,,,13 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-138233018,Narara,NSW,2250,14 Barree Avenue,"14 Barree Avenue, Narara, NSW 2250",742000,"$742,000",house,2,1,1,,,438.0,m²,PTRTER,Property Central - CENTRAL COAST,,,03 Feb 2022,house,,438.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-137759658,Narara,NSW,2250,13 Narara Crescent,"13 Narara Crescent, Narara, NSW 2250",665000,"$665,000",house,2,1,1,,,620.0,m²,HRELIS,LJ Hooker - East Gosford,,,27 Nov 2021,house,,620.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-136885442,Narara,NSW,2250,680 Pacific Highway,"680 Pacific Highway, Narara, NSW 2250",675000,"$675,000",house,2,1,1,,,588.0,m²,KLASEA,Stone Real Estate Seaforth - Seaforth,,,20 Aug 2021,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-134167798,Narara,NSW,2250,1/13 Orchard Downs Road,"1/13 Orchard Downs Road, Narara, NSW 2250",555000,"$555,000",house,2,1,1,,,-1.0,,FTSNJG,One Agency Kylee Jones Properties - Wyoming,,,28 Aug 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-130680818,Narara,NSW,2250,13 Kimberley Ave,"13 Kimberley Ave, Narara, NSW 2250",531000,"$531,000",house,2,1,3,,,-1.0,,GYCLMP,Harcourts Coastside Property - ERINA,,,09 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-131391118,Narara,NSW,2250,14 Barree Avenue,"14 Barree Avenue, Narara, NSW 2250",476000,"$476,000",house,2,1,1,,,438.0,m²,PTRTER,Property Central - CENTRAL COAST,,,10 Jul 2019,house,,438.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-128184562,Narara,NSW,2250,6/11 Berrys Head Road,"6/11 Berrys Head Road, Narara, NSW 2250",457000,"$457,000",house,2,2,1,,,-1.0,,PTRTER,Property Central - CENTRAL COAST,,,06 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-126411630,Narara,NSW,2250,13 Kimberley Avenue,"13 Kimberley Avenue, Narara, NSW 2250",561000,"$561,000",house,2,1,3,,,462.0,m²,HRELIS,LJ Hooker - East Gosford,,,19 Sep 2017,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-126245718,Narara,NSW,2250,61 Berrys Head Road,"61 Berrys Head Road, Narara, NSW 2250",538000,"$538,000",house,2,1,1,,,664.0,m²,PTRTER,Property Central - CENTRAL COAST,,,08 Sep 2017,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-125282686,Narara,NSW,2250,680 Pacific Highway,"680 Pacific Highway, Narara, NSW 2250",500000,"$500,000",house,2,1,2,,,588.0,m²,XGBTEA,Brand Property - Premier,,,11 May 2017,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-122591318,Narara,NSW,2250,38 The Ridge,"38 The Ridge, Narara, NSW 2250",387500,"$387,500",house,2,1,2,,,626.0,m²,KATWYO,McGrath - Gosford,,,13 May 2016,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-122419602,Narara,NSW,2250,672 Pacific Highway,"672 Pacific Highway, Narara, NSW 2250",413000,"$413,000",house,2,1,2,,,556.0,m²,OSQXQV,Gittoes - East Gosford,,,29 Apr 2016,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-138122602,Narara,NSW,2250,648 Pacific Highway,"648 Pacific Highway, Narara, NSW 2250",670000,"$670,000",house,2,1,1,,,-1.0,,XRWXCG,Stone Real Estate - Gosford,,,14 Jan 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-137754190,Narara,NSW,2250,13/66 Reeves Street,"13/66 Reeves Street, Narara, NSW 2250",472000,"$472,000",house,2,1,1,,,-1.0,,XRWBUG,Raine & Horne - Toukley,,,02 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-131607578,Narara,NSW,2250,28  Reeves Street,"28  Reeves Street, Narara, NSW 2250",370000,"$370,000",house,2,2,1,,,662.0,m²,,,,,23 Aug 2019,house,,662.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-125330582,Narara,NSW,2250,82 Narara Valley Drive,"82 Narara Valley Drive, Narara, NSW 2250",435000,"$435,000",house,2,1,1,,,-1.0,,FTSNJG,One Agency Kylee Jones Properties - Wyoming,,,24 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-124706938,Narara,NSW,2250,721 Pacific Highway,"721 Pacific Highway, Narara, NSW 2250",440000,"$440,000",house,2,1,1,,,-1.0,,,,,,13 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-123842086,Narara,NSW,2250,694 Pacific Highway,"694 Pacific Highway, Narara, NSW 2250",440000,"$440,000",house,2,1,1,,,-1.0,,,,,,27 Oct 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-121601734,Narara,NSW,2250,8/171 Narara Valley Drive,"8/171 Narara Valley Drive, Narara, NSW 2250",365000,"$365,000",house,2,1,1,,,-1.0,,,,,,27 Jan 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-121455906,Narara,NSW,2250,680 Pacific Highway,"680 Pacific Highway, Narara, NSW 2250",410000,"$410,000",house,2,1,1,,,588.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,23 Dec 2015,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-119288851,Narara,NSW,2250,6 Dena Avenue,"6 Dena Avenue, Narara, NSW 2250",402000,"$402,000",house,2,1,1,,,-1.0,,FTSNJG,One Agency Kylee Jones Properties - Wyoming,,,24 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-118953423,Narara,NSW,2250,85 Maliwa Road,"85 Maliwa Road, Narara, NSW 2250",395000,"$395,000",house,2,2,1,,,487.0,m²,KATWYO,McGrath - Gosford,,,06 Feb 2015,house,,487.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-115824723,Narara,NSW,2250,13 Kimberley Avenue,"13 Kimberley Avenue, Narara, NSW 2250",350000,"$350,000",house,2,1,2,,,462.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,24 Jan 2014,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-111309739,Narara,NSW,2250,35 Maliwa Road,"35 Maliwa Road, Narara, NSW 2250",262500,"$262,500",house,2,1,1,,,651.0,m²,,,,,07 Sep 2012,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-109967031,Narara,NSW,2250,70 Manns Road,"70 Manns Road, Narara, NSW 2250",252000,"$252,000",house,2,1,0,,,632.0,m²,KATWYO,McGrath - Gosford,,,22 May 2012,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-108578526,Narara,NSW,2250,4 Goonak Parade,"4 Goonak Parade, Narara, NSW 2250",270000,"$270,000",house,2,1,2,,,613.0,m²,KATWYO,McGrath - Gosford,,,28 Nov 2011,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-106904295,Narara,NSW,2250,15 Holcombe Ave,"15 Holcombe Ave, Narara, NSW 2250",270000,"$270,000",house,2,1,1,100,m²,-1.0,,XRWXCG,Stone Real Estate - Gosford,,,11 Nov 2010,house,100,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-106191908,Narara,NSW,2250,648 Pacific Highway,"648 Pacific Highway, Narara, NSW 2250",267000,"$267,000",house,2,1,1,,,650.0,m²,KATWYO,McGrath - Gosford,,,21 Dec 2009,house,,650.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-105832692,Narara,NSW,2250,54 Manns Road,"54 Manns Road, Narara, NSW 2250",260000,"$260,000",house,2,1,1,,,601.0,m²,KATWYO,McGrath - Gosford,,,06 Jul 2009,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narara-105689164,Narara,NSW,2250,34 Narara Creek Road,"34 Narara Creek Road, Narara, NSW 2250",333000,"$333,000",house,2,1,0,,,3701.0,m²,KATWYO,McGrath - Gosford,,,14 May 2009,house,,3701.0
