badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-117403859,Narraweena,NSW,2099,61 May Road,"61 May Road, Narraweena, NSW 2099",900000,"$900,000",house,1,1,1,,,-1.0,,DOYDEE,Doyle Spillane - Dee Why,,,09 Jul 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-134688090,Narraweena,NSW,2099,2A Rayner Avenue,"2A Rayner Avenue, Narraweena, NSW 2099",1465000,"$1,465,000",house,2,1,2,,,470.0,m²,LIECOL,BowerGray - Dee Why,,,28 Nov 2020,house,,470.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-133901078,Narraweena,NSW,2099,71 McIntosh Road,"71 McIntosh Road, Narraweena, NSW 2099",1400000,"$1,400,000",house,2,1,3,,,550.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,23 Jul 2020,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-133197038,Narraweena,NSW,2099,58 Edward Street,"58 Edward Street, Narraweena, NSW 2099",1400000,"$1,400,000",house,2,1,1,,,563.0,m²,XRHCOL,UPSTATE - DEE WHY,,,22 Mar 2020,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-132868206,Narraweena,NSW,2099,14 Ronald Avenue,"14 Ronald Avenue, Narraweena, NSW 2099",1550000,"$1,550,000",house,2,1,2,,,673.0,m²,XRHCOL,UPSTATE - DEE WHY,,,23 Feb 2020,house,,673.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-131932538,Narraweena,NSW,2099,124 Warringah Road,"124 Warringah Road, Narraweena, NSW 2099",1220000,"$1,220,000",house,2,2,1,,,451.0,m²,XLJDEE,LJ Hooker - Dee Why,,,28 Sep 2019,house,,451.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-131094282,Narraweena,NSW,2099,32 Edward Street,"32 Edward Street, Narraweena, NSW 2099",1355000,"$1,355,000",house,2,1,1,,,689.0,m²,LIECOL,BowerGray - Dee Why,,,25 May 2019,house,,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-130577214,Narraweena,NSW,2099,67 Oceana Street,"67 Oceana Street, Narraweena, NSW 2099",1150000,"$1,150,000",house,2,1,1,,,600.0,m²,LIECOL,BowerGray - Dee Why,,,16 Mar 2019,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-128713082,Narraweena,NSW,2099,4 Lascelles Road,"4 Lascelles Road, Narraweena, NSW 2099",1320000,"$1,320,000",house,2,1,1,,,613.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,17 Jul 2018,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-125954514,Narraweena,NSW,2099,86 Victor Road,"86 Victor Road, Narraweena, NSW 2099",1465000,"$1,465,000",house,2,1,2,,,581.7,m²,ABCBAP,Ray White - Bankstown,,,13 Aug 2017,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-125552810,Narraweena,NSW,2099,80 Warringah Road,"80 Warringah Road, Narraweena, NSW 2099",1414000,"$1,414,000",house,2,1,2,,,575.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,16 Jun 2017,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-122515618,Narraweena,NSW,2099,18 Edward Street,"18 Edward Street, Narraweena, NSW 2099",931000,"$931,000",house,2,1,1,,,278.5,m²,QJWEGU,Clarke & Humel Property - Manly,,,05 May 2016,house,,278.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-124073018,Narraweena,NSW,2099,5 Waratah Parade,"5 Waratah Parade, Narraweena, NSW 2099",1266888,"$1,266,888",house,2,1,2,,,550.0,m²,PZQDEE,First National Real Estate Caputo - Dee Why,,,23 Nov 2016,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-narraweena-120610801,Narraweena,NSW,2099,1 Karoola Street,"1 Karoola Street, Narraweena, NSW 2099",1280000,"$1,280,000",house,2,1,1,,,813.0,m²,XLJDEE,LJ Hooker - Dee Why,,,26 Sep 2015,house,,813.0
