badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-neutral+bay-140010179,Neutral Bay,NSW,2089,2 Military Rd,"2 Military Rd, Neutral Bay, NSW 2089",1075000,"$1,075,000",duplex-semi-detached,1,2,0,,,-1.0,,CSENEU,Croll Real Estate - Neutral Bay,,,19 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-122184070,Neutral Bay,NSW,2089,115B Kurraba Road,"115B Kurraba Road, Neutral Bay, NSW 2089",770000,"$770,000",house,1,1,0,,,-1.0,,STRSTR,Strathfield Partners - Strathfield,,,28 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-neutral+bay-139492387,Neutral Bay,NSW,2089,2/70 Kurraba Road,"2/70 Kurraba Road, Neutral Bay, NSW 2089",1725000,"$1,725,000",duplex-semi-detached,2,1,1,,,-1.0,,LQEJRJ,Belle Property - Neutral Bay ,,,17 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-136937002,Neutral Bay,NSW,2089,28 Holdsworth Street,"28 Holdsworth Street, Neutral Bay, NSW 2089",2910000,"$2,910,000",house,2,2,1,,,380.0,m²,OXTDXY,The Good Apple group - Neutral Bay,,,11 Aug 2021,house,,380.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-neutral+bay-136644454,Neutral Bay,NSW,2089,345 Ernest Street,"345 Ernest Street, Neutral Bay, NSW 2089",1625000,"$1,625,000",duplex-semi-detached,2,1,0,,,-1.0,,OGOMOS,O'Gorman & Partners Real Estate Co - Mosman,,,17 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-neutral+bay-135959930,Neutral Bay,NSW,2089,19 Holdsworth Street,"19 Holdsworth Street, Neutral Bay, NSW 2089",2500000,"$2,500,000",duplex-semi-detached,2,1,2,,,297.0,m²,PCSWUZ,David Murphy Residential - Mosman,,,22 Apr 2021,house,,297.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-134223762,Neutral Bay,NSW,2089,2 Byrnes Avenue,"2 Byrnes Avenue, Neutral Bay, NSW 2089",1745000,"$1,745,000",house,2,1,1,,,259.3,m²,MZFYLJ,McGrath - Northbridge,,,12 Sep 2020,house,,259.3
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-neutral+bay-127614150,Neutral Bay,NSW,2089,60 Military Road,"60 Military Road, Neutral Bay, NSW 2089",1375000,"$1,375,000",duplex-semi-detached,2,1,0,,,158.0,m²,LQEJRJ,Belle Property - Neutral Bay ,,,17 Mar 2018,house,,158.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-126589218,Neutral Bay,NSW,2089,7/17 Wyagdon Street,"7/17 Wyagdon Street, Neutral Bay, NSW 2089",2470000,"$2,470,000",house,2,1,1,,,246.0,m²,XMHMOS,DiJones - Neutral Bay  ,,,28 Oct 2017,house,,246.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-125959750,Neutral Bay,NSW,2089,24 Waters Road,"24 Waters Road, Neutral Bay, NSW 2089",1871000,"$1,871,000",house,2,1,1,,,-1.0,,XRHNEU,Raine & Horne  - Neutral Bay,,,08 Aug 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-125158330,Neutral Bay,NSW,2089,7 Eaton Street,"7 Eaton Street, Neutral Bay, NSW 2089",1775000,"$1,775,000",house,2,1,0,,,212.0,m²,XMHMOS,DiJones - Neutral Bay  ,,,29 Apr 2017,house,,212.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-124878850,Neutral Bay,NSW,2089,29 Barry Street,"29 Barry Street, Neutral Bay, NSW 2089",1865000,"$1,865,000",house,2,1,1,,,185.6,m²,XMHMOS,DiJones - Neutral Bay  ,,,16 Mar 2017,house,,185.6
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-neutral+bay-124855494,Neutral Bay,NSW,2089,4/17 MERLIN STREET,"4/17 MERLIN STREET, Neutral Bay, NSW 2089",1620000,"$1,620,000",duplex-semi-detached,2,1,2,,,291.0,m²,XCENOR,Blues Point Real Estate - Mcmahons Point,,,25 Mar 2017,house,,291.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-119872877,Neutral Bay,NSW,2089,12 Penshurst Avenue,"12 Penshurst Avenue, Neutral Bay, NSW 2089",2310000,"$2,310,000",house,2,2,2,,,670.0,m²,XCEMOS,Century 21 Mosman - MOSMAN,,,13 Jun 2015,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-119668772,Neutral Bay,NSW,2089,7 Eaton Street,"7 Eaton Street, Neutral Bay, NSW 2089",1408000,"$1,408,000",house,2,1,0,,,-1.0,,PCSWUZ,David Murphy Residential - Mosman,,,05 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-neutral+bay-118115955,Neutral Bay,NSW,2089,19a Holdsworth Street,"19a Holdsworth Street, Neutral Bay, NSW 2089",1405000,"$1,405,000",duplex-semi-detached,2,1,2,,,-1.0,,OGOMOS,O'Gorman & Partners Real Estate Co - Mosman,,,02 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-116353303,Neutral Bay,NSW,2089,52 Raymond Road,"52 Raymond Road, Neutral Bay, NSW 2089",1311000,"$1,311,000",house,2,2,0,,,-1.0,,XRHNEU,Raine & Horne  - Neutral Bay,,,07 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-115141787,Neutral Bay,NSW,2089,25 Park Avenue,"25 Park Avenue, Neutral Bay, NSW 2089",1048000,"$1,048,000",house,2,2,1,,,-1.0,,XRWNEU,The Agency - North,,,31 Oct 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-neutral+bay-114149431,Neutral Bay,NSW,2089,4 Laycock Street,"4 Laycock Street, Neutral Bay, NSW 2089",1100000,"$1,100,000",house,2,1,2,,,-1.0,,XMHMOS,DiJones - Neutral Bay  ,,,01 Jul 2013,house,,-1.0
