badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-116374271,Newington,NSW,2127,10 Newington Boulevard,"10 Newington Boulevard, Newington, NSW 2127",1100000,"$1,100,000",house,0,4,2,,,-1.0,,EAZEAS,C J Real Estate - Rhodes,,,01 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-128124034,Newington,NSW,2127,12/5 Sandpiper Crescent,"12/5 Sandpiper Crescent, Newington, NSW 2127",,Contact agent,house,2,2,2,,,-1.0,,MBXNEW,Newington Village Real Estate - Newington,,,04 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-111071335,Newington,NSW,2127,20/20/3 Owens Avenue,"20/20/3 Owens Avenue, Newington, NSW 2127",483000,"$483,000",house,2,2,1,,,-1.0,,REFQEI,Green Park Realty - Newington,,,24 Jul 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-106917746,Newington,NSW,2127,,,,Contact agent,house,2,2,2,,,-1.0,,XFNKEM,First National Walsh & Sullivan - Kellyville,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-141620832,Newington,NSW,2127,33 Tooth Avenue,"33 Tooth Avenue, Newington, NSW 2127",1610000,"$1,610,000",house,3,2,1,,,-1.0,,MBXNEW,Newington Village Real Estate - Newington,,,04 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-141438512,Newington,NSW,2127,13 Manton Avenue,"13 Manton Avenue, Newington, NSW 2127",1580000,"$1,580,000",house,3,2,2,,,220.0,m²,XLJCON,Horwood Nolan,,,03 Mar 2023,house,,220.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-140753795,Newington,NSW,2127,1 Janet Avenue,"1 Janet Avenue, Newington, NSW 2127",1550000,"$1,550,000",house,3,2,2,,,293.0,m²,XLJCON,Horwood Nolan,,,01 Dec 2022,house,,293.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-140369435,Newington,NSW,2127,2 Baker Avenue,"2 Baker Avenue, Newington, NSW 2127",1585000,"$1,585,000",house,3,2,1,,,312.0,m²,XYTNSW,Leader Properties Real Estate - Burwood,,,17 Sep 2022,house,,312.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-138845055,Newington,NSW,2127,4 Spitz Avenue,"4 Spitz Avenue, Newington, NSW 2127",1791000,"$1,791,000",house,3,2,2,,,-1.0,,XLJCON,Horwood Nolan,,,05 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newington-138871535,Newington,NSW,2127,4 Janet Avenue,"4 Janet Avenue, Newington, NSW 2127",1740000,"$1,740,000",house,3,2,2,,,301.0,m²,XLJCON,Horwood Nolan,,,31 Mar 2022,house,,301.0
