badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-105153213,Newport,NSW,2106,5 Walworth Avenue,"5 Walworth Avenue, Newport, NSW 2106",765000,"$765,000",house,0,1,0,,,578.0,m²,,,,,07 Aug 2009,house,,578.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-newport-106537510,Newport,NSW,2106,Berth 60 /79-81 Beaconsfield Street,"Berth 60 /79-81 Beaconsfield Street, Newport, NSW 2106",,Contact agent,residential-other,0,1,0,,,-1.0,,XLJAVA,LJ Hooker - Avalon Beach,,,21 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-137621566,Newport,NSW,2106,20 Karloo Parade,"20 Karloo Parade, Newport, NSW 2106",4650000,"$4,650,000",house,1,1,0,,,1661.0,m²,TSKVOJ,Multi Dynamic Auburn - AUBURN,,,15 Nov 2021,house,,1661.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-136214834,Newport,NSW,2106,88 Wallumatta Road,"88 Wallumatta Road, Newport, NSW 2106",1900000,"$1,900,000",house,1,1,1,,,-1.0,,CLHQPJ,Raine & Horne Mona Vale,,,04 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-111571899,Newport,NSW,2106,29 Beaconsfield Street,"29 Beaconsfield Street, Newport, NSW 2106",740000,"$740,000",house,1,1,2,,,658.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,28 Sep 2012,house,,658.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-newport-105394804,Newport,NSW,2106,84 Bungan Head Road,"84 Bungan Head Road, Newport, NSW 2106",1240000,"$1,240,000",residential-other,1,1,0,,,739.0,m²,XLJAVA,LJ Hooker - Avalon Beach,,,22 Jan 2010,house,,739.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-newport-105700678,Newport,NSW,2106,35 Karloo Parade,"35 Karloo Parade, Newport, NSW 2106",1450000,"$1,450,000",residential-other,1,1,0,,,788.0,m²,,,,,17 Jun 2009,house,,788.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-105649514,Newport,NSW,2106,88 Grandview Drive,"88 Grandview Drive, Newport, NSW 2106",600000,"$600,000",house,1,1,0,,,580.0,m²,TYJZDG,LJ Hooker - Newport,,,03 Apr 2009,house,,580.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-newport-128388122,Newport,NSW,2106,Berth 40/79-81 Beaconsfield Street,"Berth 40/79-81 Beaconsfield Street, Newport, NSW 2106",,Contact agent,residential-other,1,1,1,,,-1.0,,TYJZDG,LJ Hooker - Newport,,,23 Jul 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-newport-128978942,Newport,NSW,2106,30 Neptune Road,"30 Neptune Road, Newport, NSW 2106",1070000,"$1,070,000",residential-other,1,1,0,,,404.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,10 Aug 2018,house,,404.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-120288797,Newport,NSW,2106,29 Elvina Evenue,"29 Elvina Evenue, Newport, NSW 2106",,Contact agent,house,1,1,0,,,597.0,m²,,,,,30 Jul 2015,house,,597.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-112573915,Newport,NSW,2106,,,1600000,"$1,600,000",house,1,1,0,,,-1.0,,XRXMON,Domain Residential Northern Beaches,,,30 Aug 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-109880996,Newport,NSW,2106,5/326-330 Barrenjoey Road,"5/326-330 Barrenjoey Road, Newport, NSW 2106",,Contact agent,house,1,1,1,,,-1.0,,,,,,17 Apr 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-newport-105663970,Newport,NSW,2106,172 Prince Alfred Parade,"172 Prince Alfred Parade, Newport, NSW 2106",,Contact agent,house,1,1,2,,,1200.0,m²,XLJAVA,LJ Hooker - Avalon Beach,,,28 Apr 2009,house,,1200.0
