badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-niagara+park-131360830,Niagara Park,NSW,2250,61 Glen Road,"61 Glen Road, Niagara Park, NSW 2250",700000,"$700,000",acreage,1,1,0,,,-1.0,,KATWYO,McGrath - Gosford,,,26 Jul 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-141862796,Niagara Park,NSW,2250,31 Cristina Avenue,"31 Cristina Avenue, Niagara Park, NSW 2250",725000,"$725,000",house,2,1,1,,,658.0,m²,FTSNJG,One Agency Kylee Jones Properties - Wyoming,,,03 May 2023,house,,658.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-niagara+park-137870646,Niagara Park,NSW,2250,88 Glen Road,"88 Glen Road, Niagara Park, NSW 2250",1800000,"$1,800,000",acreage,2,1,0,,,3.21,ha,OSQXQV,Gittoes - East Gosford,,,26 Nov 2021,house,,32100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-133815134,Niagara Park,NSW,2250,36A Marril Road,"36A Marril Road, Niagara Park, NSW 2250",580000,"$580,000",house,2,2,1,,,-1.0,,KATWYO,McGrath - Gosford,,,23 Jun 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-118127527,Niagara Park,NSW,2250,3 Cristina Avenue,"3 Cristina Avenue, Niagara Park, NSW 2250",340000,"$340,000",house,2,1,2,,,-1.0,,XLJGOS,LJ Hooker - Gosford/Lisarow,,,23 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-118063831,Niagara Park,NSW,2250,16 Cristina Avenue,"16 Cristina Avenue, Niagara Park, NSW 2250",401000,"$401,000",house,2,1,2,,,885.0,m²,,,,,13 Oct 2014,house,,885.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-117080783,Niagara Park,NSW,2250,761 Pacific Highway,"761 Pacific Highway, Niagara Park, NSW 2250",341750,"$341,750",house,2,1,1,,,519.0,m²,,,,,10 Jun 2014,house,,519.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-111233971,Niagara Park,NSW,2250,18 Delaware Road,"18 Delaware Road, Niagara Park, NSW 2250",255000,"$255,000",house,2,1,1,,,803.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,07 Sep 2012,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-106169018,Niagara Park,NSW,2250,27 Washington Avenue,"27 Washington Avenue, Niagara Park, NSW 2250",310000,"$310,000",house,2,1,1,,,803.0,m²,,,,,05 Feb 2010,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-105754347,Niagara Park,NSW,2250,13 Kent Street,"13 Kent Street, Niagara Park, NSW 2250",240000,"$240,000",house,2,1,1,,,486.9,m²,KATWYO,McGrath - Gosford,,,17 Jun 2009,house,,486.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-122072350,Niagara Park,NSW,2250,23 Morven Road,"23 Morven Road, Niagara Park, NSW 2250",360000,"$360,000",house,2,1,1,,,700.0,m²,GPDGOS,Raine & Horne - Gosford / East Gosford,,,25 May 2016,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-105212054,Niagara Park,NSW,2250,,,,Contact agent,house,2,2,0,,,936.0,m²,,,,,28 Oct 2008,house,,936.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-111133635,Niagara Park,NSW,2250,,,245000,"$245,000",house,2,2,0,,,936.0,m²,,,,,28 Oct 2008,house,,936.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-141025728,Niagara Park,NSW,2250,12 Windara Close,"12 Windara Close, Niagara Park, NSW 2250",665000,"$665,000",house,3,2,2,,,645.0,m²,HRELIS,LJ Hooker - East Gosford,,,24 Mar 2023,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-141239860,Niagara Park,NSW,2250,12 Morven Road,"12 Morven Road, Niagara Park, NSW 2250",805000,"$805,000",house,3,2,2,,,519.0,m²,PTRTER,Property Central - CENTRAL COAST,,,10 Feb 2023,house,,519.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-140850632,Niagara Park,NSW,2250,14 Newling Street,"14 Newling Street, Niagara Park, NSW 2250",910000,"$910,000",house,3,2,3,,,1315.0,m²,PTRTER,Property Central - CENTRAL COAST,,,02 Feb 2023,house,,1315.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-140621927,Niagara Park,NSW,2250,10 Sylvan Valley Close,"10 Sylvan Valley Close, Niagara Park, NSW 2250",720000,"$720,000",house,3,1,0,,,825.0,m²,YFXTMJ,Ray White - Long Jetty,,,07 Dec 2022,house,,825.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-140443659,Niagara Park,NSW,2250,38/5 Prings Road,"38/5 Prings Road, Niagara Park, NSW 2250",695000,"$695,000",house,3,2,1,,,-1.0,,FARVVR,JacksonWall & Co,,,22 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-140684307,Niagara Park,NSW,2250,794 Pacific Highway,"794 Pacific Highway, Niagara Park, NSW 2250",820000,"$820,000",house,3,2,2,,,-1.0,,XRHTER,McGrath - Terrigal,,,12 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-140685675,Niagara Park,NSW,2250,2 Narooma Road,"2 Narooma Road, Niagara Park, NSW 2250",755000,"$755,000",house,3,1,1,,,607.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,10 Nov 2022,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-140079807,Niagara Park,NSW,2250,19 Marril Road,"19 Marril Road, Niagara Park, NSW 2250",830000,"$830,000",house,3,1,2,,,692.0,m²,PTRTER,Property Central - CENTRAL COAST,,,09 Sep 2022,house,,692.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-139907059,Niagara Park,NSW,2250,4 Morven Road,"4 Morven Road, Niagara Park, NSW 2250",830000,"$830,000",house,3,1,1,,,506.0,m²,PTRTER,Property Central - CENTRAL COAST,,,10 Aug 2022,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-139539443,Niagara Park,NSW,2250,8 Joppa Street,"8 Joppa Street, Niagara Park, NSW 2250",820000,"$820,000",house,3,1,1,,,512.0,m²,EMREMP,Domain Property Group Central Coast - ETTALONG BEACH,,,27 Jul 2022,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-138684971,Niagara Park,NSW,2250,3B Cristina Avenue,"3B Cristina Avenue, Niagara Park, NSW 2250",660000,"$660,000",house,3,1,1,,,575.0,m²,PTRTER,Property Central - CENTRAL COAST,,,10 Jun 2022,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-139156675,Niagara Park,NSW,2250,20 Cristina Avenue,"20 Cristina Avenue, Niagara Park, NSW 2250",667000,"$667,000",house,3,2,2,,,816.0,m²,HRELIS,LJ Hooker - East Gosford,,,18 May 2022,house,,816.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-139187683,Niagara Park,NSW,2250,9 Kent Street,"9 Kent Street, Niagara Park, NSW 2250",760000,"$760,000",house,3,1,1,,,-1.0,,FTSNJG,One Agency Kylee Jones Properties - Wyoming,,,09 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-138543331,Niagara Park,NSW,2250,53 Joppa Street,"53 Joppa Street, Niagara Park, NSW 2250",890000,"$890,000",house,3,2,1,,,696.0,m²,PTRTER,Property Central - CENTRAL COAST,,,09 Apr 2022,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-138445631,Niagara Park,NSW,2250,38 Narooma Road,"38 Narooma Road, Niagara Park, NSW 2250",850000,"$850,000",house,3,1,1,,,-1.0,,BLXCZC,Base Real Estate - Central Coast,,,10 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-138513131,Niagara Park,NSW,2250,7 Sylvan Valley Close,"7 Sylvan Valley Close, Niagara Park, NSW 2250",848000,"$848,000",house,3,1,1,,,601.0,m²,KATWYO,McGrath - Gosford,,,08 Mar 2022,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-138402491,Niagara Park,NSW,2250,6 Beauty Place,"6 Beauty Place, Niagara Park, NSW 2250",877000,"$877,000",house,3,2,2,145,m²,601.2,m²,OSQXQV,Gittoes - East Gosford,,,18 Feb 2022,house,145,601.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-138071286,Niagara Park,NSW,2250,12 Mimba Close,"12 Mimba Close, Niagara Park, NSW 2250",765000,"$765,000",house,3,1,2,,,896.0,m²,PTRTER,Property Central - CENTRAL COAST,,,12 Jan 2022,house,,896.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-138012618,Niagara Park,NSW,2250,811 Pacific Highway,"811 Pacific Highway, Niagara Park, NSW 2250",750000,"$750,000",house,3,1,1,,,601.0,m²,PTRTER,Property Central - CENTRAL COAST,,,21 Dec 2021,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-niagara+park-137800410,Niagara Park,NSW,2250,1 Elm Road,"1 Elm Road, Niagara Park, NSW 2250",919000,"$919,000",house,3,1,1,,,664.0,m²,PTRTER,Property Central - CENTRAL COAST,,,24 Nov 2021,house,,664.0
