badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-140462799,Norah Head,NSW,2263,26 Soldiers Point Drive,"26 Soldiers Point Drive, Norah Head, NSW 2263",1160000,"$1,160,000",house,2,1,3,,,639.0,m²,OKRIYO,McGrath Toukley - TOUKLEY,,,14 Oct 2022,house,,639.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-127858782,Norah Head,NSW,2263,4A Vimiera Close,"4A Vimiera Close, Norah Head, NSW 2263",590000,"$590,000",house,2,1,2,,,387.0,m²,QOFYXR,Coleman Estate Agents - Central Coast,,,15 Mar 2018,house,,387.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-127249546,Norah Head,NSW,2263,18 Victoria Street,"18 Victoria Street, Norah Head, NSW 2263",805000,"$805,000",house,2,1,2,,,543.0,m²,QOFYXR,Coleman Estate Agents - Central Coast,,,01 Mar 2018,house,,543.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-127686754,Norah Head,NSW,2263,81 Bungary Road,"81 Bungary Road, Norah Head, NSW 2263",920000,"$920,000",house,2,1,1,,,607.0,m²,JWYVFW,Wiseberry Gorokan Heritage Rentals - GOROKAN,,,28 Feb 2018,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-126773774,Norah Head,NSW,2263,30 Soldiers Point Drive,"30 Soldiers Point Drive, Norah Head, NSW 2263",745000,"$745,000",house,2,1,1,,,638.0,m²,QPWPSA,Harcourts Residential and Lifestyle - TOUKLEY,,,05 Dec 2017,house,,638.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-norah+head-121188498,Norah Head,NSW,2263,1/13 Meredith Close,"1/13 Meredith Close, Norah Head, NSW 2263",442000,"$442,000",duplex-semi-detached,2,1,1,,,964.0,m²,XGBTOV,Brand Property - Central Coast,,,01 Mar 2016,house,,964.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-120254817,Norah Head,NSW,2263,21 SOLDIERS POINT DR,"21 SOLDIERS POINT DR, Norah Head, NSW 2263",885000,"$885,000",house,2,2,1,,,765.0,m²,XGBTOV,Brand Property - Central Coast,,,08 Aug 2015,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-125855830,Norah Head,NSW,2263,79 Bungary Road,"79 Bungary Road, Norah Head, NSW 2263",600000,"$600,000",house,2,1,2,,,-1.0,,XRHTER,McGrath - Terrigal,,,01 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-118089719,Norah Head,NSW,2263,79 Bungary Road,"79 Bungary Road, Norah Head, NSW 2263",600000,"$600,000",house,2,1,1,,,-1.0,,OKRIYO,McGrath Toukley - TOUKLEY,,,01 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-norah+head-125855710,Norah Head,NSW,2263,2A Mitchell Street,"2A Mitchell Street, Norah Head, NSW 2263",615000,"$615,000",house,2,1,2,,,-1.0,,XRHTER,McGrath - Terrigal,,,13 Oct 2014,house,,-1.0
