badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-104963612,North Curl Curl,NSW,2099,58 Headland Road,"58 Headland Road, North Curl Curl, NSW 2099",1185000,"$1,185,000",house,1,1,1,,,405.0,m²,XRWHAR,Ray White - Freshwater,,,29 Sep 2008,house,,405.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-138563359,North Curl Curl,NSW,2099,176 Headland Road,"176 Headland Road, North Curl Curl, NSW 2099",2540000,"$2,540,000",house,2,1,1,613,m²,-1.0,,QJWEGU,Clarke & Humel Property - Manly,,,08 Mar 2022,house,613,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-north+curl+curl-137779982,North Curl Curl,NSW,2099,31B Parr Avenue,"31B Parr Avenue, North Curl Curl, NSW 2099",1685000,"$1,685,000",duplex-semi-detached,2,1,1,,,378.0,m²,WPBMRK,The Agency - Northern Beaches,,,27 Nov 2021,house,,378.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-131153326,North Curl Curl,NSW,2099,31 Jocelyn Street,"31 Jocelyn Street, North Curl Curl, NSW 2099",1600000,"$1,600,000",house,2,1,2,,,-1.0,,XLJNAT,LJ Hooker - Narrabeen,,,11 Jul 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-128445370,North Curl Curl,NSW,2099,42 Surf Road,"42 Surf Road, North Curl Curl, NSW 2099",2500000,"$2,500,000",house,2,1,1,,,-1.0,,XLJHAR,Schwarz Real Estate - Northern Beaches,,,05 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-128306482,North Curl Curl,NSW,2099,20 Bellevue Parade,"20 Bellevue Parade, North Curl Curl, NSW 2099",2005027,"$2,005,027",house,2,1,1,,,519.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,28 May 2018,house,,519.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-121611742,North Curl Curl,NSW,2099,17/103 Pitt Road,"17/103 Pitt Road, North Curl Curl, NSW 2099",685000,"$685,000",house,2,1,1,,,-1.0,,,,,,20 Jan 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-118958063,North Curl Curl,NSW,2099,172 Headland Road,"172 Headland Road, North Curl Curl, NSW 2099",1300000,"$1,300,000",house,2,1,0,,,657.0,m²,DOAQUE,Donovan Estate Agents - MOSMAN,,,20 Feb 2015,house,,657.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-125117638,North Curl Curl,NSW,2099,19A Makim Street,"19A Makim Street, North Curl Curl, NSW 2099",1425000,"$1,425,000",house,2,2,1,,,380.0,m²,XLJDEE,LJ Hooker - Dee Why,,,29 Apr 2017,house,,380.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-124701114,North Curl Curl,NSW,2099,151 Headland Road,"151 Headland Road, North Curl Curl, NSW 2099",1688000,"$1,688,000",house,2,1,0,,,-1.0,,XLJDEE,LJ Hooker - Dee Why,,,04 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-119680203,North Curl Curl,NSW,2099,2/40 Griffin Road,"2/40 Griffin Road, North Curl Curl, NSW 2099",900000,"$900,000",house,2,1,1,,,168.0,m²,XLJDEE,LJ Hooker - Dee Why,,,27 Jun 2015,house,,168.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-114768095,North Curl Curl,NSW,2099,34 Jocelyn Street,"34 Jocelyn Street, North Curl Curl, NSW 2099",1050000,"$1,050,000",house,2,1,1,,,-1.0,,XRWHAR,Ray White - Freshwater,,,17 Sep 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-113655455,North Curl Curl,NSW,2099,85 Griffin Rd,"85 Griffin Rd, North Curl Curl, NSW 2099",990000,"$990,000",house,2,1,1,,,-1.0,,XLJHAR,Schwarz Real Estate - Northern Beaches,,,03 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-111854455,North Curl Curl,NSW,2099,28 Playfair Road,"28 Playfair Road, North Curl Curl, NSW 2099",1000000,"$1,000,000",house,2,1,2,,,-1.0,,XRWHAR,Ray White - Freshwater,,,22 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-111500099,North Curl Curl,NSW,2099,59 Pitt Road,"59 Pitt Road, North Curl Curl, NSW 2099",900000,"$900,000",house,2,1,2,,,-1.0,,DOYDEE,Doyle Spillane - Dee Why,,,02 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-110375601,North Curl Curl,NSW,2099,63 Pitt Road,"63 Pitt Road, North Curl Curl, NSW 2099",900500,"$900,500",house,2,1,1,,,471.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,17 May 2012,house,,471.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-north+curl+curl-108636946,North Curl Curl,NSW,2099,29A Bellevue Parade,"29A Bellevue Parade, North Curl Curl, NSW 2099",653000,"$653,000",duplex-semi-detached,2,2,1,,,395.0,m²,THQDEE,NOVAK Properties -  Northern Beaches,,,25 Jan 2012,house,,395.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-107360027,North Curl Curl,NSW,2099,37 Makim Street,"37 Makim Street, North Curl Curl, NSW 2099",995000,"$995,000",house,2,1,1,,,-1.0,,ELDMAN,Red Property - Manly,,,13 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+curl+curl-107051833,North Curl Curl,NSW,2099,26 Griffin Road,"26 Griffin Road, North Curl Curl, NSW 2099",950000,"$950,000",house,2,2,1,,,-1.0,,XRWHAR,Ray White - Freshwater,,,18 Mar 2011,house,,-1.0
