badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-106312264,North Manly,NSW,2100,28 Robert Avenue,"28 Robert Avenue, North Manly, NSW 2100",,Contact agent,house,0,1,0,,,700.0,m²,XLJHAR,Schwarz Real Estate - Northern Beaches,,,11 Mar 2010,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-106431392,North Manly,NSW,2100,23a Wakefield Street,"23a Wakefield Street, North Manly, NSW 2100",,Contact agent,house,0,1,0,,,-1.0,,XLJHAR,Schwarz Real Estate - Northern Beaches,,,25 Feb 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-111583999,North Manly,NSW,2100,5 Corrie Road,"5 Corrie Road, North Manly, NSW 2100",,Contact agent,house,1,1,0,,,1221.0,m²,,,,,25 Oct 2012,house,,1221.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-106029961,North Manly,NSW,2100,6/600 Pittwater Road,"6/600 Pittwater Road, North Manly, NSW 2100",440000,"$440,000",house,1,1,0,,,-1.0,,XLJHAR,Schwarz Real Estate - Northern Beaches,,,26 Oct 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-140048575,North Manly,NSW,2100,395 Pittwater Road,"395 Pittwater Road, North Manly, NSW 2100",1705000,"$1,705,000",house,2,1,2,,,-1.0,,QDVLNY,McGrath - Manly,,,24 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-139533327,North Manly,NSW,2100,12 Palm Avenue,"12 Palm Avenue, North Manly, NSW 2100",3000000,"$3,000,000",house,2,1,1,,,537.5,m²,XMHMAN,Stone Real Estate - Manly,,,24 Jun 2022,house,,537.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-137460582,North Manly,NSW,2100,21 Nicholson Street,"21 Nicholson Street, North Manly, NSW 2100",1915000,"$1,915,000",house,2,1,1,,,201.0,m²,LIECOL,BowerGray - Dee Why,,,30 Oct 2021,house,,201.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-134654990,North Manly,NSW,2100,9 Oatway Parade,"9 Oatway Parade, North Manly, NSW 2100",2435000,"$2,435,000",house,2,1,2,,,692.0,m²,BEJMAN,Belle Property - Manly,,,07 Nov 2020,house,,692.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-134257582,North Manly,NSW,2100,498 Pittwater Road,"498 Pittwater Road, North Manly, NSW 2100",1500000,"$1,500,000",house,2,1,2,,,462.0,m²,PZQDEE,First National Real Estate Caputo - Dee Why,,,12 Sep 2020,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-132275974,North Manly,NSW,2100,88 William Street,"88 William Street, North Manly, NSW 2100",1735000,"$1,735,000",house,2,1,1,,,525.0,m²,XRHCOL,UPSTATE - DEE WHY,,,16 Nov 2019,house,,525.0
