badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-134649790,North Parramatta,NSW,2151,7/30-32 Albert Street,"7/30-32 Albert Street, North Parramatta, NSW 2151",550000,"$550,000",house,1,1,1,,,-1.0,,LEFBPW,Manor Real Estate,,,03 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-130766678,North Parramatta,NSW,2151,26 Bourke Street,"26 Bourke Street, North Parramatta, NSW 2151",900000,"$900,000",house,1,1,1,,,-1.0,,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,05 Apr 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-north+parramatta-105151304,North Parramatta,NSW,2151,59a Isabella Street,"59a Isabella Street, North Parramatta, NSW 2151",228000,"$228,000",residential-other,1,1,0,,,-1.0,,RFFPLJ,Belle Property - Parramatta,,,11 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-127797702,North Parramatta,NSW,2151,7/30-32 Albert Street,"7/30-32 Albert Street, North Parramatta, NSW 2151",520000,"$520,000",house,1,1,1,,,-1.0,,XRHPAA,Raine & Horne - Parramatta,,,10 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-105810239,North Parramatta,NSW,2151,64 Fennell Street,"64 Fennell Street, North Parramatta, NSW 2151",496500,"$496,500",house,1,1,0,,,-1.0,,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,27 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-106051116,North Parramatta,NSW,2151,44 Belmore Street,"44 Belmore Street, North Parramatta, NSW 2151",,Contact agent,house,1,1,0,,,411.0,m²,XFNPAA,Chansis Real Estate - Parramatta,,,,house,,411.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-141343272,North Parramatta,NSW,2151,2 Gloucester Avenue,"2 Gloucester Avenue, North Parramatta, NSW 2151",1026000,"$1,026,000",house,2,1,1,,,569.0,m²,RLKTTY,McGrath - Parramatta,,,25 Feb 2023,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-140543283,North Parramatta,NSW,2151,26 Galloway Street,"26 Galloway Street, North Parramatta, NSW 2151",875000,"$875,000",house,2,1,1,,,-1.0,,RLKTTY,McGrath - Parramatta,,,17 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-140701535,North Parramatta,NSW,2151,74 Pennant Hills Road,"74 Pennant Hills Road, North Parramatta, NSW 2151",1276000,"$1,276,000",house,2,1,1,,,844.0,m²,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,26 Nov 2022,house,,844.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+parramatta-140015455,North Parramatta,NSW,2151,66 Fennell Street,"66 Fennell Street, North Parramatta, NSW 2151",1280000,"$1,280,000",house,2,1,1,,,-1.0,,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,27 Aug 2022,house,,-1.0
