badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-north+richmond-104804581,North Richmond,NSW,2754,4/6 Charles Street,"4/6 Charles Street, North Richmond, NSW 2754",377000,"$377,000",residential-other,0,1,0,,,-1.0,,ZFYLXU,VIBE Property - Richmond,,,17 Jun 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+richmond-107912221,North Richmond,NSW,2754,,,,Contact agent,house,0,1,0,,,676.0,m²,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,,house,,676.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+richmond-124302710,North Richmond,NSW,2754,"Lot 5, 36 - 38 Riverview Street","Lot 5, 36 - 38 Riverview Street, North Richmond, NSW 2754",280500,"$280,500",house,1,1,2,,,250.0,m²,ZFYLXU,VIBE Property - Richmond,,,06 Dec 2016,house,,250.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+richmond-121837534,North Richmond,NSW,2754,1042-1052 Kurmond Road,"1042-1052 Kurmond Road, North Richmond, NSW 2754",1095000,"$1,095,000",house,1,1,0,,,-1.0,,XRWWIN,Ray White - Windsor,,,02 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-north+richmond-119316227,North Richmond,NSW,2754,2/36 Riverview Street,"2/36 Riverview Street, North Richmond, NSW 2754",,Contact agent,residential-other,1,2,4,,,218.0,m²,WVYSSK,Hall & Co - Hawkesbury,,,04 Jun 2015,house,,218.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+richmond-105568955,North Richmond,NSW,2754,,,,Contact agent,house,1,1,0,,,-1.0,,IORCQP,Dunne Realty - Richmond,,,02 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+richmond-105638422,North Richmond,NSW,2754,26 Norfolk Pl,"26 Norfolk Pl, North Richmond, NSW 2754",,Contact agent,house,1,1,0,,,-1.0,,IORCQP,Dunne Realty - Richmond,,,25 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+richmond-105637683,North Richmond,NSW,2754,36 Norfolk Pl,"36 Norfolk Pl, North Richmond, NSW 2754",300000,"$300,000",house,1,1,0,,,-1.0,,IORCQP,Dunne Realty - Richmond,,,25 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+richmond-105637702,North Richmond,NSW,2754,37 Norfolk Pl,"37 Norfolk Pl, North Richmond, NSW 2754",300000,"$300,000",house,1,1,0,,,-1.0,,IORCQP,Dunne Realty - Richmond,,,25 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+richmond-105637649,North Richmond,NSW,2753,35 Norfolk Pl,"35 Norfolk Pl, North Richmond, NSW 2753",,Contact agent,house,1,1,0,,,-1.0,,IORCQP,Dunne Realty - Richmond,,,25 Mar 2009,house,,-1.0
