badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-140905780,North Strathfield,NSW,2137,139 Queen Street,"139 Queen Street, North Strathfield, NSW 2137",1455000,"$1,455,000",house,2,1,1,,,462.0,m²,UAAQTJ,Devine Real Estate - CONCORD,,,07 Dec 2022,house,,462.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-north+strathfield-139265751,North Strathfield,NSW,2137,7 Conway Avenue,"7 Conway Avenue, North Strathfield, NSW 2137",1390000,"$1,390,000",duplex-semi-detached,2,1,2,,,271.9,m²,FPVHRM,DibChidiac,,,04 Jun 2022,house,,271.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-131813310,North Strathfield,NSW,2137,2 Princess Avenue,"2 Princess Avenue, North Strathfield, NSW 2137",1350000,"$1,350,000",house,2,1,1,,,442.0,m²,RAOCON,Raine & Horne - Concord | Strathfield ,,,18 Oct 2019,house,,442.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-127633978,North Strathfield,NSW,2137,21 Queen Street,"21 Queen Street, North Strathfield, NSW 2137",1005000,"$1,005,000",house,2,1,1,362.3,m²,-1.0,,RAOCON,Raine & Horne - Concord | Strathfield ,,,28 Jun 2019,house,362.3,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-north+strathfield-130612382,North Strathfield,NSW,2137,33 Carrington Street,"33 Carrington Street, North Strathfield, NSW 2137",950000,"$950,000",duplex-semi-detached,2,1,1,,,214.3,m²,FPVHRM,DibChidiac,,,04 Apr 2019,house,,214.3
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-north+strathfield-125297218,North Strathfield,NSW,2137,8 Conway Avenue,"8 Conway Avenue, North Strathfield, NSW 2137",1250000,"$1,250,000",duplex-semi-detached,2,1,1,,,-1.0,,UAAQTJ,Devine Real Estate - CONCORD,,,27 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-120779285,North Strathfield,NSW,2137,14 Hamilton Street,"14 Hamilton Street, North Strathfield, NSW 2137",2090000,"$2,090,000",house,2,1,1,,,569.0,m²,HMFAGX,Hudson McHugh - LEICHHARDT,,,01 Apr 2017,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-117881647,North Strathfield,NSW,2137,33 Nelson Road,"33 Nelson Road, North Strathfield, NSW 2137",1155000,"$1,155,000",house,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,01 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-139649931,North Strathfield,NSW,2137,18 Elliott Street,"18 Elliott Street, North Strathfield, NSW 2137",1670000,"$1,670,000",house,2,1,1,,,385.7,m²,WYJPPB,CENTURY 21 - Inner West,,,16 Jul 2022,house,,385.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-131479054,North Strathfield,NSW,2137,21 Queen Street,"21 Queen Street, North Strathfield, NSW 2137",1005000,"$1,005,000",house,2,1,1,,,-1.0,,JJJYDR,Stone Real Estate - FIVE DOCK,,,28 Jun 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-129414838,North Strathfield,NSW,2137,1 Rothwell Avenue,"1 Rothwell Avenue, North Strathfield, NSW 2137",1200000,"$1,200,000",house,2,1,1,,,486.9,m²,WYJPPB,CENTURY 21 - Inner West,,,06 Mar 2019,house,,486.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-140993020,North Strathfield,NSW,2137,130A Concord Road,"130A Concord Road, North Strathfield, NSW 2137",1200000,"$1,200,000",house,2,1,1,,,492.0,m²,XRWXBX,Locale Property Agents - FIVE DOCK,,,10 Sep 2018,house,,492.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-120337569,North Strathfield,NSW,2137,37 Princess Avenue,"37 Princess Avenue, North Strathfield, NSW 2137",1150000,"$1,150,000",house,2,2,0,,,360.0,m²,WYJPPB,CENTURY 21 - Inner West,,,14 Aug 2015,house,,360.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-119733307,North Strathfield,NSW,2137,1 Tenterfield Street,"1 Tenterfield Street, North Strathfield, NSW 2137",1415000,"$1,415,000",house,2,2,2,,,493.0,m²,CAZANN,Callagher Estate Agents - Annandale,,,30 May 2015,house,,493.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-119226315,North Strathfield,NSW,2137,9 Lorraine Street,"9 Lorraine Street, North Strathfield, NSW 2137",1730000,"$1,730,000",house,2,1,1,,,-1.0,,UAAQTJ,Devine Real Estate - CONCORD,,,11 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-116157767,North Strathfield,NSW,2137,19 Queen Street,"19 Queen Street, North Strathfield, NSW 2137",763000,"$763,000",house,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,15 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-116099195,North Strathfield,NSW,2137,33 Carrington Street,"33 Carrington Street, North Strathfield, NSW 2137",725000,"$725,000",house,2,1,1,,,223.0,m²,RAOCON,Raine & Horne - Concord | Strathfield ,,,15 Mar 2014,house,,223.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-116099191,North Strathfield,NSW,2137,2 Princess Avenue,"2 Princess Avenue, North Strathfield, NSW 2137",980000,"$980,000",house,2,1,1,,,-1.0,,RAOCON,Raine & Horne - Concord | Strathfield ,,,28 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-111673971,North Strathfield,NSW,2137,39 Princess Avenue,"39 Princess Avenue, North Strathfield, NSW 2137",740000,"$740,000",house,2,1,0,,,-1.0,,WYJPPB,CENTURY 21 - Inner West,,,26 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-109426181,North Strathfield,NSW,2137,55 Ismay Ave,"55 Ismay Ave, North Strathfield, NSW 2137",765000,"$765,000",house,2,1,2,,,-1.0,,EXLCON,Exclusive Real Estate - Concord,,,21 Feb 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-107536572,North Strathfield,NSW,2137,27 Queen Street,"27 Queen Street, North Strathfield, NSW 2137",735000,"$735,000",house,2,1,1,,,-1.0,,RAOCON,Raine & Horne - Concord | Strathfield ,,,02 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-106619405,North Strathfield,NSW,2137,113 Wellbank Street,"113 Wellbank Street, North Strathfield, NSW 2137",1660000,"$1,660,000",house,2,1,1,,,730.0,m²,EXLCON,Exclusive Real Estate - Concord,,,10 Jul 2010,house,,730.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-north+strathfield-105946384,North Strathfield,NSW,2137,15 Conway Avenue,"15 Conway Avenue, North Strathfield, NSW 2137",587500,"$587,500",duplex-semi-detached,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,19 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-105773947,North Strathfield,NSW,2137,54A George Street,"54A George Street, North Strathfield, NSW 2137",601000,"$601,000",house,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,20 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-north+strathfield-105774342,North Strathfield,NSW,2137,54A George Street,"54A George Street, North Strathfield, NSW 2137",601000,"$601,000",duplex-semi-detached,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,20 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-137730022,North Strathfield,NSW,2137,16 Argonne Street,"16 Argonne Street, North Strathfield, NSW 2137",2200000,"$2,200,000",house,2,1,2,,,569.1,m²,XFNCHA,Shead Property - Chatswood,,,03 Dec 2021,house,,569.1
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-north+strathfield-135950054,North Strathfield,NSW,2137,130A Concord Road,"130A Concord Road, North Strathfield, NSW 2137",1500000,"$1,500,000",duplex-semi-detached,2,1,1,,,484.0,m²,JJJYDR,Stone Real Estate - FIVE DOCK,,,08 Jun 2021,house,,484.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-129753130,North Strathfield,NSW,2137,21 Malta Street,"21 Malta Street, North Strathfield, NSW 2137",1425000,"$1,425,000",house,2,1,2,,,594.0,m²,CQKNYM,Belle Property - Strathfield | Homebush,,,10 May 2019,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-129044398,North Strathfield,NSW,2137,130A Concord Road,"130A Concord Road, North Strathfield, NSW 2137",1200000,"$1,200,000",house,2,1,1,,,492.0,m²,XRWXBX,Locale Property Agents - FIVE DOCK,,,10 Sep 2018,house,,492.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-128186354,North Strathfield,NSW,2137,11 Argonne Street,"11 Argonne Street, North Strathfield, NSW 2137",1660000,"$1,660,000",house,2,1,1,,,-1.0,,HDHJJH,Laing+Simmons - Regents Park | Berala,,,15 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-114747267,North Strathfield,NSW,2137,4 MENA STREET,"4 MENA STREET, North Strathfield, NSW 2137",1116000,"$1,116,000",house,2,1,3,,,-1.0,,XNTSTR,Richardson & Wrench - Strathfield,,,28 Sep 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-110686557,North Strathfield,NSW,2137,107 Wellbank Street,"107 Wellbank Street, North Strathfield, NSW 2137",,Contact agent,house,2,1,1,719,m²,719.0,m²,WYJPPB,CENTURY 21 - Inner West,,,02 Nov 2012,house,719,719.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-108199596,North Strathfield,NSW,2137,73 QUEEN STREET,"73 QUEEN STREET, North Strathfield, NSW 2137",,Contact agent,house,2,2,0,,,-1.0,,,,,,04 Jan 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-105948718,North Strathfield,NSW,2137,6 Hamilton Street,"6 Hamilton Street, North Strathfield, NSW 2137",895000,"Range: $765,000 - $895,000",house,2,1,1,,,572.0,m²,,,,,19 Sep 2009,house,,572.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-105894893,North Strathfield,NSW,2137,8 Argonne,"8 Argonne, North Strathfield, NSW 2137",,Contact agent,house,2,1,1,,,-1.0,,WYJPPB,CENTURY 21 - Inner West,,,11 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-105274896,North Strathfield,NSW,2137,12 Lemnos Street,"12 Lemnos Street, North Strathfield, NSW 2137",706000,"$706,000",house,2,1,1,569,m²,569.0,m²,XLJCON,Horwood Nolan,,,01 Nov 2008,house,569,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+strathfield-105241016,North Strathfield,NSW,2137,31 Nelson St,"31 Nelson St, North Strathfield, NSW 2137",525000,"$525,000",house,2,1,0,,,-1.0,,XSFSTR,Devine Real Estate - Strathfield,,,27 Sep 2008,house,,-1.0
