badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-108698431,Oakdale,NSW,2570,,,,Contact agent,house,1,1,1,,,16.19,ha,TVLSRQ,Ray White - Macarthur Group,,,,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-105850544,Oakdale,NSW,2570,24 Egans Road,"24 Egans Road, Oakdale, NSW 2570",175000,"$175,000",house,1,1,0,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,06 Jan 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-oakdale-141646504,Oakdale,NSW,2570,1435 Burragorang Road,"1435 Burragorang Road, Oakdale, NSW 2570",3300000,"$3,300,000",acreage,2,1,3,,,16.0,ha,UEANUN,McGrath  - CAMDEN,,,24 Mar 2023,house,,160000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-135446066,Oakdale,NSW,2570,65 Nolan Road,"65 Nolan Road, Oakdale, NSW 2570",1750000,"$1,750,000",house,2,2,0,,,-1.0,,TLQHKK,Exclusive Estate Agents - PICTON,,,19 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-135084082,Oakdale,NSW,2570,1500 Barkers Lodge Road,"1500 Barkers Lodge Road, Oakdale, NSW 2570",1450000,"$1,450,000",house,2,1,1,,,12.14,ha,XFNPIC,Gerard Smith First National - Picton,,,23 Jan 2021,house,,121400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-oakdale-133410906,Oakdale,NSW,2570,745 Ridge Road,"745 Ridge Road, Oakdale, NSW 2570",980000,"$980,000",acreage,2,1,10,,,12.0,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,21 Sep 2020,house,,120000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-125948926,Oakdale,NSW,2570,1472 Burragorang Road,"1472 Burragorang Road, Oakdale, NSW 2570",391000,"$391,000",house,2,1,2,564,m²,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,09 Aug 2017,house,564,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-125646430,Oakdale,NSW,2570,28 Egans Road,"28 Egans Road, Oakdale, NSW 2570",445000,"$445,000",house,2,1,1,,,696.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,04 Jul 2017,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-118412035,Oakdale,NSW,2570,12 Steveys Forest Road,"12 Steveys Forest Road, Oakdale, NSW 2570",330000,"$330,000",house,2,1,2,,,811.0,m²,,,,,03 Dec 2014,house,,811.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-105706867,Oakdale,NSW,2570,1862 Barkers Lodge Rd,"1862 Barkers Lodge Rd, Oakdale, NSW 2570",225000,"$225,000",house,2,1,2,,,696.0,m²,COYNAR,Combined Real Estate - Camden,,,29 Sep 2009,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-110315145,Oakdale,NSW,2570,,,425000,"$425,000",house,2,1,0,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,20 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-106934159,Oakdale,NSW,2570,,,370000,"Range: $310,000 - $370,000",house,2,1,1,,,3984.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,02 May 2011,house,,3984.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-107303366,Oakdale,NSW,2570,,,,Contact agent,house,2,1,0,,,2016.0,m²,TVLSRQ,Ray White - Macarthur Group,,,,house,,2016.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-141747768,Oakdale,NSW,2570,33 Steveys Forest Road,"33 Steveys Forest Road, Oakdale, NSW 2570",750000,"$750,000",house,3,1,2,,,809.4,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,30 Mar 2023,house,,809.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-141582428,Oakdale,NSW,2570,4 Garbutt Place,"4 Garbutt Place, Oakdale, NSW 2570",810000,"$810,000",house,3,1,3,,,1023.0,m²,IYMZPN,Samaro Property - Camden,,,27 Mar 2023,house,,1023.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-141133708,Oakdale,NSW,2570,3 Janette Place,"3 Janette Place, Oakdale, NSW 2570",775000,"$775,000",house,3,1,3,,,975.0,m²,RRUYJR,Professionals - NARELLAN,,,17 Feb 2023,house,,975.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-141061640,Oakdale,NSW,2570,1850 Barkers Lodge Road,"1850 Barkers Lodge Road, Oakdale, NSW 2570",705000,"$705,000",house,3,1,2,115,m²,695.6,m²,TVLSRQ,Ray White - Macarthur Group,,,20 Jan 2023,house,115,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-139853567,Oakdale,NSW,2570,1839 Barkers Lodge Road,"1839 Barkers Lodge Road, Oakdale, NSW 2570",860000,"$860,000",house,3,1,0,,,1834.0,m²,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,30 Jul 2022,house,,1834.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-138611259,Oakdale,NSW,2570,1330 Burragorang Road,"1330 Burragorang Road, Oakdale, NSW 2570",1405000,"$1,405,000",house,3,3,10,,,4049.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,17 Jun 2022,house,,4049.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-139185103,Oakdale,NSW,2570,22 Egans Road,"22 Egans Road, Oakdale, NSW 2570",720000,"$720,000",house,3,1,1,,,695.6,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,13 May 2022,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-138981575,Oakdale,NSW,2570,2b  Maria Place,"2b  Maria Place, Oakdale, NSW 2570",745000,"$745,000",house,3,1,1,,,463.6,m²,PFPAAY,KLM Property Group - Picton ,,,29 Apr 2022,house,,463.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-137931438,Oakdale,NSW,2570,91 Russell Lane,"91 Russell Lane, Oakdale, NSW 2570",1405000,"$1,405,000",house,3,1,6,,,2.03,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,18 Dec 2021,house,,20299.999999999996
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-136710110,Oakdale,NSW,2570,1863 Barkers Lodge Road,"1863 Barkers Lodge Road, Oakdale, NSW 2570",695000,"$695,000",house,3,1,1,,,1178.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,23 Jul 2021,house,,1178.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-136640670,Oakdale,NSW,2570,18 Kerry Place,"18 Kerry Place, Oakdale, NSW 2570",750000,"$750,000",house,3,1,3,,,976.1,m²,TVLSRQ,Ray White - Macarthur Group,,,14 Jul 2021,house,,976.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-136366802,Oakdale,NSW,2570,28 Willis Street,"28 Willis Street, Oakdale, NSW 2570",733500,"$733,500",house,3,2,2,,,983.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,17 Jun 2021,house,,983.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-136020090,Oakdale,NSW,2570,50 Steveys Forest Road,"50 Steveys Forest Road, Oakdale, NSW 2570",655000,"$655,000",house,3,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,03 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-135544098,Oakdale,NSW,2570,18 Egans Road,"18 Egans Road, Oakdale, NSW 2570",610000,"$610,000",house,3,1,2,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,02 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-oakdale-134444810,Oakdale,NSW,2570,2035 Burragorang Road,"2035 Burragorang Road, Oakdale, NSW 2570",1350000,"$1,350,000",acreage,3,3,18,,,28.43,ha,TVLSRQ,Ray White - Macarthur Group,,,11 Dec 2020,house,,284300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-133946486,Oakdale,NSW,2570,70 Old Jerusalem Road,"70 Old Jerusalem Road, Oakdale, NSW 2570",2200000,"$2,200,000",house,3,1,12,,,16.19,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,17 Nov 2020,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-134683102,Oakdale,NSW,2570,1844 Barkers Lodge Road,"1844 Barkers Lodge Road, Oakdale, NSW 2570",534000,"$534,000",house,3,1,2,,,695.6,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,11 Nov 2020,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-134355658,Oakdale,NSW,2570,1482 Burragorang Road,"1482 Burragorang Road, Oakdale, NSW 2570",608000,"$608,000",house,3,1,4,,,1012.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,02 Oct 2020,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-134061306,Oakdale,NSW,2570,17 Willis Street,"17 Willis Street, Oakdale, NSW 2570",622000,"$622,000",house,3,1,2,,,1040.0,m²,STANAR,Richardson & Wrench - Narellan,,,14 Aug 2020,house,,1040.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-133813102,Oakdale,NSW,2570,,,600000,"$600,000",house,3,1,2,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,13 Aug 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-133973246,Oakdale,NSW,2570,1689 Burragorang Road,"1689 Burragorang Road, Oakdale, NSW 2570",840000,"$840,000",house,3,2,4,,,4856.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,05 Aug 2020,house,,4856.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-133858314,Oakdale,NSW,2570,1869 Barkers Lodge Road,"1869 Barkers Lodge Road, Oakdale, NSW 2570",545000,"$545,000",house,3,1,0,,,901.0,m²,TVLSRQ,Ray White - Macarthur Group,,,21 Jul 2020,house,,901.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-133749538,Oakdale,NSW,2570,7 Bridle Avenue,"7 Bridle Avenue, Oakdale, NSW 2570",510000,"$510,000",house,3,1,5,,,1214.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,08 Jul 2020,house,,1214.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-133561926,Oakdale,NSW,2570,515 New Jerusalem Road,"515 New Jerusalem Road, Oakdale, NSW 2570",1100000,"$1,100,000",house,3,2,4,,,1.68,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,22 Jun 2020,house,,16800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-133605690,Oakdale,NSW,2570,33 Steveys Forest Road,"33 Steveys Forest Road, Oakdale, NSW 2570",520000,"$520,000",house,3,1,2,,,809.0,m²,STANAR,Richardson & Wrench - Narellan,,,05 Jun 2020,house,,809.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-133274454,Oakdale,NSW,2570,38 Steveys Forest Road,"38 Steveys Forest Road, Oakdale, NSW 2570",555000,"$555,000",house,3,1,4,,,816.0,m²,TVLSRQ,Ray White - Macarthur Group,,,08 May 2020,house,,816.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-132760030,Oakdale,NSW,2570,1839 Barkers Lodge Road,"1839 Barkers Lodge Road, Oakdale, NSW 2570",660000,"$660,000",house,3,1,2,,,1845.0,m²,TVLSRQ,Ray White - Macarthur Group,,,20 Feb 2020,house,,1845.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-132012226,Oakdale,NSW,2570,21 Willis Street,"21 Willis Street, Oakdale, NSW 2570",615000,"$615,000",house,3,1,2,,,1012.0,m²,TVLSRQ,Ray White - Macarthur Group,,,21 Oct 2019,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-131704954,Oakdale,NSW,2570,1428 Burragorang Rd,"1428 Burragorang Rd, Oakdale, NSW 2570",550000,"$550,000",house,3,1,1,,,850.0,m²,IYMZPN,Samaro Property - Camden,,,15 Aug 2019,house,,850.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-131381062,Oakdale,NSW,2570,10 Bridle Avenue,"10 Bridle Avenue, Oakdale, NSW 2570",460000,"$460,000",house,3,1,1,,,529.8,m²,TLQHKK,Exclusive Estate Agents - PICTON,,,15 Aug 2019,house,,529.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-131258230,Oakdale,NSW,2570,17 Willis Street,"17 Willis Street, Oakdale, NSW 2570",605000,"$605,000",house,3,2,1,,,1040.0,m²,TVLSRQ,Ray White - Macarthur Group,,,28 Jun 2019,house,,1040.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-130083658,Oakdale,NSW,2570,20 Steveys Forest Road,"20 Steveys Forest Road, Oakdale, NSW 2570",440000,"$440,000",house,3,1,1,,,815.7,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,28 May 2019,house,,815.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-129786854,Oakdale,NSW,2570,1859A Barkers Lodge Road,"1859A Barkers Lodge Road, Oakdale, NSW 2570",460000,"$460,000",house,3,1,1,,,528.0,m²,TLQHKK,Exclusive Estate Agents - PICTON,,,26 Mar 2019,house,,528.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-130421050,Oakdale,NSW,2570,2A Maria Place,"2A Maria Place, Oakdale, NSW 2570",545000,"$545,000",house,3,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,01 Mar 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-129120990,Oakdale,NSW,2570,18 Kerry Place,"18 Kerry Place, Oakdale, NSW 2570",619000,"$619,000",house,3,1,3,,,976.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,14 Sep 2018,house,,976.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-128760114,Oakdale,NSW,2570,68 Steveys Forest Road,"68 Steveys Forest Road, Oakdale, NSW 2570",535000,"$535,000",house,3,1,1,,,816.0,m²,IEERYA,McLaren Real Estate - Narellan,,,05 Sep 2018,house,,816.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-128236438,Oakdale,NSW,2570,28 Moore Road,"28 Moore Road, Oakdale, NSW 2570",758000,"$758,000",house,3,2,2,,,1129.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,18 May 2018,house,,1129.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-127984770,Oakdale,NSW,2570,10a  Garbutt Place,"10a  Garbutt Place, Oakdale, NSW 2570",485000,"$485,000",house,3,1,1,,,459.6,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,04 May 2018,house,,459.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-127892562,Oakdale,NSW,2570,10 Maria Place,"10 Maria Place, Oakdale, NSW 2570",630000,"$630,000",house,3,1,2,,,981.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,04 Apr 2018,house,,981.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-126572870,Oakdale,NSW,2570,69 Steveys Forest Road,"69 Steveys Forest Road, Oakdale, NSW 2570",530000,"$530,000",house,3,1,2,,,1043.0,m²,XFNPIC,Gerard Smith First National - Picton,,,20 Nov 2017,house,,1043.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-125295710,Oakdale,NSW,2570,7 Willis Street,"7 Willis Street, Oakdale, NSW 2570",600000,"$600,000",house,3,1,1,,,1024.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,18 May 2017,house,,1024.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-125227942,Oakdale,NSW,2570,50 Steveys Forest Road,"50 Steveys Forest Road, Oakdale, NSW 2570",565000,"$565,000",house,3,1,1,,,836.0,m²,HBGYTR,Ray White Macarthur Group,,,03 May 2017,house,,836.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-124908582,Oakdale,NSW,2570,15 Willis Street,"15 Willis Street, Oakdale, NSW 2570",590000,"$590,000",house,3,1,1,,,1042.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,18 Mar 2017,house,,1042.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-124590754,Oakdale,NSW,2570,3 Janette Place,"3 Janette Place, Oakdale, NSW 2570",565000,"$565,000",house,3,1,3,,,975.0,m²,RRUYJR,Professionals - NARELLAN,,,10 Mar 2017,house,,975.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-124744646,Oakdale,NSW,2570,2 Banksia Place,"2 Banksia Place, Oakdale, NSW 2570",550000,"$550,000",house,3,1,1,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,02 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-122986586,Oakdale,NSW,2570,,,765000,"$765,000",house,3,1,4,,,1.29,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,12 Aug 2016,house,,12900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-122632714,Oakdale,NSW,2570,1531 Burragorang Road,"1531 Burragorang Road, Oakdale, NSW 2570",550000,"$550,000",house,3,2,2,,,1011.0,m²,RRUYJR,Professionals - NARELLAN,,,07 Jun 2016,house,,1011.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-122455954,Oakdale,NSW,2570,1861 Barkers Lodge Road,"1861 Barkers Lodge Road, Oakdale, NSW 2570",470000,"$470,000",house,3,1,1,,,-1.0,,TLQHKK,Exclusive Estate Agents - PICTON,,,27 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-122309078,Oakdale,NSW,2570,24 Janette Place,"24 Janette Place, Oakdale, NSW 2570",611000,"$611,000",house,3,2,1,,,975.0,m²,RRUYJR,Professionals - NARELLAN,,,22 Apr 2016,house,,975.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-122163722,Oakdale,NSW,2570,20 Nolan Road,"20 Nolan Road, Oakdale, NSW 2570",1100000,"$1,100,000",house,3,1,3,,,8.5,ha,ELDPIC,Elders Real Estate  - Picton ,,,15 Apr 2016,house,,85000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-120297981,Oakdale,NSW,2570,,,455000,"$455,000",house,3,1,1,,,524.0,m²,,,,,20 Aug 2015,house,,524.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-136409646,Oakdale,NSW,2570,4 Willis Street,"4 Willis Street, Oakdale, NSW 2570",770000,"$770,000",house,3,1,9,,,991.8,m²,KYNMXR,@realty - National Head Office Australia,,,17 Jun 2021,house,,991.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-134388230,Oakdale,NSW,2570,14 Steveys Forest Road,"14 Steveys Forest Road, Oakdale, NSW 2570",585000,"$585,000",house,3,1,4,,,818.7,m²,TVLSRQ,Ray White - Macarthur Group,,,31 Jul 2020,house,,818.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-126527630,Oakdale,NSW,2570,1658 Burragorang Road,"1658 Burragorang Road, Oakdale, NSW 2570",535000,"$535,000",house,3,2,2,,,642.0,m²,IEERYA,McLaren Real Estate - Narellan,,,07 Dec 2017,house,,642.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-126191574,Oakdale,NSW,2570,,,560000,"$560,000",house,3,1,2,,,809.0,m²,HBGYTR,Ray White Macarthur Group,,,28 Aug 2017,house,,809.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-124795986,Oakdale,NSW,2570,46 Steveys Forest Road,"46 Steveys Forest Road, Oakdale, NSW 2570",550000,"$550,000",house,3,1,1,,,815.7,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,04 Jul 2017,house,,815.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-125467750,Oakdale,NSW,2570,46 Steveys Forest Road,"46 Steveys Forest Road, Oakdale, NSW 2570",550000,"$550,000",house,3,1,1,,,815.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,30 Jun 2017,house,,815.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-122996258,Oakdale,NSW,2570,,,1870000,"$1,870,000",house,3,1,20,,,16.19,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,28 Oct 2016,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oakdale-122383382,Oakdale,NSW,2570,7 Kerry Place,"7 Kerry Place, Oakdale, NSW 2570",567000,"$567,000",house,3,1,2,,,978.0,m²,,,,,19 Apr 2016,house,,978.0
