badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-131138142,Oatley,NSW,2223,33 Baker Street,"33 Baker Street, Oatley, NSW 2223",1380000,"$1,380,000",house,1,1,1,,,-1.0,,XRWOAT,Ray White Georges River - St George,,,01 Jun 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-oatley-119933281,Oatley,NSW,2223,105 Mulga Road,"105 Mulga Road, Oatley, NSW 2223",1010000,"$1,010,000",residential-other,1,1,1,,,-1.0,,PRNOAT,PRD - Harvey Oatley,,,25 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-115570067,Oatley,NSW,2223,8 Marine Drive,"8 Marine Drive, Oatley, NSW 2223",1060000,"$1,060,000",house,1,1,0,,,-1.0,,PRNOAT,PRD - Harvey Oatley,,,23 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-110722917,Oatley,NSW,2223,40A Wyong Street,"40A Wyong Street, Oatley, NSW 2223",675000,"$675,000",house,1,1,0,,,1052.0,m²,ARKENS,McGrath - South Hurstville,,,17 Aug 2012,house,,1052.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-133781558,Oatley,NSW,2223,72 Judd Street,"72 Judd Street, Oatley, NSW 2223",950000,"$950,000",house,1,1,2,,,509.0,m²,GAZMOR,Gavan Property - SOUTH HURSTVILLE,,,20 Jun 2020,house,,509.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-131306694,Oatley,NSW,2223,77 Seaforth Avenue,"77 Seaforth Avenue, Oatley, NSW 2223",1151000,"$1,151,000",house,1,1,1,,,580.0,m²,XRWOAT,Ray White Georges River - St George,,,29 Jun 2019,house,,580.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-107549725,Oatley,NSW,2223,32 Renown Avenue,"32 Renown Avenue, Oatley, NSW 2223",665000,"$665,000",house,1,1,1,,,-1.0,,XRWOAT,Ray White Georges River - St George,,,06 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-105733833,Oatley,NSW,2223,33a Annette Street,"33a Annette Street, Oatley, NSW 2223",625000,"$625,000",house,1,1,0,,,-1.0,,XRWOAT,Ray White Georges River - St George,,,22 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-116211759,Oatley,NSW,2223,20 Mimi Street,"20 Mimi Street, Oatley, NSW 2223",,Contact agent,house,1,1,0,,,1007.0,m²,GAZMOR,Gavan Property - SOUTH HURSTVILLE,,,,house,,1007.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-141919180,Oatley,NSW,2223,27 Ada Street,"27 Ada Street, Oatley, NSW 2223",1850000,"$1,850,000",house,2,1,1,,,525.0,m²,PRNOAT,PRD - Harvey Oatley,,,29 Apr 2023,house,,525.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-141508564,Oatley,NSW,2223,9 Southern Street,"9 Southern Street, Oatley, NSW 2223",1630000,"$1,630,000",house,2,1,1,,,-1.0,,GAZMOR,Gavan Property - SOUTH HURSTVILLE,,,11 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-139737163,Oatley,NSW,2223,27 Llewellyn Street,"27 Llewellyn Street, Oatley, NSW 2223",1440000,"$1,440,000",house,2,1,1,,,-1.0,,PRNOAT,PRD - Harvey Oatley,,,23 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-139403747,Oatley,NSW,2223,9 Judd Street,"9 Judd Street, Oatley, NSW 2223",1520000,"$1,520,000",house,2,1,2,,,550.1,m²,ZJJROL,Realm Property Group - OATLEY,,,25 Jun 2022,house,,550.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-138882079,Oatley,NSW,2223,54 Yarran  Road,"54 Yarran  Road, Oatley, NSW 2223",1880500,"$1,880,500",house,2,1,1,,,632.0,m²,XRWOAT,Ray White Georges River - St George,,,09 Apr 2022,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-138712995,Oatley,NSW,2223,20 Llewellyn Street,"20 Llewellyn Street, Oatley, NSW 2223",2600000,"$2,600,000",house,2,1,0,,,-1.0,,PRNOAT,PRD - Harvey Oatley,,,26 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-138549347,Oatley,NSW,2223,71 Letitia Street,"71 Letitia Street, Oatley, NSW 2223",3501000,"$3,501,000",house,2,2,2,,,1208.0,m²,XRWOAT,Ray White Georges River - St George,,,12 Mar 2022,house,,1208.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-138245258,Oatley,NSW,2223,14 Gungah Bay Road,"14 Gungah Bay Road, Oatley, NSW 2223",1653000,"$1,653,000",house,2,1,2,,,580.0,m²,IQPBVO,Ausrealty -  South Hurstville,,,01 Feb 2022,house,,580.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-135826614,Oatley,NSW,2223,8/5 Letitia Street,"8/5 Letitia Street, Oatley, NSW 2223",727000,"$727,000",house,2,1,1,,,-1.0,,XPNPAD,Professionals - Padstow,,,26 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-135935634,Oatley,NSW,2223,40 Boorara Avenue,"40 Boorara Avenue, Oatley, NSW 2223",1785000,"$1,785,000",house,2,1,1,,,500.0,m²,PRNOAT,PRD - Harvey Oatley,,,24 Apr 2021,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-135228690,Oatley,NSW,2223,90 Letitia Street,"90 Letitia Street, Oatley, NSW 2223",1420000,"$1,420,000",house,2,1,1,,,-1.0,,XRWOAT,Ray White Georges River - St George,,,29 Jan 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-133846346,Oatley,NSW,2223,27 Seaforth Avenue,"27 Seaforth Avenue, Oatley, NSW 2223",1420000,"$1,420,000",house,2,1,2,,,600.0,m²,PRNOAT,PRD - Harvey Oatley,,,18 Jul 2020,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oatley-133750770,Oatley,NSW,2223,13 Oatley Park Avenue,"13 Oatley Park Avenue, Oatley, NSW 2223",1590000,"$1,590,000",house,2,1,1,,,695.0,m²,PRNOAT,PRD - Harvey Oatley,,,04 Jul 2020,house,,695.0
