badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-107630506,Old Toongabbie,NSW,2146,4 Fitzwilliam Road,"4 Fitzwilliam Road, Old Toongabbie, NSW 2146",,Contact agent,house,1,1,6,300,m²,652.0,m²,,,,,06 Oct 2011,house,300,652.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-135818198,Old Toongabbie,NSW,2146,16 Nada Street,"16 Nada Street, Old Toongabbie, NSW 2146",1121000,"$1,121,000",house,2,2,2,,,607.0,m²,RLKTTY,McGrath - Parramatta,,,10 Apr 2021,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-130016226,Old Toongabbie,NSW,2146,17 Faulkner Street,"17 Faulkner Street, Old Toongabbie, NSW 2146",740000,"$740,000",house,2,1,4,,,626.0,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,01 Feb 2019,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-126161962,Old Toongabbie,NSW,2146,101 Binalong Road,"101 Binalong Road, Old Toongabbie, NSW 2146",880000,"$880,000",house,2,2,8,,,815.7,m²,AOQZZK,Property Inside Out - CASTLE HILL,,,20 Sep 2017,house,,815.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-112451411,Old Toongabbie,NSW,2146,352 Old Windsor Road,"352 Old Windsor Road, Old Toongabbie, NSW 2146",417500,"$417,500",house,2,1,1,,,600.7,m²,XSENOR,First National Walsh & Sullivan - Northmead,,,23 May 2013,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-107089531,Old Toongabbie,NSW,2146,,,,Contact agent,house,2,1,0,,,-1.0,,WAFBAU,Walsh & Sullivan First National - Winston Hills/Northmead,,,28 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-106858304,Old Toongabbie,NSW,2146,29 Bogalara Road,"29 Bogalara Road, Old Toongabbie, NSW 2146",395000,"$395,000",house,2,1,1,,,632.0,m²,ELDTOO,Elders Real Estate - Toongabbie,,,06 Oct 2010,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-106643122,Old Toongabbie,NSW,2146,,,458000,"$458,000",house,2,1,1,,,948.0,m²,XSENOR,First National Walsh & Sullivan - Northmead,,,14 Jul 2010,house,,948.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-105495018,Old Toongabbie,NSW,2146,36 Faulkner Street,"36 Faulkner Street, Old Toongabbie, NSW 2146",412000,"$412,000",house,2,1,4,,,-1.0,,RZCQUA,Response Real Estate - Quakers Hill,,,11 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-104908213,Old Toongabbie,NSW,2146,,,333000,"$333,000",house,2,2,0,,,753.0,m²,ELDTOO,Elders Real Estate - Toongabbie,,,19 Sep 2008,house,,753.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-old+toongabbie-141966144,Old Toongabbie,NSW,2146,125 Binalong Road,"125 Binalong Road, Old Toongabbie, NSW 2146",1085000,"$1,085,000",house,3,1,2,,,556.0,m²,RLKTTY,McGrath - Parramatta,,,28 Apr 2023,house,,556.0
