badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-orchard+hills-106079828,Orchard Hills,NSW,2748,,,760000,"$760,000",acreage,1,1,0,,,2.02,ha,MULQUJ,Ray White Diamantidis Group,,,16 Nov 2009,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-orchard+hills-105757304,Orchard Hills,NSW,2748,122-126 Samuel Marsden Road,"122-126 Samuel Marsden Road, Orchard Hills, NSW 2748",,Contact agent,acreage,1,1,0,,,-1.0,,,,,,18 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-orchard+hills-106398698,Orchard Hills,NSW,2748,,,,Contact agent,house,2,1,1,,,-1.0,,XFNPRT,Stanton & Taylor - PENRITH,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-orchard+hills-136305458,Orchard Hills,NSW,2748,20-24 FROGMORE ROAD,"20-24 FROGMORE ROAD, Orchard Hills, NSW 2748",2570000,"$2,570,000",acreage,3,2,6,,,7664.0,m²,MMDDUL,RE/MAX Lifestyle Marketing,,,12 Jun 2021,house,,7664.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-orchard+hills-119528703,Orchard Hills,NSW,2748,108 Lansdowne Road,"108 Lansdowne Road, Orchard Hills, NSW 2748",1520000,"$1,520,000",acreage,3,1,0,,,2.02,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,11 May 2015,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-orchard+hills-116946527,Orchard Hills,NSW,2748,47/51 Samuel Marsden Road,"47/51 Samuel Marsden Road, Orchard Hills, NSW 2748",950000,"$950,000",acreage,3,1,0,,,2.02,ha,VUDYDN,Goldstar Realty & Commercial - Fairfield,,,09 Feb 2015,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-orchard+hills-110937911,Orchard Hills,NSW,2748,1804 - 1812 The Northern Road,"1804 - 1812 The Northern Road, Orchard Hills, NSW 2748",1000000,"$1,000,000",house,3,1,1,,,2.0,ha,JIAREG,Jim Aitken + Partners - Glenmore Park,,,08 Nov 2013,house,,20000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-orchard+hills-113739659,Orchard Hills,NSW,2748,36-40 Homestead Road,"36-40 Homestead Road, Orchard Hills, NSW 2748",1270000,"$1,270,000",house,3,2,2,,,2.04,ha,JIAPEN,Jim Aitken + Partners - Penrith,,,28 May 2013,house,,20400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-orchard+hills-112122255,Orchard Hills,NSW,2748,233 Castle Road,"233 Castle Road, Orchard Hills, NSW 2748",901000,"$901,000",house,3,3,5,,,6070.0,m²,JIAPEN,Jim Aitken + Partners - Penrith,,,07 Dec 2012,house,,6070.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-orchard+hills-109343981,Orchard Hills,NSW,2748,,,425000,"$425,000",house,3,1,2,,,619.4,m²,XRXPEP,Property Central - Penrith,,,07 Mar 2012,house,,619.4
