badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-104620117,Oxley Park,NSW,2760,,,,Contact agent,house,0,1,0,,,-1.0,,XRHSTM,Raine & Horne - St Marys,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-112966151,Oxley Park,NSW,2760,24 Brisbane Street,"24 Brisbane Street, Oxley Park, NSW 2760",,Contact agent,house,1,1,0,,,-1.0,,OUIQFP,Laing+Simmons - The Abassi Group,,,27 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-109453056,Oxley Park,NSW,2760,138 Adelaide Street,"138 Adelaide Street, Oxley Park, NSW 2760",,Contact agent,house,1,1,0,,,1275.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,13 Feb 2012,house,,1275.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-136973446,Oxley Park,NSW,2760,17 Melbourne Street,"17 Melbourne Street, Oxley Park, NSW 2760",1000000,"$1,000,000",house,2,1,5,,,1126.0,m²,MULQUJ,Ray White Diamantidis Group,,,31 Aug 2021,house,,1126.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-131073506,Oxley Park,NSW,2760,61 Great Western Hwy,"61 Great Western Hwy, Oxley Park, NSW 2760",630000,"$630,000",house,2,1,3,,,929.0,m²,QQHRJX,LJ Hooker - Colyton | St Clair ,,,19 Jul 2019,house,,929.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-138103886,Oxley Park,NSW,2760,2/44 Brisbane Street,"2/44 Brisbane Street, Oxley Park, NSW 2760",600000,"$600,000",house,2,2,1,,,-1.0,,MULQUJ,Ray White Diamantidis Group,,,09 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-127104378,Oxley Park,NSW,2760,109 Canberra Street,"109 Canberra Street, Oxley Park, NSW 2760",1125000,"$1,125,000",house,2,1,2,,,1100.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,07 May 2018,house,,1100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-117821715,Oxley Park,NSW,2760,61-63 Great Western Highway,"61-63 Great Western Highway, Oxley Park, NSW 2760",435000,"$435,000",house,2,1,0,,,-1.0,,STASTM,Starr Partners Real Estate,,,11 Sep 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-116340443,Oxley Park,NSW,2760,,,340000,"$340,000",house,2,1,1,,,-1.0,,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,09 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-114124067,Oxley Park,NSW,2760,3 Gregory Avenue,"3 Gregory Avenue, Oxley Park, NSW 2760",340000,"$340,000",house,2,1,2,,,-1.0,,STASTM,Starr Partners Real Estate,,,15 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-113124191,Oxley Park,NSW,2760,,,430000,"$430,000",house,2,2,1,,,1094.0,m²,MULQUJ,Ray White Diamantidis Group,,,08 Mar 2013,house,,1094.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-oxley+park-136893026,Oxley Park,NSW,2760,2/126 Canberra Street,"2/126 Canberra Street, Oxley Park, NSW 2760",380000,"$380,000",residential-other,2,1,1,,,-1.0,,NLMXPL,Richardson & Wrench - Toongabbie,,,15 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-131563594,Oxley Park,NSW,2760,9 Perth Street,"9 Perth Street, Oxley Park, NSW 2760",445000,"$445,000",house,2,1,2,,,524.0,m²,XRHSTM,Raine & Horne - St Marys,,,16 Aug 2019,house,,524.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxley+park-126340346,Oxley Park,NSW,2760,14a Hobart Street,"14a Hobart Street, Oxley Park, NSW 2760",624000,"$624,000",house,2,2,1,,,-1.0,,XRHSTM,Raine & Horne - St Marys,,,23 Oct 2017,house,,-1.0
