badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-138856311,Oyster Bay,NSW,2225,138 Georges River Crescent,"138 Georges River Crescent, Oyster Bay, NSW 2225",1700000,"$1,700,000",house,1,1,0,,,1138.0,m²,CTPSYL,Collins & Giles Real Estate - Sylvania,,,13 Aug 2022,house,,1138.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-123346226,Oyster Bay,NSW,2225,39 Como Road,"39 Como Road, Oyster Bay, NSW 2225",1335000,"$1,335,000",house,1,1,1,,,-1.0,,SBENIM,Ray White Sutherland Shire - Sylvania,,,10 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-120974014,Oyster Bay,NSW,2225,30 Phillip Street,"30 Phillip Street, Oyster Bay, NSW 2225",815000,"$815,000",house,1,1,0,,,663.9,m²,,,,,07 Nov 2015,house,,663.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-106696688,Oyster Bay,NSW,2225,13 Oyster Bay Road,"13 Oyster Bay Road, Oyster Bay, NSW 2225",790000,"$790,000",house,1,1,0,,,569.0,m²,XFNJAN,Sanders Property Agents -   ,,,23 Sep 2010,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-106589070,Oyster Bay,NSW,2225,2/232 Oyster Bay Road,"2/232 Oyster Bay Road, Oyster Bay, NSW 2225",,Contact agent,house,1,1,3,,,-1.0,,ABRCAR,Abode Property Agents,,,23 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-106318150,Oyster Bay,NSW,2225,20 Loves Avenue,"20 Loves Avenue, Oyster Bay, NSW 2225",575000,"$575,000",house,1,1,0,,,910.0,m²,XFNJAN,Sanders Property Agents -   ,,,05 Mar 2010,house,,910.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-140600707,Oyster Bay,NSW,2225,65 Carvers Road,"65 Carvers Road, Oyster Bay, NSW 2225",1085000,"$1,085,000",house,2,1,2,,,600.7,m²,XFNJAN,Sanders Property Agents -   ,,,19 Oct 2022,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-140433691,Oyster Bay,NSW,2225,150 Oyster Bay Road,"150 Oyster Bay Road, Oyster Bay, NSW 2225",1055000,"$1,055,000",house,2,1,1,,,-1.0,,EMRLGJ,Hill & Viteri Property - Sutherland,,,15 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-137647270,Oyster Bay,NSW,2225,146 Georges River Crescent,"146 Georges River Crescent, Oyster Bay, NSW 2225",2200000,"$2,200,000",house,2,1,0,,,695.6,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,31 Jan 2022,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-137712154,Oyster Bay,NSW,2225,159 Caravan Head Road,"159 Caravan Head Road, Oyster Bay, NSW 2225",1552000,"$1,552,000",house,2,1,2,,,695.6,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,15 Nov 2021,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-oyster+bay-137000410,Oyster Bay,NSW,2225,37 Loves Avenue,"37 Loves Avenue, Oyster Bay, NSW 2225",1200000,"$1,200,000",house,2,1,1,,,580.0,m²,XFNJAN,Sanders Property Agents -   ,,,25 Aug 2021,house,,580.0
