badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-139302863,Pagewood,NSW,2035,80 Page Street,"80 Page Street, Pagewood, NSW 2035",1625000,"$1,625,000",house,2,1,2,,,518.0,m²,BBXSOU,Ballard Property Group - DOUBLE BAY,,,17 Jun 2022,house,,518.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-130862062,Pagewood,NSW,2035,25 Holloway Street,"25 Holloway Street, Pagewood, NSW 2035",1200000,"$1,200,000",house,2,1,2,,,503.0,m²,XCEMAR,Agents and Co Property Group,,,27 Apr 2019,house,,503.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-130825146,Pagewood,NSW,2035,26 Monash Gardens,"26 Monash Gardens, Pagewood, NSW 2035",1185000,"$1,185,000",house,2,1,2,,,-1.0,,XCEMAR,Agents and Co Property Group,,,27 Apr 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-128841998,Pagewood,NSW,2035,184  Banksia Street,"184  Banksia Street, Pagewood, NSW 2035",1500000,"$1,500,000",house,2,1,4,,,-1.0,,XRXALA,MyPlace Estate Agents - ZETLAND,,,25 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-126618218,Pagewood,NSW,2035,14 Begonia Street,"14 Begonia Street, Pagewood, NSW 2035",1575000,"$1,575,000",house,2,1,1,,,-1.0,,NHKHPA,One Agency - Menai/Sutherland,,,04 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-125826626,Pagewood,NSW,2035,157 Banksia Street,"157 Banksia Street, Pagewood, NSW 2035",1520000,"$1,520,000",house,2,1,1,,,-1.0,,RLGPIT,McGrath - Coogee,,,23 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-123725746,Pagewood,NSW,2035,34  Collins Street,"34  Collins Street, Pagewood, NSW 2035",1380000,"$1,380,000",house,2,1,2,,,451.0,m²,XCEMAR,Agents and Co Property Group,,,29 Oct 2016,house,,451.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-138595435,Pagewood,NSW,2035,14 Begonia Street,"14 Begonia Street, Pagewood, NSW 2035",2350000,"$2,350,000",house,2,1,1,,,493.0,m²,VTHWLC,The Agency - South East Sydney,,,20 Sep 2021,house,,493.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-123733450,Pagewood,NSW,2035,50 Banks Ave,"50 Banks Ave, Pagewood, NSW 2035",1760000,"$1,760,000",house,2,1,1,,,481.0,m²,WFLDYD,Sydney Side Real Estate - Rosebery,,,29 Oct 2016,house,,481.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-123002490,Pagewood,NSW,2035,40 Prince Edward Circle,"40 Prince Edward Circle, Pagewood, NSW 2035",1540000,"$1,540,000",house,2,1,2,,,-1.0,,KEQMCF,Primus Property - Kingsford,,,23 Jul 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-119846973,Pagewood,NSW,2035,4 Kerr Crescent,"4 Kerr Crescent, Pagewood, NSW 2035",1640000,"$1,640,000",house,2,2,1,,,435.0,m²,OXHDAR,Oxford Agency,,,20 Jun 2015,house,,435.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-118907311,Pagewood,NSW,2035,40 Prince Edward Circle,"40 Prince Edward Circle, Pagewood, NSW 2035",1305000,"$1,305,000",house,2,1,2,,,-1.0,,KEQMCF,Primus Property - Kingsford,,,21 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-118364823,Pagewood,NSW,2035,6 Maxwell Road,"6 Maxwell Road, Pagewood, NSW 2035",965000,"$965,000",house,2,1,2,,,-1.0,,PUAMAR,PRD - Perez Real Estate,,,04 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-117049384,Pagewood,NSW,2035,27a Lang Avenue,"27a Lang Avenue, Pagewood, NSW 2035",1215000,"$1,215,000",house,2,1,3,,,515.0,m²,QHTRNC,Belle Property - Randwick,,,21 Jun 2014,house,,515.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-110924679,Pagewood,NSW,2035,43 Heffron Road,"43 Heffron Road, Pagewood, NSW 2035",840000,"$840,000",house,2,1,3,,,-1.0,,XRHMAH,Raine & Horne - Maroubra,,,26 Jul 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-107503999,Pagewood,NSW,2035,34 Prince Edward Circle,"34 Prince Edward Circle, Pagewood, NSW 2035",945000,"$945,000",house,2,1,1,,,-1.0,,NGGKIN,NGFarah,,,23 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-107376437,Pagewood,NSW,2035,13 Monash Gardens,"13 Monash Gardens, Pagewood, NSW 2035",905000,"$905,000",house,2,1,1,,,418.0,m²,NGGKIN,NGFarah,,,31 May 2011,house,,418.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-105650579,Pagewood,NSW,2035,108 Bunnerong Road,"108 Bunnerong Road, Pagewood, NSW 2035",860000,"$860,000",house,2,1,2,,,-1.0,,XRWMAB,Ray White - Maroubra / South Coogee,,,16 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pagewood-129004114,Pagewood,NSW,2035,50 Banks Avenue,"50 Banks Avenue, Pagewood, NSW 2035",1660000,"$1,660,000",house,2,1,2,,,481.0,m²,XCEMAR,Agents and Co Property Group,,,01 Sep 2018,house,,481.0
