badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-parramatta-107236546,Parramatta,NSW,2150,"shop 8, 1-9 Palmer Street","shop 8, 1-9 Palmer Street, Parramatta, NSW 2150",275000,"$275,000",residential-other,0,1,2,60.39,m²,-1.0,,GBSEFS,RE/MAX K1 - Eastwood,,,28 Nov 2011,house,60.39,-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-parramatta-115917319,Parramatta,NSW,2150,33 Campbell Street,"33 Campbell Street, Parramatta, NSW 2150",,Contact agent,warehouse,0,1,0,,,-1.0,,MDUSYD,Mint Residential  - Sydney,,,14 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-parramatta-107175986,Parramatta,NSW,2150,181 Church St,"181 Church St, Parramatta, NSW 2150",,Contact agent,residential-other,0,1,0,,,-1.0,,ZPCANT,Realty Professional - EASTWOOD,,,03 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-parramatta-106378390,Parramatta,NSW,2150,,,,Contact agent,residential-other,0,1,1,,,-1.0,,,,,,30 Jun 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-parramatta-139725635,Parramatta,NSW,2150,68 Crimea Street,"68 Crimea Street, Parramatta, NSW 2150",1500000,"$1,500,000",house,1,1,1,,,584.98,m²,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,18 Nov 2022,house,,584.98
Sold,https://www.realestate.com.au/sold/property-house-nsw-parramatta-123500314,Parramatta,NSW,2150,33 Lansdowne Street,"33 Lansdowne Street, Parramatta, NSW 2150",1165000,"$1,165,000",house,1,1,0,,,-1.0,,RLKTTY,McGrath - Parramatta,,,01 Oct 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-parramatta-121835946,Parramatta,NSW,2150,73/2 O'Connell Street (also known as 73/5 Aird St),"73/2 O'Connell Street (also known as 73/5 Aird St), Parramatta, NSW 2150",35000,"$35,000",residential-other,1,1,1,,,-1.0,,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,17 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-parramatta-119401727,Parramatta,NSW,2150,129 - 131 Pennant Street,"129 - 131 Pennant Street, Parramatta, NSW 2150",4220000,"$4,220,000",house,1,1,0,,,-1.0,,STANOR,Stone Real Estate - Parramatta,,,16 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-parramatta-117012011,Parramatta,NSW,2150,11 & 13 Denison Street,"11 & 13 Denison Street, Parramatta, NSW 2150",1600000,"$1,600,000",house,1,1,1,,,-1.0,,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,14 Jun 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-parramatta-111741871,Parramatta,NSW,2150,8 Lansdowne St,"8 Lansdowne St, Parramatta, NSW 2150",520000,"$520,000",house,1,1,0,,,-1.0,,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,21 Dec 2012,house,,-1.0
