badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-peats+ridge-128309402,Peats Ridge,NSW,2250,1168 Peats Ridge Road,"1168 Peats Ridge Road, Peats Ridge, NSW 2250",1400000,"$1,400,000",house,3,3,3,,,2.13,ha,AMCFOR,Raine & Horne Forestville - Frenchs Forest,,,01 Jun 2018,house,,21300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-124447894,Peats Ridge,NSW,2250,1419 Peats Ridge Road,"1419 Peats Ridge Road, Peats Ridge, NSW 2250",2250000,"$2,250,000",acreage,3,1,1,140,m²,23.7,ha,MIFKUL,Michael Kidd Property Sales Pty Ltd - Kulnura,,,28 Jun 2017,house,140,237000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-121979474,Peats Ridge,NSW,2250,1865 Peats Ridge Road,"1865 Peats Ridge Road, Peats Ridge, NSW 2250",1280000,"$1,280,000",acreage,3,2,4,,,5.62,ha,WVGJFS,Rural Real Estate - Mangrove Mountain,,,03 Apr 2016,house,,56200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-120544185,Peats Ridge,NSW,2250,1087 Peats Ridge Road,"1087 Peats Ridge Road, Peats Ridge, NSW 2250",,Contact agent,acreage,3,2,7,,,16.0,ha,XRHTER,McGrath - Terrigal,,,09 Oct 2015,house,,160000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-peats+ridge-109915611,Peats Ridge,NSW,2250,,,,Contact agent,house,3,1,2,,,12.95,ha,NXAUEZ,Lobsey Property - Rouse Hill,,,26 Sep 2013,house,,129500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-105051862,Peats Ridge,NSW,2250,,,,Contact agent,acreage,3,1,1,,,23.88,ha,,,,,14 Nov 2008,house,,238800.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-104535088,Peats Ridge,NSW,2250,,,,Contact agent,acreage,3,1,15,250,m²,10.24,ha,XLJGOS,LJ Hooker - Gosford/Lisarow,,,,house,250,102400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-140019603,Peats Ridge,NSW,2250,1409 Peats Ridge Road,"1409 Peats Ridge Road, Peats Ridge, NSW 2250",4500000,"$4,500,000",acreage,4,2,12,,,19.42,ha,NFIAKY,Stone Real Estate - Wyong,,,06 Sep 2022,house,,194200.00000000003
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-127317018,Peats Ridge,NSW,2250,1409 Peats Ridge Road,"1409 Peats Ridge Road, Peats Ridge, NSW 2250",2750000,"$2,750,000",acreage,4,2,0,,,19.99,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,27 Nov 2019,house,,199899.99999999997
Sold,https://www.realestate.com.au/sold/property-house-nsw-peats+ridge-121526722,Peats Ridge,NSW,2250,1079 Peats Ridge Road,"1079 Peats Ridge Road, Peats Ridge, NSW 2250",1230000,"$1,230,000",house,4,2,2,,,3.24,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,05 Feb 2016,house,,32400.000000000004
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-118780651,Peats Ridge,NSW,2250,1820 Peats Ridge Road,"1820 Peats Ridge Road, Peats Ridge, NSW 2250",1150000,"$1,150,000",acreage,4,2,5,,,4.05,ha,MIFKUL,Michael Kidd Property Sales Pty Ltd - Kulnura,,,17 Feb 2015,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-peats+ridge-140467431,Peats Ridge,NSW,2250,1360 Peats Ridge Road,"1360 Peats Ridge Road, Peats Ridge, NSW 2250",,Contact agent,acreage,4,2,2,,,2.39,ha,NFIAKY,Stone Real Estate - Wyong,,,16 Jan 2023,house,,23900.0
