badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-129104922,Pendle Hill,NSW,2145,10 Collins Street,"10 Collins Street, Pendle Hill, NSW 2145",880000,"$880,000",house,0,2,1,,,547.0,m²,,,,,15 Nov 2018,house,,547.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-113462611,Pendle Hill,NSW,2145,,,495000,"$495,000",house,0,1,0,,,695.0,m²,STAWEN,Best Real Estate - Wentworthville,,,16 Apr 2013,house,,695.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pendle+hill-135863590,Pendle Hill,NSW,2145,Shop 1 Lot 26/13-15 Civic Ave,"Shop 1 Lot 26/13-15 Civic Ave, Pendle Hill, NSW 2145",800000,"$800,000",residential-other,1,1,3,151,m²,-1.0,,AOQZZK,Property Inside Out - CASTLE HILL,,,28 Sep 2022,house,151,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pendle+hill-135896762,Pendle Hill,NSW,2145,Shop 3 Lot 28/13-15 Civic Ave,"Shop 3 Lot 28/13-15 Civic Ave, Pendle Hill, NSW 2145",687980,"$687,980",residential-other,1,1,3,140,m²,-1.0,,AOQZZK,Property Inside Out - CASTLE HILL,,,15 Jul 2022,house,140,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-121823282,Pendle Hill,NSW,2145,2 Gilba Road,"2 Gilba Road, Pendle Hill, NSW 2145",2050000,"$2,050,000",house,1,1,1,,,-1.0,,AOQZZK,Property Inside Out - CASTLE HILL,,,11 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pendle+hill-135493118,Pendle Hill,NSW,2145,Shop 4 Lot 29/13-15 Civic Ave,"Shop 4 Lot 29/13-15 Civic Ave, Pendle Hill, NSW 2145",355496,"$355,496",residential-other,1,1,2,41,m²,-1.0,,AOQZZK,Property Inside Out - CASTLE HILL,,,05 Feb 2021,house,41,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pendle+hill-135147530,Pendle Hill,NSW,2145,Shop 2  Lot 27/13-15 Civic Ave,"Shop 2  Lot 27/13-15 Civic Ave, Pendle Hill, NSW 2145",433661,"$433,661",residential-other,1,1,2,50,m²,-1.0,,AOQZZK,Property Inside Out - CASTLE HILL,,,18 Dec 2020,house,50,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pendle+hill-135147534,Pendle Hill,NSW,2145,Shop 5 Lot 30/13-15 Civic Ave,"Shop 5 Lot 30/13-15 Civic Ave, Pendle Hill, NSW 2145",338391,"$338,391",residential-other,1,1,2,39,m²,-1.0,,AOQZZK,Property Inside Out - CASTLE HILL,,,04 Dec 2020,house,39,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-122887910,Pendle Hill,NSW,2145,4 Gilba Road,"4 Gilba Road, Pendle Hill, NSW 2145",2050000,"$2,050,000",house,1,1,1,,,-1.0,,AOQZZK,Property Inside Out - CASTLE HILL,,,11 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-140883976,Pendle Hill,NSW,2145,27 Rowley Street,"27 Rowley Street, Pendle Hill, NSW 2145",1170000,"$1,170,000",house,2,2,3,,,594.4,m²,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,10 Dec 2022,house,,594.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-140198831,Pendle Hill,NSW,2145,36 Gilba Road,"36 Gilba Road, Pendle Hill, NSW 2145",1390000,"$1,390,000",house,2,1,2,,,607.0,m²,RLKTTY,McGrath - Parramatta,,,24 Sep 2022,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-139520603,Pendle Hill,NSW,2145,29 Burrabogee Road,"29 Burrabogee Road, Pendle Hill, NSW 2145",872000,"$872,000",house,2,1,1,,,613.0,m²,WAFBAU,Walsh & Sullivan First National - Winston Hills/Northmead,,,21 Jul 2022,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-138571347,Pendle Hill,NSW,2145,18 Camillo Street,"18 Camillo Street, Pendle Hill, NSW 2145",1050000,"$1,050,000",house,2,1,2,,,-1.0,,RLKTTY,McGrath - Parramatta,,,19 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-138557347,Pendle Hill,NSW,2145,36 Jones Street,"36 Jones Street, Pendle Hill, NSW 2145",1195000,"$1,195,000",house,2,1,1,,,607.0,m²,RLKTTY,McGrath - Parramatta,,,07 Mar 2022,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-138023322,Pendle Hill,NSW,2145,17 Bringelly Avenue,"17 Bringelly Avenue, Pendle Hill, NSW 2145",1230000,"$1,230,000",house,2,1,0,,,651.0,m²,PZHJFY,Westons Property & Co. - WINSTON HILLS,,,20 Dec 2021,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-134786246,Pendle Hill,NSW,2145,12 Calla Grove,"12 Calla Grove, Pendle Hill, NSW 2145",906000,"$906,000",house,2,1,1,,,575.0,m²,AOQZZK,Property Inside Out - CASTLE HILL,,,05 Dec 2020,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-134077122,Pendle Hill,NSW,2145,61 Pendle Way,"61 Pendle Way, Pendle Hill, NSW 2145",831000,"$831,000",house,2,2,1,,,607.0,m²,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,22 Aug 2020,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-131587374,Pendle Hill,NSW,2145,17 Birtles Ave,"17 Birtles Ave, Pendle Hill, NSW 2145",1700000,"$1,700,000",house,2,1,1,,,-1.0,,XLSWEN,Laing+Simmons - Wentworthville,,,30 Jul 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-130683734,Pendle Hill,NSW,2145,5 Comber Crescent,"5 Comber Crescent, Pendle Hill, NSW 2145",690000,"$690,000",house,2,1,2,,,581.7,m²,JLZJLO,McGrath - Blacktown,,,02 May 2019,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-129592598,Pendle Hill,NSW,2145,36 Gilba Road,"36 Gilba Road, Pendle Hill, NSW 2145",815000,"$815,000",house,2,1,1,,,-1.0,,STANOR,Stone Real Estate - Parramatta,,,17 Nov 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-129117738,Pendle Hill,NSW,2145,8 Collins Street,"8 Collins Street, Pendle Hill, NSW 2145",750000,"$750,000",house,2,1,1,,,519.0,m²,XLSWEN,Laing+Simmons - Wentworthville,,,04 Sep 2018,house,,519.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-128243882,Pendle Hill,NSW,2145,24 Rowley Street,"24 Rowley Street, Pendle Hill, NSW 2145",790000,"$790,000",house,2,1,0,,,632.3,m²,STABLA,Starr Partners - Blacktown,,,28 May 2018,house,,632.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-126229042,Pendle Hill,NSW,2145,470 Great Western Highway,"470 Great Western Highway, Pendle Hill, NSW 2145",640000,"$640,000",house,2,1,1,,,-1.0,,CZMNUJ,First National Real Estate Bella Vista - BELLA VISTA,,,22 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-126640602,Pendle Hill,NSW,2145,6 Rowley Street,"6 Rowley Street, Pendle Hill, NSW 2145",905000,"$905,000",house,2,2,1,,,537.5,m²,ELDTOO,Elders Real Estate - Toongabbie,,,17 Oct 2017,house,,537.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-126280246,Pendle Hill,NSW,2145,45 Pendle Way,"45 Pendle Way, Pendle Hill, NSW 2145",866000,"$866,000",house,2,1,2,,,609.0,m²,SSFFTE,Starr Partners - Wentworthville,,,23 Sep 2017,house,,609.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-126056578,Pendle Hill,NSW,2145,26 Collins Street,"26 Collins Street, Pendle Hill, NSW 2145",765000,"$765,000",house,2,1,1,,,537.5,m²,NAXXFT,McGrath Estate Agents - Liverpool,,,28 Aug 2017,house,,537.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-pendle+hill-138901735,Pendle Hill,NSW,2145,8/105-113 Stapleton Street,"8/105-113 Stapleton Street, Pendle Hill, NSW 2145",456000,"$456,000",house,2,1,1,,,-1.0,,GWZNVI,Trend Setter Real Estate - Wentworthville,,,01 Mar 2022,house,,-1.0
