badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-petersham-105543805,Petersham,NSW,2049,107-115 New Canterbury Road,"107-115 New Canterbury Road, Petersham, NSW 2049",2900000,"$2,900,000",residential-other,0,1,0,,,-1.0,,XRHPET,Raine & Horne - Petersham,,,06 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-129198698,Petersham,NSW,2049,53 Crystal Street,"53 Crystal Street, Petersham, NSW 2049",850000,"$850,000",house,1,1,0,,,106.2,m²,YOYWNU,Raine & Horne - Marrickville,,,26 Aug 2019,house,,106.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-113105443,Petersham,NSW,2049,22 Allans Avenue,"22 Allans Avenue, Petersham, NSW 2049",830000,"$830,000",house,1,1,1,,,-1.0,,CAZANN,Callagher Estate Agents - Annandale,,,15 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-107275427,Petersham,NSW,2049,15 Petersham Street,"15 Petersham Street, Petersham, NSW 2049",590000,"$590,000",house,1,1,0,,,87.0,m²,PLFPET,CobdenHayson - Petersham,,,16 Apr 2011,house,,87.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-106582276,Petersham,NSW,2049,15 Station Street,"15 Station Street, Petersham, NSW 2049",705000,"$705,000",house,1,1,0,,,-1.0,,WJTUOM,Belle Property - Annandale,,,26 Jun 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-141448440,Petersham,NSW,2049,14 Brighton Street,"14 Brighton Street, Petersham, NSW 2049",,Contact agent,house,1,1,2,,,418.0,m²,XLJLEI,MONTANO GROUP - LEICHHARDT,,,15 Mar 2023,house,,418.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-131281026,Petersham,NSW,2049,15 Petersham Street,"15 Petersham Street, Petersham, NSW 2049",,Contact agent,house,1,1,0,,,-1.0,,VHPGLB,Stone - Newtown,,,24 Jun 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-141940456,Petersham,NSW,2049,1 Maria Street,"1 Maria Street, Petersham, NSW 2049",1684000,"$1,684,000",house,2,1,0,,,183.4,m²,LCZVJE,Adrian William,,,06 May 2023,house,,183.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-141755504,Petersham,NSW,2049,81 Morgan Street,"81 Morgan Street, Petersham, NSW 2049",1697000,"$1,697,000",house,2,1,0,,,240.0,m²,PLFPET,CobdenHayson - Petersham,,,15 Apr 2023,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-petersham-141300836,Petersham,NSW,2049,46 Andreas Street,"46 Andreas Street, Petersham, NSW 2049",1702000,"$1,702,000",house,2,2,0,,,113.8,m²,LCZVJE,Adrian William,,,25 Feb 2023,house,,113.8
