badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-125117630,Phegans Bay,NSW,2256,,,650000,"$650,000",house,1,1,0,,,-1.0,,XRWUMI,Ray White - Umina Beach,,,10 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-121562890,Phegans Bay,NSW,2256,56 Monastir Rd,"56 Monastir Rd, Phegans Bay, NSW 2256",419000,"$419,000",house,1,1,0,,,556.0,m²,ABCSRU,Raine & Horne - Umina Beach & Woy Woy  ,,,22 Jul 2016,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-105979118,Phegans Bay,NSW,2256,56 Monastir Road,"56 Monastir Road, Phegans Bay, NSW 2256",285000,"$285,000",house,1,1,0,,,560.0,m²,,,,,31 Mar 2010,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-103990673,Phegans Bay,NSW,2256,,,,Contact agent,house,1,1,1,,,531.0,m²,XFNETT,G L Jackson & Co First National - Ettalong Beach,,,,house,,531.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-138468747,Phegans Bay,NSW,2256,189 Phegans Bay Road,"189 Phegans Bay Road, Phegans Bay, NSW 2256",867500,"$867,500",house,2,1,1,,,246.6,m²,XLSETT,McGrath - Ettalong Beach,,,16 Mar 2022,house,,246.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-138024310,Phegans Bay,NSW,2256,16 Phegans Bay Road,"16 Phegans Bay Road, Phegans Bay, NSW 2256",1475000,"$1,475,000",house,2,1,1,,,565.0,m²,XCEUMI,Wiseberry Peninsula - Umina Beach,,,18 Jan 2022,house,,565.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-139055891,Phegans Bay,NSW,2256,9 Raymond Road,"9 Raymond Road, Phegans Bay, NSW 2256",627250,"$627,250",house,2,1,0,,,392.0,m²,XRWDPT,Ray White - Woy Woy,,,04 Jul 2022,house,,392.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-132427134,Phegans Bay,NSW,2256,26 Monastir Road,"26 Monastir Road, Phegans Bay, NSW 2256",640000,"$640,000",house,2,1,3,,,-1.0,,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,29 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-132975942,Phegans Bay,NSW,2256,76 Monastir Road,"76 Monastir Road, Phegans Bay, NSW 2256",560000,"$560,000",house,2,1,1,,,-1.0,,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,10 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-124427826,Phegans Bay,NSW,2256,70 Phegans Bay Road,"70 Phegans Bay Road, Phegans Bay, NSW 2256",670000,"$670,000",house,2,1,0,,,-1.0,,GCZFWD,Richardson & Wrench - Umina Beach,,,13 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-120948314,Phegans Bay,NSW,2256,4 Central  Avenue,"4 Central  Avenue, Phegans Bay, NSW 2256",692000,"$692,000",house,2,1,2,,,727.0,m²,XCEUMI,Wiseberry Peninsula - Umina Beach,,,29 Apr 2016,house,,727.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-120607885,Phegans Bay,NSW,2256,119 Phegans Bay  Road,"119 Phegans Bay  Road, Phegans Bay, NSW 2256",520000,"$520,000",house,2,1,0,,,485.0,m²,XCEUMI,Wiseberry Peninsula - Umina Beach,,,28 Sep 2015,house,,485.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-118157295,Phegans Bay,NSW,2256,42A Phegans Bay Road,"42A Phegans Bay Road, Phegans Bay, NSW 2256",550000,"$550,000",house,2,1,0,,,581.7,m²,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,28 Aug 2015,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-119898145,Phegans Bay,NSW,2256,24 Monastir Road,"24 Monastir Road, Phegans Bay, NSW 2256",607500,"$607,500",house,2,2,2,,,442.0,m²,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,16 Jun 2015,house,,442.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-119313307,Phegans Bay,NSW,2256,12 Monastir Rd,"12 Monastir Rd, Phegans Bay, NSW 2256",562500,"$562,500",house,2,1,0,,,515.7,m²,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,13 Apr 2015,house,,515.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-118555851,Phegans Bay,NSW,2256,189 Phegans Bay Road,"189 Phegans Bay Road, Phegans Bay, NSW 2256",435000,"$435,000",house,2,1,1,,,-1.0,,XLSETT,McGrath - Ettalong Beach,,,09 Jan 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-118262683,Phegans Bay,NSW,2256,16 Phegans bay  Road,"16 Phegans bay  Road, Phegans Bay, NSW 2256",600000,"$600,000",house,2,1,0,,,-1.0,,XCEUMI,Wiseberry Peninsula - Umina Beach,,,08 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-108300756,Phegans Bay,NSW,2256,189 Phegans Bay Road,"189 Phegans Bay Road, Phegans Bay, NSW 2256",410000,"$410,000",house,2,1,1,,,149.0,m²,XLSETT,McGrath - Ettalong Beach,,,31 Mar 2012,house,,149.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-107267761,Phegans Bay,NSW,2256,12 Phegans Bay Road,"12 Phegans Bay Road, Phegans Bay, NSW 2256",290000,"$290,000",house,2,1,0,,,563.0,m²,XLSETT,McGrath - Ettalong Beach,,,18 Aug 2011,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-105635115,Phegans Bay,NSW,2256,29 Raymond Road,"29 Raymond Road, Phegans Bay, NSW 2256",296500,"$296,500",house,2,1,1,,,-1.0,,,,,,09 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-137248286,Phegans Bay,NSW,2256,22 Monastir Road,"22 Monastir Road, Phegans Bay, NSW 2256",1715000,"$1,715,000",house,2,1,2,,,500.0,m²,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,01 Oct 2021,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-132445970,Phegans Bay,NSW,2256,4 Central Avenue,"4 Central Avenue, Phegans Bay, NSW 2256",955000,"$955,000",house,2,1,2,,,-1.0,,XCEUMI,Wiseberry Peninsula - Umina Beach,,,07 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-122515862,Phegans Bay,NSW,2256,183 Phegans Bay Road,"183 Phegans Bay Road, Phegans Bay, NSW 2256",385000,"$385,000",house,2,1,0,,,190.0,m²,,,,,14 Jul 2016,house,,190.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-114863407,Phegans Bay,NSW,2256,66 Phegans bay  Road,"66 Phegans bay  Road, Phegans Bay, NSW 2256",540000,"Range: $460,000 - $540,000",house,2,1,1,,,562.0,m²,XCEUMI,Wiseberry Peninsula - Umina Beach,,,28 Sep 2013,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-113058355,Phegans Bay,NSW,2256,,,330000,"$330,000",house,2,1,1,,,-1.0,,XFNETT,G L Jackson & Co First National - Ettalong Beach,,,30 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-phegans+bay-113147459,Phegans Bay,NSW,2256,169 Phegans Bay Road,"169 Phegans Bay Road, Phegans Bay, NSW 2256",300000,"$300,000",house,2,1,0,,,-1.0,,XRWDPT,Ray White - Woy Woy,,,19 May 2013,house,,-1.0
