badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-121359254,Picnic Point,NSW,2213,798 Henry Lawson Drive,"798 Henry Lawson Drive, Picnic Point, NSW 2213",1270000,"$1,270,000",house,1,1,1,,,1682.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,11 Dec 2015,house,,1682.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-113995079,Picnic Point,NSW,2213,6 Elliott Street,"6 Elliott Street, Picnic Point, NSW 2213",867000,"$867,000",house,1,1,1,,,870.0,m²,QKUDWB,Century 21 Bayview - Brighton Le Sands | Dolls Point,,,10 Aug 2013,house,,870.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-141743884,Picnic Point,NSW,2213,24 Parkview Avenue,"24 Parkview Avenue, Picnic Point, NSW 2213",1380000,"$1,380,000",house,2,1,2,,,556.0,m²,ALGPAN,Alliance Real Estate - Panania,,,15 Apr 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-140277239,Picnic Point,NSW,2213,30 Thomas Street,"30 Thomas Street, Picnic Point, NSW 2213",1120000,"$1,120,000",house,2,1,1,,,588.0,m²,KVXFUR,Clarke National REALTY - Revesby,,,13 Sep 2022,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-139638935,Picnic Point,NSW,2213,36 Doris Street,"36 Doris Street, Picnic Point, NSW 2213",1490000,"$1,490,000",house,2,1,1,,,733.0,m²,XPNPAD,Professionals - Padstow,,,02 Jul 2022,house,,733.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-136238578,Picnic Point,NSW,2213,742 Henry Lawson Drive,"742 Henry Lawson Drive, Picnic Point, NSW 2213",1010000,"$1,010,000",house,2,1,1,,,634.0,m²,XNFPAN,PRD - Panania,,,05 Jul 2021,house,,634.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-135739562,Picnic Point,NSW,2213,22 Lawler Street,"22 Lawler Street, Picnic Point, NSW 2213",1200000,"$1,200,000",house,2,1,1,,,770.0,m²,MIVWOV,McGrath - Revesby,,,10 Apr 2021,house,,770.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-134214042,Picnic Point,NSW,2213,38 Kelvin Parade,"38 Kelvin Parade, Picnic Point, NSW 2213",880000,"$880,000",house,2,1,2,,,-1.0,,XPNPAD,Professionals - Padstow,,,13 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-133455118,Picnic Point,NSW,2213,742 Henry Lawson Drive,"742 Henry Lawson Drive, Picnic Point, NSW 2213",798000,"$798,000",house,2,1,1,,,-1.0,,XLJPAF,LJ Hooker - Padstow  ,,,23 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-129863622,Picnic Point,NSW,2213,11 Eileen Street,"11 Eileen Street, Picnic Point, NSW 2213",860000,"$860,000",house,2,1,1,,,588.0,m²,MIVWOV,McGrath - Revesby,,,08 Dec 2018,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-129746990,Picnic Point,NSW,2213,1 Doris Street,"1 Doris Street, Picnic Point, NSW 2213",930000,"$930,000",house,2,1,5,,,689.2,m²,ZZZAEN,Century 21 Innovative Realty - Revesby,,,29 Nov 2018,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-126336130,Picnic Point,NSW,2213,103 Ramsay Road,"103 Ramsay Road, Picnic Point, NSW 2213",1710000,"$1,710,000",house,2,1,4,,,1040.0,m²,ALGPAN,Alliance Real Estate - Panania,,,07 Oct 2017,house,,1040.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-125643762,Picnic Point,NSW,2213,8 Drysdale Ave,"8 Drysdale Ave, Picnic Point, NSW 2213",955000,"$955,000",house,2,1,1,,,556.0,m²,KVXFUR,Clarke National REALTY - Revesby,,,07 Jul 2017,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-120236909,Picnic Point,NSW,2213,824 Henry Lawson Drive,"824 Henry Lawson Drive, Picnic Point, NSW 2213",1410000,"$1,410,000",house,2,1,1,,,1148.0,m²,XPNPAD,Professionals - Padstow,,,08 Aug 2015,house,,1148.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picnic+point-138760939,Picnic Point,NSW,2213,65 Kelvin Parade,"65 Kelvin Parade, Picnic Point, NSW 2213",1300000,"$1,300,000",house,2,1,0,,,486.9,m²,MIVWOV,McGrath - Revesby,,,18 Feb 2022,house,,486.9
