badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-picton-113055983,Picton,NSW,2571,,,390000,"Range: $330,000 - $390,000",warehouse,0,1,0,,,241.0,m²,XLJPIC,JSB Property Group,,,20 Aug 2015,house,,241.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-116001163,Picton,NSW,2571,7 Sonja Place,"7 Sonja Place, Picton, NSW 2571",740000,"$740,000",house,0,3,8,241.55,m²,4050.0,m²,XCEPCN,Century 21 - Picton,,,05 Mar 2014,house,241.55,4050.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-picton-107017591,Picton,NSW,2571,7  Carramar Close,"7  Carramar Close, Picton, NSW 2571",,Contact agent,residential-other,0,2147483647,0,,,-1.0,,PRIEKU,Di Mez Real Estate - Appin,,,28 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-129667186,Picton,NSW,2571,Unit 23 Henry Street,"Unit 23 Henry Street, Picton, NSW 2571",300000,"$300,000",house,1,1,0,,,162.0,m²,XRWXEC,Ray White - Picton,,,28 Nov 2018,house,,162.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-119833287,Picton,NSW,2571,4/143 Argyle Street,"4/143 Argyle Street, Picton, NSW 2571",320000,"$320,000",house,1,1,1,129,m²,-1.0,,ELDPIC,Elders Real Estate  - Picton ,,,12 Jun 2015,house,129,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-119631479,Picton,NSW,2571,7 Margaret Street,"7 Margaret Street, Picton, NSW 2571",450000,"$450,000",house,1,1,0,,,676.0,m²,ELDPIC,Elders Real Estate  - Picton ,,,23 May 2015,house,,676.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-106673477,Picton,NSW,2571,7/4 Margaret Street,"7/4 Margaret Street, Picton, NSW 2571",,Contact agent,house,1,1,0,,,1308.0,m²,,,,,23 Sep 2011,house,,1308.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-109940696,Picton,NSW,2571,30 Picton Avenue,"30 Picton Avenue, Picton, NSW 2571",,Contact agent,house,1,1,0,,,-1.0,,XRWXEC,Ray White - Picton,,,26 Apr 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-106921997,Picton,NSW,2571,22 Antill,"22 Antill, Picton, NSW 2571",230000,"$230,000",house,1,1,0,,,-1.0,,ZPCAHP,RESIDE Real Estate - Wollondilly/Macarthur,,,09 Nov 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-106600997,Picton,NSW,2571,,,247500,"$247,500",house,1,1,0,,,809.0,m²,ELDPIC,Elders Real Estate  - Picton ,,,24 Aug 2010,house,,809.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-104627953,Picton,NSW,2571,34 Wild Street,"34 Wild Street, Picton, NSW 2571",,Contact agent,house,1,1,0,,,-1.0,,,,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-140492539,Picton,NSW,2571,4/5 Regreme Road,"4/5 Regreme Road, Picton, NSW 2571",480000,"$480,000",house,2,1,1,,,-1.0,,XRWXEC,Ray White - Picton,,,21 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-136962074,Picton,NSW,2571,6/4 Margaret Street,"6/4 Margaret Street, Picton, NSW 2571",431000,"$431,000",house,2,1,1,81,m²,1311.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,17 Aug 2021,house,81,1311.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-132545314,Picton,NSW,2571,1/5 Regreme Road,"1/5 Regreme Road, Picton, NSW 2571",380000,"$380,000",house,2,1,1,,,-1.0,,XRWXEC,Ray White - Picton,,,28 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-picton-132292522,Picton,NSW,2571,14 Bridge Street,"14 Bridge Street, Picton, NSW 2571",540000,"$540,000",house,2,1,1,,,1593.0,m²,PPUTAH,Carpenter Partners Real Estate - Tahmoor,,,05 Dec 2019,house,,1593.0
