badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-123024486,Port Hacking,NSW,2229,1 Turriell Point Road,"1 Turriell Point Road, Port Hacking, NSW 2229",1332500,"$1,332,500",house,2,1,2,,,581.7,m²,XFNCAV,Peter James Realty - Caringbah,,,16 Jul 2016,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-134951638,Port Hacking,NSW,2229,23 Bass Street,"23 Bass Street, Port Hacking, NSW 2229",1415000,"$1,415,000",house,2,1,2,,,992.0,m²,BWZQTE,Highland - Sutherland Shire & St George,,,20 Nov 2020,house,,992.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-135923646,Port Hacking,NSW,2229,83 Turriell Point Road,"83 Turriell Point Road, Port Hacking, NSW 2229",1500000,"$1,500,000",house,2,1,1,,,-1.0,,NEKPNG,Signature Property Agents - Lilli Pilli,,,07 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-107586231,Port Hacking,NSW,2229,669 Port Hacking Road,"669 Port Hacking Road, Port Hacking, NSW 2229",800000,"$800,000",house,2,1,1,,,-1.0,,XMHCRO,McGrath Sutherland Shire - Cronulla,,,31 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-104564732,Port Hacking,NSW,2229,16 Shiprock Road,"16 Shiprock Road, Port Hacking, NSW 2229",1600000,"$1,600,000",house,2,1,2,,,-1.0,,XMHCRO,McGrath Sutherland Shire - Cronulla,,,27 Feb 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-140059875,Port Hacking,NSW,2229,23 Bass Street,"23 Bass Street, Port Hacking, NSW 2229",2248000,"$2,248,000",house,2,1,2,,,-1.0,,BWZQTE,Highland - Sutherland Shire & St George,,,06 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-106677524,Port Hacking,NSW,2229,30 Bass Street,"30 Bass Street, Port Hacking, NSW 2229",,Contact agent,house,2,1,1,,,-1.0,,,,,,05 Aug 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-135866382,Port Hacking,NSW,2229,1 Mookara Place,"1 Mookara Place, Port Hacking, NSW 2229",1810000,"$1,810,000",house,3,2,2,,,765.1,m²,GIBCRO,Gibson Partners Real Estate - Cronulla,,,17 Apr 2021,house,,765.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-134697046,Port Hacking,NSW,2229,604 Port Hacking Road,"604 Port Hacking Road, Port Hacking, NSW 2229",1830000,"$1,830,000",house,3,1,2,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,14 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-132861602,Port Hacking,NSW,2229,24 Bass Street,"24 Bass Street, Port Hacking, NSW 2229",1540000,"$1,540,000",house,3,2,2,,,663.9,m²,PAQCRO,Payne Pacific Real Estate - Cronulla,,,22 Feb 2020,house,,663.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-132491874,Port Hacking,NSW,2229,7 Mookara Place,"7 Mookara Place, Port Hacking, NSW 2229",1516000,"$1,516,000",house,3,2,2,,,739.0,m²,THNENG,McGrath Sutherland Shire - Engadine,,,14 Dec 2019,house,,739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-128987710,Port Hacking,NSW,2229,2 Tamba Place,"2 Tamba Place, Port Hacking, NSW 2229",1525000,"$1,525,000",house,3,2,2,,,619.0,m²,XLSMIR,Laing+Simmons - Miranda,,,03 Sep 2018,house,,619.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-128729250,Port Hacking,NSW,2229,51 Turriell Point Road,"51 Turriell Point Road, Port Hacking, NSW 2229",1650000,"$1,650,000",house,3,1,1,,,-1.0,,NONCAR,Ressler Property - Caringbah,,,28 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-126131130,Port Hacking,NSW,2229,4 Walker Road,"4 Walker Road, Port Hacking, NSW 2229",1420000,"$1,420,000",house,3,1,1,,,695.0,m²,XNFSYL,McGrath Sutherland Shire - Sylvania,,,02 Sep 2017,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-123909438,Port Hacking,NSW,2229,641a Port Hacking Road,"641a Port Hacking Road, Port Hacking, NSW 2229",1570000,"$1,570,000",house,3,2,2,,,-1.0,,NONCAR,Ressler Property - Caringbah,,,03 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-123866378,Port Hacking,NSW,2229,16 Moombara Crescent,"16 Moombara Crescent, Port Hacking, NSW 2229",1690000,"$1,690,000",house,3,2,2,,,701.9,m²,PAQCRO,Payne Pacific Real Estate - Cronulla,,,05 Nov 2016,house,,701.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-126129418,Port Hacking,NSW,2229,16 Moombara Crescent,"16 Moombara Crescent, Port Hacking, NSW 2229",1870000,"$1,870,000",house,3,2,2,,,702.0,m²,,,,,02 Sep 2017,house,,702.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-120778729,Port Hacking,NSW,2229,8 Mookara Place,"8 Mookara Place, Port Hacking, NSW 2229",1400000,"$1,400,000",house,3,2,2,,,-1.0,,NEKPNG,Signature Property Agents - Lilli Pilli,,,20 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-114241659,Port Hacking,NSW,2229,7 Gow Ave,"7 Gow Ave, Port Hacking, NSW 2229",1235000,"$1,235,000",house,3,1,2,,,626.0,m²,,,,,31 Jul 2013,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-113292587,Port Hacking,NSW,2229,11 Walker Road,"11 Walker Road, Port Hacking, NSW 2229",951600,"$951,600",house,3,1,1,,,-1.0,,,,,,20 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-112826059,Port Hacking,NSW,2229,24 Mookara Place,"24 Mookara Place, Port Hacking, NSW 2229",940000,"$940,000",house,3,1,2,,,-1.0,,,,,,01 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-141851024,Port Hacking,NSW,2229,8 Shiprock Road,"8 Shiprock Road, Port Hacking, NSW 2229",,Contact agent,house,3,5,3,,,777.8,m²,XMHCRO,McGrath Sutherland Shire - Cronulla,,,26 Apr 2023,house,,777.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-141056364,Port Hacking,NSW,2229,17 Mookara Place,"17 Mookara Place, Port Hacking, NSW 2229",,Contact agent,house,3,1,2,,,569.1,m²,SAPCAR,Ray White - Caringbah,,,01 Mar 2023,house,,569.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-139612519,Port Hacking,NSW,2229,6a Kewol Place,"6a Kewol Place, Port Hacking, NSW 2229",1700000,"$1,700,000",house,3,1,2,,,-1.0,,BWZQTE,Highland - Sutherland Shire & St George,,,27 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-139380347,Port Hacking,NSW,2229,22 Moombara Crescent,"22 Moombara Crescent, Port Hacking, NSW 2229",,Contact agent,house,3,3,2,,,1304.4,m²,XMHCRO,McGrath Sutherland Shire - Cronulla,,,12 Jul 2022,house,,1304.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-138426087,Port Hacking,NSW,2229,13 Gow Avenue,"13 Gow Avenue, Port Hacking, NSW 2229",2925000,"$2,925,000",house,3,1,2,,,-1.0,,SAPCAR,Ray White - Caringbah,,,02 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+hacking-137319246,Port Hacking,NSW,2229,701b Port Hacking Road,"701b Port Hacking Road, Port Hacking, NSW 2229",,Contact agent,house,3,2,2,,,-1.0,,BWZQTE,Highland - Sutherland Shire & St George,,,08 Oct 2021,house,,-1.0
