badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+kembla-126604838,Port Kembla,NSW,2505,105-107 Wentworth Street,"105-107 Wentworth Street, Port Kembla, NSW 2505",703000,"$703,000",house,0,1,5,225,m²,556.0,m²,,,,,01 Nov 2017,house,225,556.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-port+kembla-139718287,Port Kembla,NSW,2505,5/80-82 Wentworth Street,"5/80-82 Wentworth Street, Port Kembla, NSW 2505",400000,"$400,000",residential-other,0,1,1,,,-1.0,,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,24 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-port+kembla-118930639,Port Kembla,NSW,2505,84 Wentworth Street,"84 Wentworth Street, Port Kembla, NSW 2505",347000,"$347,000",residential-other,0,1,4,,,278.0,m²,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,21 Apr 2015,house,,278.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-port+kembla-117943763,Port Kembla,NSW,2505,9/173-175 Wentworth Street,"9/173-175 Wentworth Street, Port Kembla, NSW 2505",160000,"$160,000",residential-other,0,1,0,,,-1.0,,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,04 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+kembla-137496758,Port Kembla,NSW,2505,121-123 Wentworth Street,"121-123 Wentworth Street, Port Kembla, NSW 2505",,Contact agent,house,0,3,4,,,556.0,m²,NCOFLL,The Agency - Illawarra,,,29 Mar 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-port+kembla-127950522,Port Kembla,NSW,2505,27-29 Wentworth Street,"27-29 Wentworth Street, Port Kembla, NSW 2505",948750,"$948,750",residential-other,1,2,3,,,586.0,m²,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,09 Aug 2018,house,,586.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+kembla-119405875,Port Kembla,NSW,2505,6/55 Tobruk Avenue,"6/55 Tobruk Avenue, Port Kembla, NSW 2505",225000,"$225,000",house,1,1,1,,,-1.0,,XRHWOM,Raine & Horne - Wollongong,,,04 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+kembla-107405155,Port Kembla,NSW,2505,,,310000,"$310,000",house,1,1,1,,,-1.0,,,,,,04 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+kembla-110694205,Port Kembla,NSW,2505,105 Wentworth Street,"105 Wentworth Street, Port Kembla, NSW 2505",,Contact agent,house,1,1,0,380,m²,556.0,m²,,,,,07 Nov 2012,house,380,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-port+kembla-140430895,Port Kembla,NSW,2505,52 Illawarra Street,"52 Illawarra Street, Port Kembla, NSW 2505",720000,"$720,000",house,2,1,2,,,714.0,m²,OCOWOL,McGrath - Wollongong,,,12 Oct 2022,house,,714.0
