badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-138042814,Potts Hill,NSW,2143,C104/2 Rowe Drive,"C104/2 Rowe Drive, Potts Hill, NSW 2143",590000,"$590,000",house,2,2,1,,,194.0,m²,ABCBAP,Ray White - Bankstown,,,01 Feb 2022,house,,194.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-135552034,Potts Hill,NSW,2143,4b/17 Hanna Street,"4b/17 Hanna Street, Potts Hill, NSW 2143",657000,"$657,000",house,2,2,1,,,242.0,m²,WPATIQ,Ray White - Liverpool,,,16 Mar 2021,house,,242.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-125448966,Potts Hill,NSW,2143,C102/2 Rowe Drive,"C102/2 Rowe Drive, Potts Hill, NSW 2143",598000,"$598,000",house,2,2,1,,,-1.0,,HPSBAN,Century 21 Homezone Real Estate - Bankstown,,,29 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-123543534,Potts Hill,NSW,2143,C202/2 Rowe Drive,"C202/2 Rowe Drive, Potts Hill, NSW 2143",639950,"$639,950",house,2,2,1,,,113.0,m²,ABCBAP,Ray White - Bankstown,,,26 Sep 2016,house,,113.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-potts+hill-141187464,Potts Hill,NSW,2143,8 Potts Lane,"8 Potts Lane, Potts Hill, NSW 2143",1085000,"$1,085,000",terrace,3,3,1,,,-1.0,,JYDGKA,One Realty - Lidcombe,,,02 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-potts+hill-140763631,Potts Hill,NSW,2143,33 Purvis Avenue,"33 Purvis Avenue, Potts Hill, NSW 2143",1030000,"$1,030,000",terrace,3,3,1,,,-1.0,,JYDGKA,One Realty - Lidcombe,,,19 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-potts+hill-135975602,Potts Hill,NSW,2143,22 Potts Lane,"22 Potts Lane, Potts Hill, NSW 2143",978600,"$978,600",duplex-semi-detached,3,3,1,,,-1.0,,JYDGKA,One Realty - Lidcombe,,,28 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-potts+hill-121065818,Potts Hill,NSW,2143,30 Potts Lane,"30 Potts Lane, Potts Hill, NSW 2143",860000,"$860,000",terrace,3,3,1,,,-1.0,,MCBQGC,Better Life Property Group - North Ryde,,,07 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-128226330,Potts Hill,NSW,2143,B101/2 Rowe Drive,"B101/2 Rowe Drive, Potts Hill, NSW 2143",,Contact agent,house,3,2,2,,,-1.0,,XFNPAD,First National Real Estate Daystar - Daystar,,,08 Aug 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-117246015,Potts Hill,NSW,2143,Lot 406 Jones Avenue,"Lot 406 Jones Avenue, Potts Hill, NSW 2143",,Contact agent,house,3,2,1,166.81,m²,396.0,m²,ZBPXTR,Macquarie York - SYDNEY,,,01 Aug 2014,house,166.81,396.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-potts+hill-138566159,Potts Hill,NSW,2143,35 Purvis Avenue,"35 Purvis Avenue, Potts Hill, NSW 2143",1121000,"$1,121,000",terrace,4,4,1,,,-1.0,,JYDGKA,One Realty - Lidcombe,,,19 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-137849182,Potts Hill,NSW,2143,17 Jones Avenue,"17 Jones Avenue, Potts Hill, NSW 2143",1560000,"$1,560,000",house,4,3,1,,,396.0,m²,ABCBAP,Ray White - Bankstown,,,11 Dec 2021,house,,396.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-137574658,Potts Hill,NSW,2143,39 Purvis Avenue,"39 Purvis Avenue, Potts Hill, NSW 2143",1126000,"$1,126,000",house,4,3,1,,,-1.0,,XXZFKK,Sweet Realty - WEST RYDE,,,27 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-136359594,Potts Hill,NSW,2143,25 Rowe Drive,"25 Rowe Drive, Potts Hill, NSW 2143",1820000,"$1,820,000",house,4,3,2,,,453.0,m²,ABCBAP,Ray White - Bankstown,,,19 Jun 2021,house,,453.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-134666254,Potts Hill,NSW,2143,23 Rowe Drive,"23 Rowe Drive, Potts Hill, NSW 2143",1426000,"$1,426,000",house,4,2,2,,,453.0,m²,ABCBAP,Ray White - Bankstown,,,14 Nov 2020,house,,453.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+hill-134543954,Potts Hill,NSW,2143,12 Moriarty Way,"12 Moriarty Way, Potts Hill, NSW 2143",1150000,"$1,150,000",house,4,3,2,,,363.0,m²,QIJQHP,McGrath - Canterbury-Bankstown,,,23 Oct 2020,house,,363.0
