badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-potts+point-134223214,Potts Point,NSW,2011,CS 153/28 Macleay Street,"CS 153/28 Macleay Street, Potts Point, NSW 2011",225000,"$225,000",residential-other,0,1,1,,,-1.0,,UCELWW,Belle Property - Potts Point,,,27 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-potts+point-127267386,Potts Point,NSW,2011,Lot 199/19-33 Bayswater Road,"Lot 199/19-33 Bayswater Road, Potts Point, NSW 2011",98100,"$98,100",residential-other,0,1,1,,,-1.0,,UCELWW,Belle Property - Potts Point,,,15 Feb 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-potts+point-121973302,Potts Point,NSW,2011,Car Space 153/28 Macleay Street,"Car Space 153/28 Macleay Street, Potts Point, NSW 2011",190000,"$190,000",residential-other,0,1,1,,,-1.0,,UCELWW,Belle Property - Potts Point,,,02 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+point-113112987,Potts Point,NSW,2011,CS/28 Macleay  St,"CS/28 Macleay  St, Potts Point, NSW 2011",105000,"$105,000",house,0,1,1,,,-1.0,,,,,,01 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-potts+point-107501630,Potts Point,NSW,2011,107/33 Bayswater Road,"107/33 Bayswater Road, Potts Point, NSW 2011",45000,"$45,000",residential-other,0,1,1,,,-1.0,,EKKBGI,Ron Danieli Real Estate - Elizabeth Bay,,,27 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-potts+point-106345819,Potts Point,NSW,2011,33 Bayswater Road,"33 Bayswater Road, Potts Point, NSW 2011",,Contact agent,residential-other,0,1,1,,,-1.0,,NLGZRI,Progress Real Estate - Redfern,,,28 Aug 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-potts+point-105565399,Potts Point,NSW,2011,58 Kings Cross Rd,"58 Kings Cross Rd, Potts Point, NSW 2011",55000,"Range: $40,000 - $55,000",residential-other,0,1,1,,,-1.0,,,,,,12 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+point-139037723,Potts Point,NSW,2011,33/20 Springfield Avenue,"33/20 Springfield Avenue, Potts Point, NSW 2011",525000,"$525,000",house,1,1,0,35,m²,-1.0,,XMHGOR,McGrath - Lindfield,,,17 May 2022,house,35,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+point-136340334,Potts Point,NSW,2011,4/234 William Street,"4/234 William Street, Potts Point, NSW 2011",650000,"$650,000",house,1,1,0,52,m²,-1.0,,UCELWW,Belle Property - Potts Point,,,11 Jun 2021,house,52,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+point-121718978,Potts Point,NSW,2011,42/12 Wylde Street,"42/12 Wylde Street, Potts Point, NSW 2011",700000,"$700,000",house,1,1,0,55,m²,-1.0,,BZMDAR,BresicWhitney - Inner East,,,16 Feb 2016,house,55,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+point-119862725,Potts Point,NSW,2011,6/7 St Neot Avenue,"6/7 St Neot Avenue, Potts Point, NSW 2011",385000,"$385,000",house,1,1,0,,,-1.0,,DIJWOO,DiJones - Eastern Suburbs,,,16 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+point-135128402,Potts Point,NSW,2011,5.18/226 Victoria Street,"5.18/226 Victoria Street, Potts Point, NSW 2011",878000,"$878,000",house,1,1,0,,,-1.0,,XLSDOV,Laing+Simmons - Double Bay,,,11 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-potts+point-124399694,Potts Point,NSW,2011,201/33 Bayswater Road,"201/33 Bayswater Road, Potts Point, NSW 2011",70000,"$70,000",residential-other,1,1,0,,,-1.0,,XNTELI,Richardson & Wrench  - Elizabeth Bay / Potts Point,,,19 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-potts+point-116139371,Potts Point,NSW,2011,8/16 Ward  Avenue,"8/16 Ward  Avenue, Potts Point, NSW 2011",357500,"$357,500",residential-other,1,1,0,,,-1.0,,,,,,06 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-potts+point-114015623,Potts Point,NSW,2011,32/4 Macleay Street,"32/4 Macleay Street, Potts Point, NSW 2011",610000,"$610,000",house,1,1,0,60,m²,-1.0,,BZMDAR,BresicWhitney - Inner East,,,19 Jun 2013,house,60,-1.0
