badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-pyrmont-137081334,Pyrmont,NSW,2009,CS #225/360 Harris Street,"CS #225/360 Harris Street, Pyrmont, NSW 2009",25000,"$25,000",residential-other,0,1,1,,,-1.0,,XLJPYR,LJ Hooker - Pyrmont,,,06 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pyrmont-122935250,Pyrmont,NSW,2009,109/360 Harris Street,"109/360 Harris Street, Pyrmont, NSW 2009",35000,"$35,000",residential-other,0,1,1,,,-1.0,,WDTRAX,Boutique Residential - Pyrmont,,,22 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pyrmont-119704227,Pyrmont,NSW,2009,Carspace 66/360 Harris Street,"Carspace 66/360 Harris Street, Pyrmont, NSW 2009",40000,"$40,000",residential-other,0,1,1,,,-1.0,,WDTRAX,Boutique Residential - Pyrmont,,,04 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pyrmont-119535163,Pyrmont,NSW,2009,Carspace 65/360 Harris Street,"Carspace 65/360 Harris Street, Pyrmont, NSW 2009",40000,"$40,000",residential-other,0,1,1,,,-1.0,,WDTRAX,Boutique Residential - Pyrmont,,,04 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pyrmont-111670651,Pyrmont,NSW,2009,lot 337/360 harris st`,"lot 337/360 harris st`, Pyrmont, NSW 2009",39000,"$39,000",residential-other,0,1,1,,,-1.0,,OALVFB,Nexus Property - Pyrmont,,,04 Sep 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pyrmont-107404012,Pyrmont,NSW,2009,,,32000,"$32,000",residential-other,0,1,1,,,-1.0,,OALVFB,Nexus Property - Pyrmont,,,01 Jun 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pyrmont-122433502,Pyrmont,NSW,2009,121 Harris Street,"121 Harris Street, Pyrmont, NSW 2009",,Contact agent,house,0,3,3,447,m²,-1.0,,HSBKMS,Richardson & Wrench - Pyrmont/Glebe,,,13 Oct 2016,house,447,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pyrmont-122501474,Pyrmont,NSW,2009,2 Scott Street,"2 Scott Street, Pyrmont, NSW 2009",,Contact agent,house,0,4,0,,,115.0,m²,TUBCGH,Pyrmont City First National Realestate - PYRMONT,,,29 Apr 2016,house,,115.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-pyrmont-115130607,Pyrmont,NSW,2009,243 Pyrmont Street,"243 Pyrmont Street, Pyrmont, NSW 2009",,Contact agent,warehouse,0,1,1,19,m²,-1.0,,MDUSYD,Mint Residential  - Sydney,,,12 Nov 2013,house,19,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pyrmont-105458176,Pyrmont,NSW,2009,56a Pirrama Rd,"56a Pirrama Rd, Pyrmont, NSW 2009",,Contact agent,residential-other,0,1,0,,,-1.0,,OJGQTE,Morton - Pyrmont,,,17 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pyrmont-132008862,Pyrmont,NSW,2009,4 Union Street,"4 Union Street, Pyrmont, NSW 2009",1040000,"$1,040,000",house,1,1,0,,,-1.0,,PZMPYR,Raine & Horne - City Living,,,12 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pyrmont-127720994,Pyrmont,NSW,2009,65 Harris Street,"65 Harris Street, Pyrmont, NSW 2009",875000,"$875,000",house,1,1,0,,,-1.0,,TCMLHR,Sydney Sotheby's International Realty - Double Bay,,,10 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-pyrmont-126557798,Pyrmont,NSW,2009,35/54 Pirrama Road,"35/54 Pirrama Road, Pyrmont, NSW 2009",450000,"$450,000",residential-other,1,1,1,,,-1.0,,PZMPYR,Raine & Horne - City Living,,,28 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pyrmont-121307310,Pyrmont,NSW,2009,63 Harris Street,"63 Harris Street, Pyrmont, NSW 2009",875500,"$875,500",house,1,1,0,,,-1.0,,XMHLEI,McGrath Estate Agents Inner West - Leichhardt,,,05 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pyrmont-116357407,Pyrmont,NSW,2009,21 Little Mount Street,"21 Little Mount Street, Pyrmont, NSW 2009",835500,"$835,500",house,1,1,0,,,114.0,m²,TUBCGH,Pyrmont City First National Realestate - PYRMONT,,,05 Apr 2014,house,,114.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-pyrmont-110512565,Pyrmont,NSW,2009,46 Bulwara Road,"46 Bulwara Road, Pyrmont, NSW 2009",700000,"$700,000",house,1,1,0,,,89.0,m²,IKIENA,Belle Property - Glebe,,,16 Jun 2012,house,,89.0
