badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-ramsgate-141225196,Ramsgate,NSW,2217,217 Rocky Point Road,"217 Rocky Point Road, Ramsgate, NSW 2217",560000,"$560,000",residential-other,1,1,1,,,-1.0,,HTXHUR,HT Wills Real Estate St George - Hurstville,,,16 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-ramsgate-116439295,Ramsgate,NSW,2217,205 Rocky Point Road,"205 Rocky Point Road, Ramsgate, NSW 2217",895000,"$895,000",residential-other,1,1,4,,,-1.0,,XNFRAM,PRD -  Ramsgate Beach | Sans Souci,,,12 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-105155505,Ramsgate,NSW,2217,250 Rocky Point Rd,"250 Rocky Point Rd, Ramsgate, NSW 2217",,Contact agent,house,1,2,0,,,-1.0,,HPTSAN,Honer Dodd Realty - Sans Souci,,,14 Apr 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-140840420,Ramsgate,NSW,2217,88 Margate Street,"88 Margate Street, Ramsgate, NSW 2217",1450000,"$1,450,000",house,2,1,1,,,455.3,m²,XLJSAO,McGrath - Sans Souci,,,28 Nov 2022,house,,455.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-140357751,Ramsgate,NSW,2217,137 Ramsgate Road,"137 Ramsgate Road, Ramsgate, NSW 2217",1180000,"$1,180,000",house,2,1,2,,,461.0,m²,XNFRAM,PRD -  Ramsgate Beach | Sans Souci,,,18 Oct 2022,house,,461.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-137670778,Ramsgate,NSW,2217,12 Dillon Street,"12 Dillon Street, Ramsgate, NSW 2217",1575000,"$1,575,000",house,2,1,1,,,-1.0,,NEKPNG,Signature Property Agents - Lilli Pilli,,,11 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-137391358,Ramsgate,NSW,2217,4 Macdonald Street,"4 Macdonald Street, Ramsgate, NSW 2217",1310000,"$1,310,000",house,2,1,1,,,-1.0,,XRWXEK,Stone Real Estate - Sans Souci,,,27 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-131443526,Ramsgate,NSW,2217,134 Ramsgate Road,"134 Ramsgate Road, Ramsgate, NSW 2217",975000,"$975,000",house,2,1,1,,,460.0,m²,XRWXEK,Stone Real Estate - Sans Souci,,,07 Aug 2019,house,,460.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-130837846,Ramsgate,NSW,2217,14 Margate Street,"14 Margate Street, Ramsgate, NSW 2217",1050000,"$1,050,000",house,2,1,2,,,670.0,m²,OPAIDV,Laing+Simmons - St George   ,,,13 May 2019,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-116234535,Ramsgate,NSW,2217,5 Macdonald Street,"5 Macdonald Street, Ramsgate, NSW 2217",825000,"$825,000",house,2,1,1,,,-1.0,,XNFRAM,PRD -  Ramsgate Beach | Sans Souci,,,21 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-106132944,Ramsgate,NSW,2217,14 Tonbridge St,"14 Tonbridge St, Ramsgate, NSW 2217",700000,"$700,000",house,2,1,0,,,-1.0,,HPTSAN,Honer Dodd Realty - Sans Souci,,,12 Dec 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-105386274,Ramsgate,NSW,2217,29 Walmer Street,"29 Walmer Street, Ramsgate, NSW 2217",600000,"$600,000",house,2,1,1,,,460.0,m²,,,,,05 Jan 2009,house,,460.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-122238530,Ramsgate,NSW,2217,64A Margate Street,"64A Margate Street, Ramsgate, NSW 2217",1000000,"$1,000,000",house,2,2,2,,,460.0,m²,,,,,09 Apr 2016,house,,460.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-114054075,Ramsgate,NSW,2217,,,775000,"Range: $665,000 - $775,000",house,2,1,1,,,468.0,m²,,,,,21 Aug 2013,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ramsgate-109323291,Ramsgate,NSW,2217,143 Ramsgate Road,"143 Ramsgate Road, Ramsgate, NSW 2217",566500,"$566,500",house,2,1,2,,,-1.0,,XNFRAM,PRD -  Ramsgate Beach | Sans Souci,,,27 Feb 2012,house,,-1.0
