badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ravensdale-127132082,Ravensdale,NSW,2259,377 Ravensdale Road,"377 Ravensdale Road, Ravensdale, NSW 2259",610000,"$610,000",acreage,3,1,0,,,6.07,ha,BSYZJT,Capital One Real Estate - Lifestyle,,,07 May 2018,house,,60700.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ravensdale-114260511,Ravensdale,NSW,2259,175 Ravensdale Road,"175 Ravensdale Road, Ravensdale, NSW 2259",835000,"$835,000",acreage,3,2,3,,,10.93,ha,RCYGQP,The Property Market - Central Coast,,,14 Feb 2014,house,,109300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ravensdale-129655758,Ravensdale,NSW,2259,377 Ravensdale Road,"377 Ravensdale Road, Ravensdale, NSW 2259",660000,"$660,000",acreage,3,1,0,,,6.07,ha,CAYGOR,Capital One Real Estate - Central Coast,,,23 Nov 2018,house,,60700.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ravensdale-129687518,Ravensdale,NSW,2259,99 Ravensdale Road,"99 Ravensdale Road, Ravensdale, NSW 2259",2300000,"$2,300,000",acreage,4,2,3,,,25.9,ha,BSYZJT,Capital One Real Estate - Lifestyle,,,01 Mar 2019,house,,259000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ravensdale-129135154,Ravensdale,NSW,2259,185 Ravensdale Road,"185 Ravensdale Road, Ravensdale, NSW 2259",1050000,"$1,050,000",acreage,4,2,6,,,2.62,ha,YFXTMJ,Ray White - Long Jetty,,,19 Sep 2018,house,,26200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ravensdale-116985655,Ravensdale,NSW,2259,277 Ravensdale Road,"277 Ravensdale Road, Ravensdale, NSW 2259",1675000,"$1,675,000",acreage,4,3,4,,,24.69,ha,RCYGQP,The Property Market - Central Coast,,,16 Sep 2014,house,,246900.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ravensdale-115606963,Ravensdale,NSW,2259,201 Ravensdale Road,"201 Ravensdale Road, Ravensdale, NSW 2259",790000,"$790,000",acreage,4,1,3,,,3.64,ha,RCYGQP,The Property Market - Central Coast,,,21 Feb 2014,house,,36400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ravensdale-122636610,Ravensdale,NSW,2259,86 Ravensdale Road,"86 Ravensdale Road, Ravensdale, NSW 2259",575000,"$575,000",house,4,1,2,,,1762.0,m²,CAYGOR,Capital One Real Estate - Central Coast,,,16 Jun 2016,house,,1762.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ravensdale-105191157,Ravensdale,NSW,2259,,,,Contact agent,house,4,1,5,,,8.0,m²,XFNWYO,Coastwide First National -   ,,,07 Aug 2009,house,,8.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ravensdale-117681099,Ravensdale,NSW,2259,182 Ravensdale Road,"182 Ravensdale Road, Ravensdale, NSW 2259",,Contact agent,acreage,6,5,6,,,48.56,ha,XFNWYO,Coastwide First National -   ,,,17 Oct 2014,house,,485600.0
