badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-120774909,Razorback,NSW,2571,140 Rotherwood Road,"140 Rotherwood Road, Razorback, NSW 2571",2700000,"$2,700,000",house,2,2,0,,,104.5,ha,XCENAR,Gilbert and Younan - CAMDEN,,,28 Oct 2015,house,,1045000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-141285012,Razorback,NSW,2571,12/200 Mount Hercules Road,"12/200 Mount Hercules Road, Razorback, NSW 2571",2550000,"$2,550,000",house,3,2,0,,,13.35,ha,TVLSRQ,Ray White - Macarthur Group,,,10 Mar 2023,house,,133500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-136293454,Razorback,NSW,2571,157 Mount Hercules Road,"157 Mount Hercules Road, Razorback, NSW 2571",1550000,"$1,550,000",acreage,3,1,2,,,2.43,ha,STANAR,Richardson & Wrench - Narellan,,,18 Jun 2021,house,,24300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-135604562,Razorback,NSW,2571,190 Donalds Range Road,"190 Donalds Range Road, Razorback, NSW 2571",1360000,"$1,360,000",acreage,3,1,3,,,2.02,ha,XIYWHQ,Stone Real Estate Macarthur,,,06 Mar 2021,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-118807395,Razorback,NSW,2571,155 Rotherwood Road,"155 Rotherwood Road, Razorback, NSW 2571",935000,"$935,000",house,3,1,6,,,10.12,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,23 Jun 2015,house,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-119056391,Razorback,NSW,2571,89 Donalds Range Road,"89 Donalds Range Road, Razorback, NSW 2571",850000,"$850,000",house,3,2,0,,,2.02,ha,XFNPIC,Gerard Smith First National - Picton,,,02 Mar 2015,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-117828679,Razorback,NSW,2571,,,1185000,"$1,185,000",house,3,2,2,,,7.87,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,15 Sep 2014,house,,78700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-116370259,Razorback,NSW,2571,665 Mount Hercules Road,"665 Mount Hercules Road, Razorback, NSW 2571",625000,"$625,000",house,3,2,8,,,2.02,ha,IEERYA,McLaren Real Estate - Narellan,,,07 Jul 2014,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-141080384,Razorback,NSW,2571,20 Stonebrook Meadows Road,"20 Stonebrook Meadows Road, Razorback, NSW 2571",,Contact agent,acreage,3,2,2,,,2.02,ha,STANAR,Richardson & Wrench - Narellan,,,22 Feb 2023,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-141260644,Razorback,NSW,2571,89 Eagles Road,"89 Eagles Road, Razorback, NSW 2571",,Contact agent,house,3,1,2,,,21.29,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,23 Dec 2022,house,,212900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-136761670,Razorback,NSW,2571,14/200 Mount Hercules Road,"14/200 Mount Hercules Road, Razorback, NSW 2571",1300000,"$1,300,000",house,3,2,6,,,1.73,ha,,,,,11 Aug 2021,house,,17300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-117926675,Razorback,NSW,2571,165 Rotherwood Road,"165 Rotherwood Road, Razorback, NSW 2571",1000000,"$1,000,000",house,3,2,2,,,10.12,ha,XIYWHQ,Stone Real Estate Macarthur,,,05 Jan 2015,house,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-107361716,Razorback,NSW,2571,370 Mt Hercules Road,"370 Mt Hercules Road, Razorback, NSW 2571",550000,"$550,000",acreage,3,1,1,,,12.92,ha,XRWXEC,Ray White - Picton,,,14 Oct 2011,house,,129200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-106713868,Razorback,NSW,2571,,,,Contact agent,house,3,2,2,,,40.47,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,01 Nov 2010,house,,404700.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-107156379,Razorback,NSW,2571,595 Mount Hercules Road,"595 Mount Hercules Road, Razorback, NSW 2571",,Contact agent,acreage,3,2,0,,,10.12,ha,XFNPIC,Gerard Smith First National - Picton,,,,house,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-140879252,Razorback,NSW,2571,87 Stonebrook Meadows Road,"87 Stonebrook Meadows Road, Razorback, NSW 2571",2600000,"$2,600,000",house,4,3,10,,,2.88,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,16 Dec 2022,house,,28800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-138183378,Razorback,NSW,2571,50 Thurns Road,"50 Thurns Road, Razorback, NSW 2571",2300000,"$2,300,000",house,4,3,5,,,4.05,ha,COYNAR,Combined Real Estate - Camden,,,31 Jan 2022,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-137652358,Razorback,NSW,2571,6 Thomas Place,"6 Thomas Place, Razorback, NSW 2571",2095111,"$2,095,111",house,4,2,3,,,1.01,ha,TVLSRQ,Ray White - Macarthur Group,,,22 Nov 2021,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-136655454,Razorback,NSW,2571,645 Mount Hercules Road,"645 Mount Hercules Road, Razorback, NSW 2571",2300000,"$2,300,000",house,4,2,3,,,10.08,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,09 Jul 2021,house,,100800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-133481794,Razorback,NSW,2571,105 Stonebrook Meadows Road,"105 Stonebrook Meadows Road, Razorback, NSW 2571",2310000,"$2,310,000",house,4,2,5,,,2.02,ha,STANAR,Richardson & Wrench - Narellan,,,12 Jun 2020,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-132308370,Razorback,NSW,2571,60 Eagles Road,"60 Eagles Road, Razorback, NSW 2571",1060000,"$1,060,000",house,4,1,4,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,16 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-131686478,Razorback,NSW,2571,111 Stonebrook Meadows,"111 Stonebrook Meadows, Razorback, NSW 2571",1720000,"$1,720,000",house,4,3,2,436.64,m²,2.08,ha,STANAR,Richardson & Wrench - Narellan,,,29 Oct 2019,house,436.64,20800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-132139142,Razorback,NSW,2571,705 Mount Hercules Road,"705 Mount Hercules Road, Razorback, NSW 2571",1325000,"$1,325,000",house,4,2,3,,,2.0,ha,XIYWHQ,Stone Real Estate Macarthur,,,19 Oct 2019,house,,20000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-130643726,Razorback,NSW,2571,36 Williamswood Road,"36 Williamswood Road, Razorback, NSW 2571",1150000,"$1,150,000",house,4,3,3,,,1.01,ha,STANAR,Richardson & Wrench - Narellan,,,02 Aug 2019,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-131418098,Razorback,NSW,2571,163 Mount Hercules Rd,"163 Mount Hercules Rd, Razorback, NSW 2571",3800000,"$3,800,000",acreage,4,2,4,,,40.47,ha,ZPCAHP,RESIDE Real Estate - Wollondilly/Macarthur,,,31 Jul 2019,house,,404700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-127081974,Razorback,NSW,2571,15 Mount View Close,"15 Mount View Close, Razorback, NSW 2571",1800000,"$1,800,000",house,4,3,4,,,2.28,ha,XRWXEC,Ray White - Picton,,,11 May 2018,house,,22799.999999999996
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-127824166,Razorback,NSW,2571,145 Rotherwood Road,"145 Rotherwood Road, Razorback, NSW 2571",1190000,"$1,190,000",house,4,2,2,,,2.08,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,04 May 2018,house,,20800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-126945842,Razorback,NSW,2571,445 Mount Hercules Road,"445 Mount Hercules Road, Razorback, NSW 2571",1750000,"$1,750,000",house,4,2,2,,,4.0,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,16 Jan 2018,house,,40000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-126741646,Razorback,NSW,2571,40 Rotherwood Road,"40 Rotherwood Road, Razorback, NSW 2571",1700000,"$1,700,000",acreage,4,3,4,,,2.02,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,28 Nov 2017,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-126119482,Razorback,NSW,2571,95 Donalds Range Road,"95 Donalds Range Road, Razorback, NSW 2571",1500000,"$1,500,000",acreage,4,2,2,,,2.02,ha,NMPGOQ,My Property Consultants - GREGORY HILLS,,,01 Sep 2017,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-razorback-124525542,Razorback,NSW,2571,14 Williamswood Road,"14 Williamswood Road, Razorback, NSW 2571",1480000,"$1,480,000",acreage,4,2,3,,,1.21,ha,NMPGOQ,My Property Consultants - GREGORY HILLS,,,27 Jan 2017,house,,12100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-122927374,Razorback,NSW,2571,,,1340000,"$1,340,000",house,4,3,4,,,8.12,ha,,,,,01 Nov 2016,house,,81199.99999999999
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-122258026,Razorback,NSW,2571,,,1160000,"$1,160,000",house,4,2,8,,,1.01,ha,,,,,13 May 2016,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-razorback-121817686,Razorback,NSW,2571,60 Eagles Road,"60 Eagles Road, Razorback, NSW 2571",880000,"$880,000",house,4,1,2,,,2.02,ha,XIYWHQ,Stone Real Estate Macarthur,,,07 Apr 2016,house,,20200.0
