badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-107106215,Regentville,NSW,2745,10 Loftus Street,"10 Loftus Street, Regentville, NSW 2745",347000,"$347,000",house,1,1,1,,,695.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,23 Feb 2011,house,,695.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-regentville-136634578,Regentville,NSW,2745,21-35 Martin Street,"21-35 Martin Street, Regentville, NSW 2745",1550000,"$1,550,000",acreage,1,1,0,,,2.63,ha,STAPEN,Starr Partners - Glenmore Park & Penrith ,,,08 Jun 2021,house,,26300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-119661111,Regentville,NSW,2745,,,610000,"$610,000",house,1,1,1,,,700.0,m²,MPOPEN,Dukes Estate Agents,,,07 May 2015,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-119661079,Regentville,NSW,2745,,,,Contact agent,house,1,1,1,,,700.0,m²,MPOPEN,Dukes Estate Agents,,,07 May 2015,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-134167406,Regentville,NSW,2745,7 Bundarra Road,"7 Bundarra Road, Regentville, NSW 2745",720000,"$720,000",house,2,1,1,,,682.0,m²,STAPEN,Starr Partners - Glenmore Park & Penrith ,,,21 Aug 2020,house,,682.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-113135807,Regentville,NSW,2745,52 Mulgoa Road,"52 Mulgoa Road, Regentville, NSW 2745",333000,"$333,000",house,2,1,1,,,607.0,m²,JIAREG,Jim Aitken + Partners - Glenmore Park,,,12 Mar 2013,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-108263931,Regentville,NSW,2745,52 Mulgoa Road,"52 Mulgoa Road, Regentville, NSW 2745",305000,"$305,000",house,2,1,1,,,-1.0,,WFNAWM,Southlands Estate Agents - Penrith,,,08 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-106975425,Regentville,NSW,2745,40 Mulgoa Road,"40 Mulgoa Road, Regentville, NSW 2745",255000,"$255,000",house,2,1,0,,,697.0,m²,GLGGLE,Glenmore Park Realty - Glenmore Park,,,18 Feb 2011,house,,697.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-104397826,Regentville,NSW,2745,,,405000,"$405,000",house,2,1,0,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,12 Feb 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-regentville-141692620,Regentville,NSW,2745,7 School House Road,"7 School House Road, Regentville, NSW 2745",963516,"$963,516",house,3,1,2,,,-1.0,,GLGGLE,Glenmore Park Realty - Glenmore Park,,,03 Apr 2023,house,,-1.0
