badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-riverwood-107123980,Riverwood,NSW,2210,172 Belmore Road North,"172 Belmore Road North, Riverwood, NSW 2210",,Contact agent,residential-other,0,1,1,,,200.0,m²,,,,,18 May 2011,house,,200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-125894594,Riverwood,NSW,2210,320/1 Vermont Crescent,"320/1 Vermont Crescent, Riverwood, NSW 2210",503000,"$503,000",house,1,1,1,,,-1.0,,QPCEZP,Ray White - Riverwood,,,18 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-117166199,Riverwood,NSW,2210,,,700000,"$700,000",house,1,1,2,,,141.9,m²,QPCEZP,Ray White - Riverwood,,,05 Jul 2014,house,,141.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-140816459,Riverwood,NSW,2210,71 Webb Street,"71 Webb Street, Riverwood, NSW 2210",951000,"$951,000",house,2,1,2,,,423.0,m²,QPCEZP,Ray White - Riverwood,,,03 Dec 2022,house,,423.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-140362163,Riverwood,NSW,2210,8 Fullerton Crescent,"8 Fullerton Crescent, Riverwood, NSW 2210",985000,"$985,000",house,2,1,2,,,506.0,m²,ROKBEV,PRD - Beverly Hills | Roselands,,,28 Oct 2022,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-139948603,Riverwood,NSW,2210,8  Josephine Street,"8  Josephine Street, Riverwood, NSW 2210",1222000,"$1,222,000",house,2,1,3,,,645.0,m²,RPKRUK,Ausrealty,,,05 Aug 2022,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-139591547,Riverwood,NSW,2210,3 Nettleton Av,"3 Nettleton Av, Riverwood, NSW 2210",1200000,"$1,200,000",house,2,1,1,,,480.0,m²,QPCEZP,Ray White - Riverwood,,,09 Jul 2022,house,,480.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-139416055,Riverwood,NSW,2210,10 Mazarin St,"10 Mazarin St, Riverwood, NSW 2210",1040000,"$1,040,000",house,2,2,1,,,481.0,m²,QPCEZP,Ray White - Riverwood,,,25 Jun 2022,house,,481.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-139236715,Riverwood,NSW,2210,35 Napoleon Street,"35 Napoleon Street, Riverwood, NSW 2210",1050000,"$1,050,000",house,2,1,2,,,487.0,m²,QPCEZP,Ray White - Riverwood,,,18 May 2022,house,,487.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-riverwood-137577938,Riverwood,NSW,2210,32 Cairns Street,"32 Cairns Street, Riverwood, NSW 2210",1860000,"$1,860,000",house,2,1,1,,,-1.0,,QPCEZP,Ray White - Riverwood,,,13 Nov 2021,house,,-1.0
