badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-rooty+hill-112691467,Rooty Hill,NSW,2766,31 BRUSSELS CRESCENT,"31 BRUSSELS CRESCENT, Rooty Hill, NSW 2766",349950,"$349,950",duplex-semi-detached,0,1,2,,,-1.0,,XRWXEO,Tesoriero Real Estate - Rooty Hill,,,10 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-113917151,Rooty Hill,NSW,2766,16/79 Rooty Hill Road North,"16/79 Rooty Hill Road North, Rooty Hill, NSW 2766",550000,"$550,000",house,1,1,0,,,-1.0,,ZRYNFD,OKARO - Rooty Hill,,,27 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-rooty+hill-110267073,Rooty Hill,NSW,2766,,,,Contact agent,residential-other,1,1,0,,,2100.0,m²,XRWXEO,Tesoriero Real Estate - Rooty Hill,,,15 Jun 2012,house,,2100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-138701087,Rooty Hill,NSW,2766,14 Learmonth Street,"14 Learmonth Street, Rooty Hill, NSW 2766",1000000,"$1,000,000",house,2,2,4,,,750.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,23 Mar 2022,house,,750.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-137330762,Rooty Hill,NSW,2766,3A DUNSMORE STREET,"3A DUNSMORE STREET, Rooty Hill, NSW 2766",1900000,"$1,900,000",house,2,1,0,,,-1.0,,VDETGX,SK Realty Pty Ltd - WENTWORTHVILLE,,,16 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-138683971,Rooty Hill,NSW,2766,16/2 Charlotte Road,"16/2 Charlotte Road, Rooty Hill, NSW 2766",558500,"$558,500",house,2,1,1,,,-1.0,,BFERIC,Bennett Property - Richmond,,,11 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-136420618,Rooty Hill,NSW,2766,55 Victoria Road,"55 Victoria Road, Rooty Hill, NSW 2766",682000,"$682,000",house,2,1,2,,,552.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,28 Jun 2021,house,,552.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-134704610,Rooty Hill,NSW,2766,118 Hartington Street,"118 Hartington Street, Rooty Hill, NSW 2766",817000,"$817,000",house,2,1,0,,,1157.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,21 Nov 2020,house,,1157.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-127778086,Rooty Hill,NSW,2766,78 North Parade,"78 North Parade, Rooty Hill, NSW 2766",675000,"$675,000",house,2,1,1,,,657.0,m²,DKYKNI,LJ Hooker - Rooty Hill,,,07 Jun 2018,house,,657.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-127588706,Rooty Hill,NSW,2766,55 Victoria Road,"55 Victoria Road, Rooty Hill, NSW 2766",561000,"$561,000",house,2,1,2,,,552.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,17 Mar 2018,house,,552.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-126241138,Rooty Hill,NSW,2766,35 Hartington Street,"35 Hartington Street, Rooty Hill, NSW 2766",620000,"$620,000",house,2,1,1,,,736.5,m²,JYAXRT,3R Property Group - BELLA VISTA,,,30 Nov 2017,house,,736.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-124851886,Rooty Hill,NSW,2766,13-15 Orcam Lane,"13-15 Orcam Lane, Rooty Hill, NSW 2766",825000,"$825,000",house,2,2,4,,,-1.0,,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,22 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-124802218,Rooty Hill,NSW,2766,4/2 Charlotte Road,"4/2 Charlotte Road, Rooty Hill, NSW 2766",469950,"$469,950",house,2,1,2,,,-1.0,,YVKVDM,Laing+Simmons - Quakers Hill,,,17 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-125065326,Rooty Hill,NSW,2766,10/2 Charlotte Road,"10/2 Charlotte Road, Rooty Hill, NSW 2766",460000,"$460,000",house,2,1,1,,,-1.0,,ZRYNFD,OKARO - Rooty Hill,,,17 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-136083090,Rooty Hill,NSW,2766,26 Spencer Street,"26 Spencer Street, Rooty Hill, NSW 2766",750000,"$750,000",house,2,2,1,,,-1.0,,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,22 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-120672349,Rooty Hill,NSW,2766,193 Rooty Hill Road North,"193 Rooty Hill Road North, Rooty Hill, NSW 2766",710000,"$710,000",house,2,1,1,,,916.0,m²,DKYKNI,LJ Hooker - Rooty Hill,,,08 Oct 2015,house,,916.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-118626159,Rooty Hill,NSW,2766,13 Beaconsfield Road,"13 Beaconsfield Road, Rooty Hill, NSW 2766",485000,"$485,000",house,2,1,1,,,-1.0,,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,19 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-117080763,Rooty Hill,NSW,2766,24/2 charlotte road,"24/2 charlotte road, Rooty Hill, NSW 2766",365000,"$365,000",house,2,2,1,,,-1.0,,STASTM,Starr Partners Real Estate,,,09 Jul 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-139859379,Rooty Hill,NSW,2766,,,,Contact agent,house,2,1,1,,,203.0,m²,AOQZZK,Property Inside Out - CASTLE HILL,,,12 Jul 2022,house,,203.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-129520406,Rooty Hill,NSW,2766,18/2 Charlotte Road,"18/2 Charlotte Road, Rooty Hill, NSW 2766",,Contact agent,house,2,1,1,,,-1.0,,QNCVUV,RE/MAX Xtra - PARRAMATTA,,,19 Dec 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-126503734,Rooty Hill,NSW,2766,11 Elizabeth Street,"11 Elizabeth Street, Rooty Hill, NSW 2766",805000,"$805,000",house,2,1,1,,,917.0,m²,MMIXNH,Ray White Mt Druitt,,,18 Dec 2017,house,,917.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-124658690,Rooty Hill,NSW,2766,508 Woodstock Avenue,"508 Woodstock Avenue, Rooty Hill, NSW 2766",,Contact agent,house,2,1,2,,,-1.0,,QNCVUV,RE/MAX Xtra - PARRAMATTA,,,30 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-rooty+hill-121923250,Rooty Hill,NSW,2766,22/2 Charlotte Road,"22/2 Charlotte Road, Rooty Hill, NSW 2766",,Contact agent,residential-other,2,1,1,,,-1.0,,,,,,18 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-120484949,Rooty Hill,NSW,2766,538a Woodstock Avenue,"538a Woodstock Avenue, Rooty Hill, NSW 2766",452000,"$452,000",house,2,1,1,,,657.3,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,15 Sep 2015,house,,657.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-119646991,Rooty Hill,NSW,2766,,,,Contact agent,house,2,1,0,,,1271.0,m²,XRWXAQ,Richardson & Wrench - Blacktown,,,04 May 2015,house,,1271.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-117206299,Rooty Hill,NSW,2766,,,425000,"$425,000",house,2,1,0,,,-1.0,,XCEMOU,Stockton Grange - Mount Druitt,,,17 Sep 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rooty+hill-116805627,Rooty Hill,NSW,2766,8/42 Blenheim Avenue,"8/42 Blenheim Avenue, Rooty Hill, NSW 2766",376000,"$376,000",house,2,2,1,,,-1.0,,ZRYNFD,OKARO - Rooty Hill,,,19 May 2014,house,,-1.0
