badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-138011482,Rosehill,NSW,2142,3/108 James Ruse Drive,"3/108 James Ruse Drive, Rosehill, NSW 2142",440000,"$440,000",house,1,1,2,97,m²,72.0,m²,XNTWES,Green Real Estate Agency - West Ryde & Eastwood,,,07 Dec 2021,house,97,72.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-135542482,Rosehill,NSW,2142,22/5-13 Virginia Street,"22/5-13 Virginia Street, Rosehill, NSW 2142",375000,"$375,000",house,1,1,1,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,20 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-115248187,Rosehill,NSW,2142,318/110-114 James Ruse Drive,"318/110-114 James Ruse Drive, Rosehill, NSW 2142",273000,"$273,000",house,1,1,1,,,-1.0,,XNTPAR,Richardson & Wrench - Parramatta,,,04 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-111984295,Rosehill,NSW,2142,2 Ritchie Street,"2 Ritchie Street, Rosehill, NSW 2142",325000,"$325,000",house,1,1,0,,,840.0,m²,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,23 Jan 2013,house,,840.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-106881586,Rosehill,NSW,2142,1103/110 James Ruse DR,"1103/110 James Ruse DR, Rosehill, NSW 2142",135000,"$135,000",house,1,1,1,,,-1.0,,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,30 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-138004786,Rosehill,NSW,2142,5/53 Prospect Street,"5/53 Prospect Street, Rosehill, NSW 2142",450000,"$450,000",house,2,1,1,,,-1.0,,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,05 Jan 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-123469678,Rosehill,NSW,2142,55A Arthur Street,"55A Arthur Street, Rosehill, NSW 2142",666000,"$666,000",house,2,1,4,,,-1.0,,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,24 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-120734433,Rosehill,NSW,2142,113 Arthur Street,"113 Arthur Street, Rosehill, NSW 2142",1380000,"$1,380,000",house,2,1,2,,,733.0,m²,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,10 Oct 2015,house,,733.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-120210465,Rosehill,NSW,2142,7 Ritchie Street,"7 Ritchie Street, Rosehill, NSW 2142",660000,"$660,000",house,2,1,0,,,-1.0,,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,08 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-136590210,Rosehill,NSW,2142,502/19 Prospect Street,"502/19 Prospect Street, Rosehill, NSW 2142",605000,"$605,000",house,2,2,1,77,m²,871.0,m²,,,,,11 Aug 2021,house,77,871.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-rosehill-133808166,Rosehill,NSW,2142,17/91 Arthur Street,"17/91 Arthur Street, Rosehill, NSW 2142",510000,"$510,000",duplex-semi-detached,2,2,1,92,m²,107.0,m²,AQFNMV,Metro Realty,,,21 Jan 2021,house,92,107.0
