badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-dural-130085882,Dural,NSW,2158,633 Old Northern Road,"633 Old Northern Road, Dural, NSW 2158",,Contact agent,acreage,0,1,0,,,2.02,ha,,,,,25 Nov 2019,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dural-131401174,Dural,NSW,2158,630 Old Northern Road,"630 Old Northern Road, Dural, NSW 2158",4100000,"$4,100,000",house,0,1,0,,,-1.0,,XLJDUR,LJ Hooker - Dural,,,18 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-dural-105845326,Dural,NSW,2158,Lot 7 Woodlands Estate,"Lot 7 Woodlands Estate, Dural, NSW 2158",,Contact agent,residential-other,0,1,0,,,1300.0,m²,XLJDUR,LJ Hooker - Dural,,,04 Sep 2009,house,,1300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dural-104359482,Dural,NSW,2158,,,,Contact agent,house,0,1,0,,,2.12,ha,XLJDUR,LJ Hooker - Dural,,,05 Aug 2009,house,,21200.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-dural-130019490,Dural,NSW,2158,637 Old Northern Road,"637 Old Northern Road, Dural, NSW 2158",1500000,"$1,500,000",residential-other,1,1,0,,,2023.0,m²,,,,,27 Sep 2019,house,,2023.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dural-122098994,Dural,NSW,2158,508a Galston Road,"508a Galston Road, Dural, NSW 2158",4650000,"$4,650,000",house,1,1,0,,,3.53,ha,XCEDUR,Vendo Property Pty Ltd,,,02 Apr 2016,house,,35300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dural-119177479,Dural,NSW,2158,,,5450000,"$5,450,000",house,1,1,0,,,-1.0,,XCEDUR,Vendo Property Pty Ltd,,,08 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dural-113949771,Dural,NSW,2158,,,907500,"$907,500",house,1,1,0,,,-1.0,,XGRDUR,Guardian Realty - Dural,,,03 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dural-109687156,Dural,NSW,2158,3 Wildthorn Avenue,"3 Wildthorn Avenue, Dural, NSW 2158",1000001,"$1,000,001",house,1,1,0,,,-1.0,,XRWDUR,Ray White - Dural,,,21 Aug 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-dural-133922134,Dural,NSW,2158,648 Old Northern Road,"648 Old Northern Road, Dural, NSW 2158",3500000,"$3,500,000",acreage,1,1,0,,,2.02,ha,XRWDUR,Ray White - Dural,,,25 Sep 2020,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dural-124052066,Dural,NSW,2158,,,1355000,"$1,355,000",house,1,1,0,,,1700.0,m²,ROBEMK,Mode Property - DURAL ,,,24 Apr 2019,house,,1700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dural-118027567,Dural,NSW,2158,,,2700000,"$2,700,000",house,1,1,1,,,3773.0,m²,PZQANP,Rance Property - Kenthurst,,,20 Oct 2014,house,,3773.0
