badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-rouse+hill-123961066,Rouse Hill,NSW,2155,172 Guntawong Road,"172 Guntawong Road, Rouse Hill, NSW 2155",8000000,"$8,000,000",acreage,0,1,0,,,1.96,ha,WRYSHJ,First National Hills Direct - The Ponds ,,,01 Mar 2017,house,,19600.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-rouse+hill-114786983,Rouse Hill,NSW,2155,182 Sanctuary Drive,"182 Sanctuary Drive, Rouse Hill, NSW 2155",515000,"$515,000",acreage,0,1,0,,,866.7,m²,XSEKEL,Raine & Horne - Rouse Hill,,,16 Nov 2013,house,,866.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-rouse+hill-137550690,Rouse Hill,NSW,2155,,,385000,"Range: $330,000 - $385,000",house,0,2,0,,,-1.0,,,,,,11 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-rouse+hill-137089798,Rouse Hill,NSW,2155,Lot 34 Tallawong Road,"Lot 34 Tallawong Road, Rouse Hill, NSW 2155",782000,"$782,000",acreage,1,1,0,,,317.0,m²,LOWITA,Century21 Infinity - Stanhope Gardens,,,15 Aug 2021,house,,317.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rouse+hill-135601118,Rouse Hill,NSW,2155,313/10 Grassland Street,"313/10 Grassland Street, Rouse Hill, NSW 2155",520000,"$520,000",house,1,1,1,,,-1.0,,MFNHBY,PRD Norwest,,,31 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rouse+hill-111651631,Rouse Hill,NSW,2155,324 Annangrove Road,"324 Annangrove Road, Rouse Hill, NSW 2155",3000000,"$3,000,000",house,1,1,0,,,20.0,m²,IORCQP,Dunne Realty - Richmond,,,27 Oct 2012,house,,20.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rouse+hill-106489239,Rouse Hill,NSW,2155,,,310000,"$310,000",house,1,1,0,,,418.0,m²,FJBCAS,Meridien Realty - Rouse Hill,,,28 Sep 2010,house,,418.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rouse+hill-141195320,Rouse Hill,NSW,2155,604/2 Hasluck Street,"604/2 Hasluck Street, Rouse Hill, NSW 2155",660000,"$660,000",house,2,2,1,,,-1.0,,IBCGRN,Harcourts Hillside - ROUSE HILL,,,14 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rouse+hill-140999928,Rouse Hill,NSW,2155,G59/4 Burrendong Crescent,"G59/4 Burrendong Crescent, Rouse Hill, NSW 2155",675000,"$675,000",house,2,2,1,,,-1.0,,IBCGRN,Harcourts Hillside - ROUSE HILL,,,27 Jan 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rouse+hill-138965423,Rouse Hill,NSW,2155,14 Hedge St,"14 Hedge St, Rouse Hill, NSW 2155",1080000,"$1,080,000",house,2,2,1,,,275.0,m²,TJSJBX,LEPAGE PROPERTY - BELLA VISTA,,,03 May 2022,house,,275.0
