badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-125810454,Ruse,NSW,2560,,,500000,"$500,000",house,2,1,1,,,232.0,m²,HBGYTR,Ray White Macarthur Group,,,17 Jul 2017,house,,232.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ruse-139490503,Ruse,NSW,2560,1/5 Johnson Place,"1/5 Johnson Place, Ruse, NSW 2560",610000,"$610,000",duplex-semi-detached,2,1,1,,,-1.0,,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,22 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-134780450,Ruse,NSW,2560,21/273 Junction Road,"21/273 Junction Road, Ruse, NSW 2560",385000,"$385,000",house,2,1,0,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,07 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ruse-132076726,Ruse,NSW,2560,2/5 Johnson Place,"2/5 Johnson Place, Ruse, NSW 2560",435000,"$435,000",duplex-semi-detached,2,1,1,,,-1.0,,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,18 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-128355050,Ruse,NSW,2560,206 Junction Road,"206 Junction Road, Ruse, NSW 2560",430000,"$430,000",house,2,1,0,,,569.0,m²,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,20 Jul 2018,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-122584294,Ruse,NSW,2560,,,337000,"$337,000",house,2,1,1,,,-1.0,,XRWCAM,Ray White - Macarthur Group,,,11 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-121296742,Ruse,NSW,2560,,,359000,"$359,000",house,2,1,1,,,-1.0,,XRWCAM,Ray White - Macarthur Group,,,30 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-106782439,Ruse,NSW,2560,,,200000,"$200,000",house,2,1,1,,,-1.0,,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,27 May 2004,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-106782441,Ruse,NSW,2560,,,208000,"$208,000",house,2,1,1,,,-1.0,,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,14 Apr 2004,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-107237426,Ruse,NSW,2560,,,,Contact agent,house,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-115618247,Ruse,NSW,2560,17 Nymboida Crescent,"17 Nymboida Crescent, Ruse, NSW 2560",315000,"$315,000",house,2,1,1,,,556.0,m²,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,08 Dec 2013,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-115223903,Ruse,NSW,2560,,,,Contact agent,house,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,12 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ruse-110234865,Ruse,NSW,2560,,,,Contact agent,duplex-semi-detached,2,1,1,,,-1.0,,KYNMXR,@realty - National Head Office Australia,,,24 May 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-106059579,Ruse,NSW,2560,,,,Contact agent,house,2,1,1,,,-1.0,,STACAM,Prudential Real Estate - Campbelltown,,,09 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ruse-105722129,Ruse,NSW,2560,,,180000,"Range: $150,000 - $180,000",house,2,1,0,,,-1.0,,XLJCAM,LJ Hooker - Campbelltown,,,13 Jun 2009,house,,-1.0
