badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-rushcutters+bay-106981086,Rushcutters Bay,NSW,2011,19/70 Bayswater Road,"19/70 Bayswater Road, Rushcutters Bay, NSW 2011",,Contact agent,house,0,1,0,,,-1.0,,BZMDAR,BresicWhitney - Inner East,,,10 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-rushcutters+bay-106504838,Rushcutters Bay,NSW,2011,"C269, 33 Bayswater Road","C269, 33 Bayswater Road, Rushcutters Bay, NSW 2011",60000,"Range: $45,000 - $60,000",residential-other,0,1,1,14,m²,-1.0,,,,,,07 Jul 2010,house,14,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-rushcutters+bay-105565612,Rushcutters Bay,NSW,2011,58 Kings Cross Rd,"58 Kings Cross Rd, Rushcutters Bay, NSW 2011",55000,"Range: $40,000 - $55,000",residential-other,0,1,1,,,-1.0,,,,,,12 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-rushcutters+bay-138569443,Rushcutters Bay,NSW,2011,58-60 Kings Cross Road,"58-60 Kings Cross Road, Rushcutters Bay, NSW 2011",1875000,"$1,875,000",residential-other,1,2,0,,,-1.0,,XRWELI,Ray White - Elizabeth Bay,,,15 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rushcutters+bay-123620414,Rushcutters Bay,NSW,2011,3 Kings Cross Road,"3 Kings Cross Road, Rushcutters Bay, NSW 2011",,Contact agent,house,1,1,1,78,m²,-1.0,,BZMDAR,BresicWhitney - Inner East,,,19 Sep 2016,house,78,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rushcutters+bay-119796479,Rushcutters Bay,NSW,2011,516/4 Neild Avenue,"516/4 Neild Avenue, Rushcutters Bay, NSW 2011",1225000,"$1,225,000",house,2,2,0,,,-1.0,,DIJWOO,DiJones - Eastern Suburbs,,,26 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rushcutters+bay-106608619,Rushcutters Bay,NSW,2011,1/26 Waratah Street,"1/26 Waratah Street, Rushcutters Bay, NSW 2011",,Contact agent,house,2,1,0,,,-1.0,,XRWDOU,Ray White - Double Bay,,,14 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rushcutters+bay-136510678,Rushcutters Bay,NSW,2011,49 Roslyn Street,"49 Roslyn Street, Rushcutters Bay, NSW 2011",3400000,"$3,400,000",house,3,2,0,,,183.0,m²,IXAZCL,The Agency - NSW,,,03 Jul 2021,house,,183.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-rushcutters+bay-114074947,Rushcutters Bay,NSW,2011,49 Roslyn Street,"49 Roslyn Street, Rushcutters Bay, NSW 2011",1450000,"$1,450,000",terrace,3,2,0,,,-1.0,,XNTELI,Richardson & Wrench  - Elizabeth Bay / Potts Point,,,10 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rushcutters+bay-127415850,Rushcutters Bay,NSW,2011,4 Clement Street,"4 Clement Street, Rushcutters Bay, NSW 2011",,Contact agent,house,3,2,2,,,-1.0,,TCMLHR,Sydney Sotheby's International Realty - Double Bay,,,05 Jul 2018,house,,-1.0
