badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-138549787,Russell Lea,NSW,2046,30 Liege Street,"30 Liege Street, Russell Lea, NSW 2046",1900000,"$1,900,000",house,1,1,1,,,252.9,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,12 Mar 2022,house,,252.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-105349608,Russell Lea,NSW,2046,358 Lyons Road,"358 Lyons Road, Russell Lea, NSW 2046",425000,"Range: $365,000 - $425,000",house,1,1,1,,,-1.0,,,,,,06 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-141177460,Russell Lea,NSW,2046,53 Edenholme Road,"53 Edenholme Road, Russell Lea, NSW 2046",1780000,"$1,780,000",house,2,1,2,,,297.2,m²,XFNDRU,Devine Real Estate - Drummoyne,,,15 Feb 2023,house,,297.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-137241842,Russell Lea,NSW,2046,14 Bay Road,"14 Bay Road, Russell Lea, NSW 2046",5601000,"$5,601,000",house,2,1,2,,,-1.0,,VHPGLB,Stone - Newtown,,,09 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-136500594,Russell Lea,NSW,2046,5 McCulloch Street,"5 McCulloch Street, Russell Lea, NSW 2046",2655000,"$2,655,000",house,2,1,2,,,373.1,m²,JJJYDR,Stone Real Estate - FIVE DOCK,,,28 Jun 2021,house,,373.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-134394286,Russell Lea,NSW,2046,15 Speed Avenue,"15 Speed Avenue, Russell Lea, NSW 2046",1815000,"$1,815,000",house,2,1,2,,,328.8,m²,XSFSTR,Devine Real Estate - Strathfield,,,10 Oct 2020,house,,328.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-134366674,Russell Lea,NSW,2046,25 Rowley Rd,"25 Rowley Rd, Russell Lea, NSW 2046",1591000,"$1,591,000",house,2,1,1,,,-1.0,,XRHDAP,PRD Real Estate - Dapto,,,30 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-132798150,Russell Lea,NSW,2046,12 Seabrook Avenue,"12 Seabrook Avenue, Russell Lea, NSW 2046",1557000,"$1,557,000",house,2,1,1,,,252.9,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,15 Feb 2020,house,,252.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-130969902,Russell Lea,NSW,2046,268 Lyons Road,"268 Lyons Road, Russell Lea, NSW 2046",1155000,"$1,155,000",house,2,1,2,100,m²,367.0,m²,WHMUKE,BresicWhitney - Balmain,,,04 May 2019,house,100,367.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-128629366,Russell Lea,NSW,2046,270 Lyons Road,"270 Lyons Road, Russell Lea, NSW 2046",1115000,"$1,115,000",house,2,1,1,,,-1.0,,XLJLEI,MONTANO GROUP - LEICHHARDT,,,30 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-128263142,Russell Lea,NSW,2046,13 Murray Street,"13 Murray Street, Russell Lea, NSW 2046",1385000,"$1,385,000",house,2,1,1,,,291.0,m²,WOTWMO,The Agency - Inner West,,,02 Jun 2018,house,,291.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-russell+lea-126497254,Russell Lea,NSW,2046,238A Lyons Road,"238A Lyons Road, Russell Lea, NSW 2046",1005000,"$1,005,000",duplex-semi-detached,2,1,0,,,-1.0,,XLSDRU,CobdenHayson - Drummoyne,,,21 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-russell+lea-125353618,Russell Lea,NSW,2046,73 Barnstaple Road,"73 Barnstaple Road, Russell Lea, NSW 2046",2280000,"$2,280,000",house,2,1,4,474,m²,-1.0,,XLJFIV,First National Five Dock Drummoyne - FIVE DOCK,,,02 Aug 2017,house,474,-1.0
