badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-141121612,Sadleir,NSW,2168,20 Pinnacle Street,"20 Pinnacle Street, Sadleir, NSW 2168",730000,"$730,000",house,3,1,1,,,581.7,m²,SFGPCG,Laing Simmons West Hoxton - Austral,,,26 Apr 2023,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-141583472,Sadleir,NSW,2168,65 Gabo Crescent,"65 Gabo Crescent, Sadleir, NSW 2168",725000,"$725,000",house,3,1,1,,,563.0,m²,XLRLPL,Hunters Agency & Co - Merrylands ,,,20 Apr 2023,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-141223776,Sadleir,NSW,2168,31 Dundee Street,"31 Dundee Street, Sadleir, NSW 2168",795000,"$795,000",house,3,1,2,,,696.0,m²,XPNPAD,Professionals - Padstow,,,17 Mar 2023,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-141525944,Sadleir,NSW,2168,40 Eureka Crescent,"40 Eureka Crescent, Sadleir, NSW 2168",735000,"$735,000",house,3,1,1,,,556.0,m²,TVLSRQ,Ray White - Macarthur Group,,,16 Mar 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-140577831,Sadleir,NSW,2168,3 Heckenberg Avenue,"3 Heckenberg Avenue, Sadleir, NSW 2168",821000,"$821,000",house,3,1,1,,,598.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,05 Nov 2022,house,,598.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-140068171,Sadleir,NSW,2168,32 Warrigo Street,"32 Warrigo Street, Sadleir, NSW 2168",755000,"$755,000",house,3,1,3,,,746.0,m²,XRWGRC,Ray White - Green Valley,,,02 Sep 2022,house,,746.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-139969427,Sadleir,NSW,2168,20 Charter Street,"20 Charter Street, Sadleir, NSW 2168",805000,"$805,000",house,3,1,4,,,663.9,m²,SOCLIV,Starr Partners - Liverpool,,,23 Aug 2022,house,,663.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-139546407,Sadleir,NSW,2168,134 Maxwells Avenue,"134 Maxwells Avenue, Sadleir, NSW 2168",785000,"$785,000",house,3,1,0,,,588.0,m²,COILIV,Community First Real Estate - Liverpool,,,15 Jul 2022,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-139352947,Sadleir,NSW,2168,2 Warrigo Street,"2 Warrigo Street, Sadleir, NSW 2168",788000,"$788,000",house,3,1,2,,,580.5,m²,XRWGRC,Ray White - Green Valley,,,04 Jun 2022,house,,580.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-138804715,Sadleir,NSW,2168,132 Gabo Crescent,"132 Gabo Crescent, Sadleir, NSW 2168",780000,"$780,000",house,3,2,1,,,607.0,m²,XRWGRC,Ray White - Green Valley,,,29 Mar 2022,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sadleir-138533559,Sadleir,NSW,2168,114 Sadleir Avenue,"114 Sadleir Avenue, Sadleir, NSW 2168",1032000,"$1,032,000",house,3,1,1,,,-1.0,,ETMHFJ,Blaze Real Estate - Wetherill Park,,,12 Mar 2022,house,,-1.0
