badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-113761563,San Remo,NSW,2262,,,145000,"$145,000",house,0,1,1,,,588.0,m²,,,,,09 Jul 2013,house,,588.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-san+remo-103175497,San Remo,NSW,2262,,,140000,"Range: $120,000 - $140,000",residential-other,0,1,0,,,-1.0,,,,,,26 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-140415307,San Remo,NSW,2262,3 Wandewoi Avenue,"3 Wandewoi Avenue, San Remo, NSW 2262",420000,"$420,000",house,1,1,0,,,-1.0,,XRWGOR,Ray White Thompson Partners - Gorokan,,,21 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-126414454,San Remo,NSW,2262,22 Barker Avenue,"22 Barker Avenue, San Remo, NSW 2262",400000,"$400,000",house,1,1,2,,,462.0,m²,OKRIYO,McGrath Toukley - TOUKLEY,,,28 Feb 2018,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-138953267,San Remo,NSW,2262,22 Catalina Road,"22 Catalina Road, San Remo, NSW 2262",555000,"$555,000",house,1,1,1,,,-1.0,,XRWGOR,Ray White Thompson Partners - Gorokan,,,28 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-118832963,San Remo,NSW,2262,24 Iluka Avenue,"24 Iluka Avenue, San Remo, NSW 2262",235000,"$235,000",house,1,1,0,,,619.0,m²,,,,,11 Feb 2015,house,,619.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-116694623,San Remo,NSW,2262,74 Barker Avenue,"74 Barker Avenue, San Remo, NSW 2262",144000,"$144,000",house,1,1,0,,,462.0,m²,XNNGFX,PRD - Real Estate,,,02 Aug 2014,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-114745823,San Remo,NSW,2262,1/11 Weonga Place,"1/11 Weonga Place, San Remo, NSW 2262",220000,"$220,000",house,1,1,3,215,m²,-1.0,,XRHCHA,SORENSEN Real Estate - CHARMHAVEN,,,27 Sep 2013,house,215,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-113794999,San Remo,NSW,2262,,,175000,"$175,000",house,1,1,1,,,462.0,m²,,,,,07 Jun 2013,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-106896007,San Remo,NSW,2262,22 Wandewoi,"22 Wandewoi, San Remo, NSW 2262",250000,"$250,000",house,1,3,1,,,-1.0,,,,,,16 Nov 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-107793716,San Remo,NSW,2262,21 Wandewoi Avenue,"21 Wandewoi Avenue, San Remo, NSW 2262",175000,"$175,000",house,1,1,1,,,-1.0,,CAYGOR,Capital One Real Estate - Central Coast,,,01 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-107723061,San Remo,NSW,2262,,,,Contact agent,house,1,1,1,,,461.0,m²,,,,,06 Sep 2011,house,,461.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-106000951,San Remo,NSW,2262,,,,Contact agent,house,1,1,2,,,-1.0,,XRHCHA,SORENSEN Real Estate - CHARMHAVEN,,,11 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-san+remo-140477671,San Remo,NSW,2262,30 Barker Avenue,"30 Barker Avenue, San Remo, NSW 2262",545000,"$545,000",house,2,1,3,,,462.0,m²,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,04 Nov 2022,house,,462.0
