badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-sans+souci-133264850,Sans Souci,NSW,2219,74 Vista Street,"74 Vista Street, Sans Souci, NSW 2219",2405000,"$2,405,000",house,1,1,3,,,-1.0,,XRWXEK,Stone Real Estate - Sans Souci,,,23 Apr 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-sans+souci-106295955,Sans Souci,NSW,2219,11 Nelson Street,"11 Nelson Street, Sans Souci, NSW 2219",992000,"$992,000",residential-other,1,1,0,,,540.0,m²,XLJSAO,McGrath - Sans Souci,,,04 Mar 2010,house,,540.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sans+souci-108350766,Sans Souci,NSW,2219,,,,Contact agent,house,1,1,0,,,-1.0,,LGCXPP,Raine & Horne - Kogarah,,,11 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sans+souci-107523906,Sans Souci,NSW,2219,27A Bonney Street,"27A Bonney Street, Sans Souci, NSW 2219",950000,"$950,000",house,1,1,0,,,-1.0,,XRWXEK,Stone Real Estate - Sans Souci,,,18 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-sans+souci-106392207,Sans Souci,NSW,2219,183 Ramsgate Road,"183 Ramsgate Road, Sans Souci, NSW 2219",,Contact agent,residential-other,1,1,0,,,-1.0,,XNFRAM,PRD -  Ramsgate Beach | Sans Souci,,,06 Aug 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sans+souci-141516388,Sans Souci,NSW,2219,30 Walmer Street,"30 Walmer Street, Sans Souci, NSW 2219",1651000,"$1,651,000",house,2,1,1,,,607.0,m²,XNFRAM,PRD -  Ramsgate Beach | Sans Souci,,,18 Mar 2023,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sans+souci-140822883,Sans Souci,NSW,2219,20 Robert Street,"20 Robert Street, Sans Souci, NSW 2219",1450000,"$1,450,000",house,2,1,2,,,531.0,m²,XLJSAO,McGrath - Sans Souci,,,23 Dec 2022,house,,531.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-sans+souci-140566391,Sans Souci,NSW,2219,55 MacDonald Street,"55 MacDonald Street, Sans Souci, NSW 2219",1348000,"$1,348,000",duplex-semi-detached,2,1,1,,,350.0,m²,XLJSAO,McGrath - Sans Souci,,,03 Nov 2022,house,,350.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sans+souci-140589319,Sans Souci,NSW,2219,22 Fontainebleau Street,"22 Fontainebleau Street, Sans Souci, NSW 2219",1250000,"$1,250,000",house,2,1,1,,,483.0,m²,XLJSAO,McGrath - Sans Souci,,,03 Nov 2022,house,,483.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sans+souci-140169563,Sans Souci,NSW,2219,90 Alfred Street,"90 Alfred Street, Sans Souci, NSW 2219",1800000,"$1,800,000",house,2,2,1,,,509.0,m²,XRWXEK,Stone Real Estate - Sans Souci,,,13 Sep 2022,house,,509.0
