badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-schofields-123461554,Schofields,NSW,2762,Lot 12/59 Westminster Street,"Lot 12/59 Westminster Street, Schofields, NSW 2762",605000,"$605,000",house,0,1,0,,,463.5,m²,AYVGST,McGrath - Northwest,,,10 Oct 2016,house,,463.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-schofields-123362730,Schofields,NSW,2762,Lot 109/135 St Albans Road,"Lot 109/135 St Albans Road, Schofields, NSW 2762",610000,"$610,000",house,0,1,0,,,515.0,m²,AYVGST,McGrath - Northwest,,,30 Sep 2016,house,,515.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-schofields-111754367,Schofields,NSW,2762,Lot 120 Grange Ave,"Lot 120 Grange Ave, Schofields, NSW 2762",470000,"$470,000",residential-other,0,20,0,,,1730.0,m²,,,,,13 Aug 2013,house,,1730.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-schofields-132058726,Schofields,NSW,2762,39 Mortelle st,"39 Mortelle st, Schofields, NSW 2762",,Contact agent,residential-other,0,1,0,,,300.0,m²,ZKGLAG,Wel Realty,,,04 Nov 2019,house,,300.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-schofields-132061242,Schofields,NSW,2762,2x Vaucluse st,"2x Vaucluse st, Schofields, NSW 2762",,Contact agent,residential-other,0,1,0,,,421.0,m²,ZKGLAG,Wel Realty,,,11 Oct 2019,house,,421.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-schofields-125532914,Schofields,NSW,2762,175/Schofield Road Schofield Road,"175/Schofield Road Schofield Road, Schofields, NSW 2762",,Contact agent,house,0,2,6,175,m²,235.0,m²,KMKMMY,Sydney West Real Estate - BLAIR ATHOL,,,07 Jul 2017,house,175,235.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-schofields-118551931,Schofields,NSW,2762,33 St Albans Road,"33 St Albans Road, Schofields, NSW 2762",,Contact agent,acreage,0,1,0,,,2321.0,m²,DYUKWV,LJ Hooker - Seven Hills,,,05 Dec 2014,house,,2321.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-schofields-115872575,Schofields,NSW,2762,25  Westminster Street,"25  Westminster Street, Schofields, NSW 2762",430000,"Range: $370,000 - $430,000",residential-other,0,1,0,,,-1.0,,FGIVJJ,Zarzar Property - Rouse  Hill,,,19 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-schofields-126429274,Schofields,NSW,2762,3 Brindabella Crescent,"3 Brindabella Crescent, Schofields, NSW 2762",500000,"$500,000",house,1,1,0,205,m²,319.0,m²,JNIUDN,Waratah Estate Agents - Blacktown,,,10 Apr 2018,house,205,319.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-schofields-123628010,Schofields,NSW,2762,Lot 14 Bellflower Street,"Lot 14 Bellflower Street, Schofields, NSW 2762",545000,"$545,000",residential-other,1,1,0,,,416.0,m²,QBMYXZ,Ray White Nolan & Iken,,,22 Dec 2016,house,,416.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-schofields-123930954,Schofields,NSW,2762,Lot 19 Hambeldon,"Lot 19 Hambeldon, Schofields, NSW 2762",605000,"$605,000",house,1,1,0,,,-1.0,,YVKVDM,Laing+Simmons - Quakers Hill,,,13 Dec 2016,house,,-1.0
