badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-seaforth-117377603,Seaforth,NSW,2092,4/15 Burnt St,"4/15 Burnt St, Seaforth, NSW 2092",270000,"$270,000",residential-other,0,1,0,,,-1.0,,,,,,10 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-106448899,Seaforth,NSW,2092,Lot 13 Castle Circuit,"Lot 13 Castle Circuit, Seaforth, NSW 2092",,Contact agent,house,1,1,1,,,600.0,m²,XNTSEA,LJ Hooker - Seaforth,,,03 May 2010,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-106448897,Seaforth,NSW,2092,Lot 11 Acacia Avenue,"Lot 11 Acacia Avenue, Seaforth, NSW 2092",,Contact agent,house,1,1,1,,,842.0,m²,XNTSEA,LJ Hooker - Seaforth,,,03 May 2010,house,,842.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-106448896,Seaforth,NSW,2092,Lot 15 Castle Circuit,"Lot 15 Castle Circuit, Seaforth, NSW 2092",,Contact agent,house,1,1,1,,,630.0,m²,XNTSEA,LJ Hooker - Seaforth,,,03 May 2010,house,,630.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-106448895,Seaforth,NSW,2092,Lot 5 Wakehurst Parkway,"Lot 5 Wakehurst Parkway, Seaforth, NSW 2092",,Contact agent,house,1,1,1,,,560.0,m²,XNTSEA,LJ Hooker - Seaforth,,,03 May 2010,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-105989380,Seaforth,NSW,2092,4 Wakehurst Parkway,"4 Wakehurst Parkway, Seaforth, NSW 2092",,Contact agent,house,1,1,0,,,-1.0,,XNTSEA,LJ Hooker - Seaforth,,,28 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-105877225,Seaforth,NSW,2092,14 Wakehurst Parkway,"14 Wakehurst Parkway, Seaforth, NSW 2092",,Contact agent,house,1,1,0,,,-1.0,,XNTSEA,LJ Hooker - Seaforth,,,10 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-136074410,Seaforth,NSW,2092,6 Magarra Place,"6 Magarra Place, Seaforth, NSW 2092",3620000,"$3,620,000",house,2,2,3,,,1025.0,m²,XNTSEA,LJ Hooker - Seaforth,,,15 May 2021,house,,1025.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-131237950,Seaforth,NSW,2092,91 Seaforth Crescent,"91 Seaforth Crescent, Seaforth, NSW 2092",3100000,"$3,100,000",house,2,1,2,,,575.0,m²,KLASEA,Stone Real Estate Seaforth - Seaforth,,,04 Jun 2019,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-seaforth-128151794,Seaforth,NSW,2092,33 Kirkwood Street,"33 Kirkwood Street, Seaforth, NSW 2092",1425000,"$1,425,000",house,2,1,1,,,569.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,10 May 2018,house,,569.0
