badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-silverdale-136104810,Silverdale,NSW,2752,Lot 915 Leopard Street,"Lot 915 Leopard Street, Silverdale, NSW 2752",982900,"$982,900",house,0,4,2,297.29,m²,749.0,m²,TMKJKM,Fowler Homes Pty Ltd,,,30 May 2021,house,297.29,749.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-silverdale-106907737,Silverdale,NSW,2752,,,,Contact agent,acreage,0,1,0,,,2.0,ha,JUPFUA,LJ Hooker - Oran Park,,,12 Dec 2011,house,,20000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-silverdale-137829702,Silverdale,NSW,2752,314 Avoca Road,"314 Avoca Road, Silverdale, NSW 2752",3775000,"$3,775,000",acreage,1,1,1,50,m²,21.85,ha,RJKMKH,Badgerys Creek Property - KEMPS CREEK,,,24 Jun 2022,house,50,218500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-silverdale-106371845,Silverdale,NSW,2752,,,,Contact agent,acreage,1,1,0,,,1038.0,m²,XRXPEP,Property Central - Penrith,,,13 Oct 2011,house,,1038.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-silverdale-107542306,Silverdale,NSW,2752,Lot 3/75-77 Silverdale Rd,"Lot 3/75-77 Silverdale Rd, Silverdale, NSW 2752",,Contact agent,house,1,1,0,,,-1.0,,,,,,11 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-silverdale-107503965,Silverdale,NSW,2752,Lot 4/75-77 Silverdale Road,"Lot 4/75-77 Silverdale Road, Silverdale, NSW 2752",,Contact agent,house,1,1,0,,,-1.0,,,,,,19 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-silverdale-105537883,Silverdale,NSW,2752,,,,Contact agent,acreage,1,1,0,,,2.63,ha,FOUWAL,Elders Real Estate - Wallacia,,,22 Jan 2010,house,,26300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-silverdale-136542294,Silverdale,NSW,2752,106-108 Silverdale Road,"106-108 Silverdale Road, Silverdale, NSW 2752",1120000,"$1,120,000",house,2,1,1,,,4047.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,21 Jul 2021,house,,4047.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-silverdale-131901518,Silverdale,NSW,2752,2319 Silverdale Road,"2319 Silverdale Road, Silverdale, NSW 2752",1400000,"$1,400,000",house,2,1,0,,,2.8,ha,JIAREG,Jim Aitken + Partners - Glenmore Park,,,18 Oct 2019,house,,28000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-silverdale-120349017,Silverdale,NSW,2752,130 Silverdale Road,"130 Silverdale Road, Silverdale, NSW 2752",480500,"$480,500",house,2,1,4,,,1174.0,m²,XRXPEP,Property Central - Penrith,,,28 Aug 2015,house,,1174.0
