badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-140366711,Smithfield,NSW,2164,7 Reserve Street,"7 Reserve Street, Smithfield, NSW 2164",772000,"$772,000",house,0,1,0,,,556.0,m²,BGZGRE,LJ Hooker - Greystanes  ,,,08 Oct 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-smithfield-105326923,Smithfield,NSW,2164,,,280000,"$280,000",residential-other,0,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,11 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-122546730,Smithfield,NSW,2164,74A Market Street,"74A Market Street, Smithfield, NSW 2164",585000,"$585,000",house,1,1,0,,,900.0,m²,XNBZVH,LJ Hooker - Fairfield,,,13 May 2016,house,,900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-125960254,Smithfield,NSW,2164,60 Charles Street,"60 Charles Street, Smithfield, NSW 2164",1300000,"$1,300,000",house,1,1,0,,,-1.0,,XNBZVH,LJ Hooker - Fairfield,,,22 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-smithfield-110190429,Smithfield,NSW,2164,,,690000,"$690,000",residential-other,1,1,0,,,-1.0,,XCEBOS,Century 21 - The Parks Realty,,,05 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-110180205,Smithfield,NSW,2164,,,690000,"$690,000",house,1,1,0,,,6594.0,m²,XCEBOS,Century 21 - The Parks Realty,,,05 Nov 2012,house,,6594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-106306276,Smithfield,NSW,2164,,,,Contact agent,house,1,1,0,,,556.0,m²,XCEFAI,Century 21 - Fairfield,,,08 Apr 2010,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-141774020,Smithfield,NSW,2164,64 Oxford Street,"64 Oxford Street, Smithfield, NSW 2164",745000,"$745,000",house,2,1,0,,,613.0,m²,XNBZVH,LJ Hooker - Fairfield,,,15 Apr 2023,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-140070631,Smithfield,NSW,2164,170 Brenan Street,"170 Brenan Street, Smithfield, NSW 2164",795000,"$795,000",house,2,1,1,,,-1.0,,EYNWAQ,Graham Ball Estate Agents - FAIRFIELD HEIGHTS,,,03 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-138931083,Smithfield,NSW,2164,46 Eton Street,"46 Eton Street, Smithfield, NSW 2164",1830000,"$1,830,000",house,2,1,1,,,1532.0,m²,NAXXFT,McGrath Estate Agents - Liverpool,,,23 Apr 2022,house,,1532.0
