badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-106690941,Somersby,NSW,2250,664 Dog Trap Road,"664 Dog Trap Road, Somersby, NSW 2250",,Contact agent,acreage,1,1,0,,,43.3,ha,,,,,11 Nov 2011,house,,433000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-138389639,Somersby,NSW,2250,93 Reeves Street - Corner Of Goldsmith Road And Reeves Street,"93 Reeves Street - Corner Of Goldsmith Road And Reeves Street, Somersby, NSW 2250",1900000,"$1,900,000",acreage,2,1,3,,,1.86,ha,XRHTER,McGrath - Terrigal,,,12 Feb 2022,house,,18600.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-113282379,Somersby,NSW,2250,76 Hensons Road,"76 Hensons Road, Somersby, NSW 2250",1050000,"$1,050,000",acreage,2,1,2,,,6.88,ha,RCYGQP,The Property Market - Central Coast,,,24 Apr 2013,house,,68800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-somersby-111556691,Somersby,NSW,2250,,,,Contact agent,house,2,1,5,,,-1.0,,,,,,23 Jan 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-106223066,Somersby,NSW,2250,,,695000,"Range: $590,000 - $695,000",acreage,2,1,0,,,-1.0,,,,,,30 Jun 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-106443199,Somersby,NSW,2250,,,855000,"Range: $735,000 - $855,000",acreage,2,1,0,,,2.02,ha,,,,,08 Jun 2010,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-138557291,Somersby,NSW,2250,223 Debenham Road South,"223 Debenham Road South, Somersby, NSW 2250",1078000,"$1,078,000",acreage,3,1,5,124,m²,4046.86,m²,OSQXQV,Gittoes - East Gosford,,,16 Mar 2022,house,124,4046.86
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-137516038,Somersby,NSW,2250,265 Somersby Falls Road,"265 Somersby Falls Road, Somersby, NSW 2250",2155000,"$2,155,000",acreage,3,1,3,,,3.12,ha,HRELIS,LJ Hooker - East Gosford,,,03 Nov 2021,house,,31200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-somersby-136045090,Somersby,NSW,2250,710 Wisemans Ferry Road,"710 Wisemans Ferry Road, Somersby, NSW 2250",2700000,"$2,700,000",house,3,2,2,,,2.02,ha,XLJTES,LJ Hooker - Terrigal,,,22 May 2021,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-131095582,Somersby,NSW,2250,578 Wisemans Ferry Road,"578 Wisemans Ferry Road, Somersby, NSW 2250",1050000,"$1,050,000",acreage,3,2,1,,,2.02,ha,UHULSH,Wiseberry  - Kariong,,,31 May 2019,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-113975583,Somersby,NSW,2250,1051 Wisemans Ferry Road,"1051 Wisemans Ferry Road, Somersby, NSW 2250",1020000,"$1,020,000",acreage,3,2,6,,,3.43,ha,OSQXQV,Gittoes - East Gosford,,,09 Nov 2015,house,,34300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-136444014,Somersby,NSW,2250,769 Dog Trap Road,"769 Dog Trap Road, Somersby, NSW 2250",1130000,"$1,130,000",acreage,3,2,1,,,1789.0,m²,MIFKUL,Michael Kidd Property Sales Pty Ltd - Kulnura,,,28 Jul 2021,house,,1789.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-129715214,Somersby,NSW,2250,430 Wisemans Ferry Road,"430 Wisemans Ferry Road, Somersby, NSW 2250",2150000,"$2,150,000",acreage,3,2,3,,,11.33,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,06 Nov 2018,house,,113300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-somersby-128894614,Somersby,NSW,2250,180 Wisemans Ferry Road,"180 Wisemans Ferry Road, Somersby, NSW 2250",630000,"$630,000",house,3,2,2,,,9251.0,m²,,,,,16 Aug 2018,house,,9251.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-124762174,Somersby,NSW,2250,1A Dawson Street,"1A Dawson Street, Somersby, NSW 2250",1030000,"$1,030,000",acreage,3,1,5,,,1.01,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,10 Apr 2017,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-122476426,Somersby,NSW,2250,1A Dawson Street,"1A Dawson Street, Somersby, NSW 2250",850000,"$850,000",acreage,3,1,3,,,1.0,ha,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,02 Aug 2016,house,,10000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-121466550,Somersby,NSW,2250,161 Silvesters Road,"161 Silvesters Road, Somersby, NSW 2250",790000,"$790,000",acreage,3,2,2,,,2.02,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,02 Nov 2015,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-138946651,Somersby,NSW,2250,206 Konda Road,"206 Konda Road, Somersby, NSW 2250",,Contact agent,acreage,3,1,10,,,26.55,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,26 Apr 2023,house,,265500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-140369803,Somersby,NSW,2250,520 Wisemans Ferry Road,"520 Wisemans Ferry Road, Somersby, NSW 2250",,Contact agent,acreage,3,1,2,,,8.09,ha,KATWYO,McGrath - Gosford,,,21 Oct 2022,house,,80900.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-137427730,Somersby,NSW,2250,101 Elwins Road,"101 Elwins Road, Somersby, NSW 2250",2750000,"$2,750,000",acreage,3,1,4,,,3.44,ha,CAVXGI,Central Coast SELECT Properties - LISAROW,,,22 Sep 2021,house,,34400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-133470034,Somersby,NSW,2250,19 Lackersteens Road,"19 Lackersteens Road, Somersby, NSW 2250",2500000,"$2,500,000",acreage,3,2,2,,,7.28,ha,YDNNTE,Raine & Horne  -  Wyong,,,19 May 2020,house,,72800.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-somersby-127278366,Somersby,NSW,2250,38 Peats Ridge Road,"38 Peats Ridge Road, Somersby, NSW 2250",1520000,"$1,520,000",acreage,3,2,17,300,m²,6.66,ha,HRELIS,LJ Hooker - East Gosford,,,12 May 2018,house,300,66600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-somersby-118011855,Somersby,NSW,2250,1243 Wisemans Ferry Road,"1243 Wisemans Ferry Road, Somersby, NSW 2250",,Contact agent,house,3,2,8,,,1.49,ha,,,,,16 Apr 2015,house,,14900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-somersby-106280382,Somersby,NSW,2250,,,575000,"$575,000",house,3,2,2,,,-1.0,,OUROUA,Ourimbah Real Estate - Ourimbah,,,06 Oct 2011,house,,-1.0
