badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-spencer-106690888,Spencer,NSW,2775,4608 Wisemans Ferry Road,"4608 Wisemans Ferry Road, Spencer, NSW 2775",133000,"$133,000",acreage,0,1,0,,,-1.0,,LTGZWE,Chris Wilkinson Property Sales - St Albans,,,01 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-spencer-119593267,Spencer,NSW,2775,5424 Wisemans Ferry Road Spencer,"5424 Wisemans Ferry Road Spencer, Spencer, NSW 2775",,Contact agent,acreage,0,1,0,,,8.09,ha,TEQIJG,33Degrees Real Estate - Pitt Town,,,16 Nov 2017,house,,80900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-139413063,Spencer,NSW,2775,4820 Wisemans Ferry Rd,"4820 Wisemans Ferry Rd, Spencer, NSW 2775",500000,"$500,000",house,1,1,2,,,815.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,08 Sep 2022,house,,815.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-138537671,Spencer,NSW,2775,4488 Wisemans Ferry Rd,"4488 Wisemans Ferry Rd, Spencer, NSW 2775",525000,"$525,000",house,1,1,1,,,1467.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,20 Apr 2022,house,,1467.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-134098298,Spencer,NSW,2775,13 Lavender Cres,"13 Lavender Cres, Spencer, NSW 2775",450000,"$450,000",house,1,1,1,,,3402.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,22 Apr 2021,house,,3402.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-spencer-129224798,Spencer,NSW,2775,4814 Wisemans Ferry Road,"4814 Wisemans Ferry Road, Spencer, NSW 2775",350000,"$350,000",acreage,1,1,2,54,m²,9471.0,m²,XRWXCG,Stone Real Estate - Gosford,,,13 Oct 2020,house,54,9471.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-124491002,Spencer,NSW,2775,4488 Wisemans Ferry Road,"4488 Wisemans Ferry Road, Spencer, NSW 2775",284000,"$284,000",house,1,1,0,,,1468.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,15 Feb 2017,house,,1468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-122852342,Spencer,NSW,2775,12 Collington Road,"12 Collington Road, Spencer, NSW 2775",395000,"$395,000",house,1,1,1,,,1895.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,25 Aug 2016,house,,1895.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-122179402,Spencer,NSW,2775,4684 Wisemans Ferry Road,"4684 Wisemans Ferry Road, Spencer, NSW 2775",61818,"$61,818",house,1,2,4,,,5834.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,30 Apr 2016,house,,5834.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-spencer-120050177,Spencer,NSW,2775,42 Ingoola Road,"42 Ingoola Road, Spencer, NSW 2775",280000,"$280,000",residential-other,1,1,1,,,6058.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,18 Jan 2016,house,,6058.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-136012394,Spencer,NSW,2775,5148 Wisemans Ferry Rd,"5148 Wisemans Ferry Rd, Spencer, NSW 2775",,Contact agent,house,1,1,1,"1,004",m²,-1.0,,BGRGQA,Stone Real Estate - Glenorie,,,04 Jun 2021,house,"1,004",-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-spencer-131383646,Spencer,NSW,2775,4684/4688 Wisemans Ferry Road,"4684/4688 Wisemans Ferry Road, Spencer, NSW 2775",,Contact agent,residential-other,1,2,0,,,5834.0,m²,CAVXGI,Central Coast SELECT Properties - LISAROW,,,13 Jan 2021,house,,5834.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-spencer-131164782,Spencer,NSW,2775,5247 Wisemans Ferry Road,"5247 Wisemans Ferry Road, Spencer, NSW 2775",320000,"$320,000",acreage,1,1,3,,,2390.0,m²,XLJPOI,Richardson & Wrench - Point Clare,,,21 Aug 2019,house,,2390.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-131250610,Spencer,NSW,2775,4488 Wisemans Ferry Rd,"4488 Wisemans Ferry Rd, Spencer, NSW 2775",317500,"$317,500",house,1,1,2,,,1468.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,18 Jul 2019,house,,1468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-111422491,Spencer,NSW,2775,4820 Wisemans Ferry Road,"4820 Wisemans Ferry Road, Spencer, NSW 2775",180000,"$180,000",house,1,1,0,,,830.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,22 Sep 2012,house,,830.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-140394379,Spencer,NSW,2775,6 Collington Road,"6 Collington Road, Spencer, NSW 2775",670000,"$670,000",house,2,1,2,,,1840.0,m²,VOLTFE,Linda Rainsford Property - CENTRAL COAST,,,06 Mar 2023,house,,1840.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-140783547,Spencer,NSW,2775,4944 - 4946 Wisemans Ferry Rd,"4944 - 4946 Wisemans Ferry Rd, Spencer, NSW 2775",780000,"$780,000",house,2,1,1,,,-1.0,,QLTWZP,Vella Iverson Real Estate,,,28 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-133923974,Spencer,NSW,2775,7 & 9 Mooga Avenue,"7 & 9 Mooga Avenue, Spencer, NSW 2775",320000,"$320,000",house,2,1,3,52,m²,1100.0,m²,KATWYO,McGrath - Gosford,,,12 Nov 2020,house,52,1100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-132948506,Spencer,NSW,2775,4568 Wisemans Ferry Road,"4568 Wisemans Ferry Road, Spencer, NSW 2775",385000,"$385,000",house,2,1,2,,,3416.0,m²,KATWYO,McGrath - Gosford,,,06 Jul 2020,house,,3416.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-134165810,Spencer,NSW,2775,5162 Wisemans Ferry Rd,"5162 Wisemans Ferry Rd, Spencer, NSW 2775",575000,"$575,000",house,2,1,2,,,1682.0,m²,QLTWZP,Vella Iverson Real Estate,,,14 Jan 2021,house,,1682.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-133190794,Spencer,NSW,2775,4666 Wisemans Ferry Road,"4666 Wisemans Ferry Road, Spencer, NSW 2775",850000,"$850,000",house,2,2,2,,,856.0,m²,CAYGOR,Capital One Real Estate - Central Coast,,,03 Aug 2020,house,,856.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-130809902,Spencer,NSW,2775,2 Collington Road,"2 Collington Road, Spencer, NSW 2775",310000,"$310,000",house,2,1,1,,,2030.0,m²,CAVXGI,Central Coast SELECT Properties - LISAROW,,,09 Aug 2019,house,,2030.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-129402918,Spencer,NSW,2775,6 Mooga Avenue,"6 Mooga Avenue, Spencer, NSW 2775",216000,"$216,000",house,2,1,1,,,531.0,m²,XFNWYO,Coastwide First National -   ,,,18 Jan 2019,house,,531.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-128315898,Spencer,NSW,2775,4100 Wisemans Ferry Rd,"4100 Wisemans Ferry Rd, Spencer, NSW 2775",445000,"$445,000",house,2,1,6,,,1.82,ha,BGRGQA,Stone Real Estate - Glenorie,,,16 Oct 2018,house,,18200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-122005282,Spencer,NSW,2775,4964 Wisemans Ferry Road,"4964 Wisemans Ferry Road, Spencer, NSW 2775",350000,"$350,000",house,2,1,2,,,1372.0,m²,CAVXGI,Central Coast SELECT Properties - LISAROW,,,17 Jan 2017,house,,1372.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-120713893,Spencer,NSW,2775,15 Lavender Crescent,"15 Lavender Crescent, Spencer, NSW 2775",299000,"$299,000",house,2,1,2,,,1625.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,18 Sep 2015,house,,1625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-118357659,Spencer,NSW,2775,4168 Wisemans Ferry Road,"4168 Wisemans Ferry Road, Spencer, NSW 2775",325000,"$325,000",house,2,1,6,,,7488.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,07 Jul 2015,house,,7488.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-116636327,Spencer,NSW,2775,5166 Wisemans Ferry Road,"5166 Wisemans Ferry Road, Spencer, NSW 2775",280000,"$280,000",house,2,1,1,,,1865.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,28 Oct 2014,house,,1865.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-117587671,Spencer,NSW,2775,23 MOOGA Avenue,"23 MOOGA Avenue, Spencer, NSW 2775",230000,"$230,000",house,2,1,2,,,885.2,m²,BGRGQA,Stone Real Estate - Glenorie,,,16 Sep 2014,house,,885.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-110636397,Spencer,NSW,2775,4680 Wisemans Ferry Road,"4680 Wisemans Ferry Road, Spencer, NSW 2775",159950,"$159,950",house,2,1,2,,,-1.0,,,,,,04 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-123716094,Spencer,NSW,2775,5164 Wisemans Ferry Road,"5164 Wisemans Ferry Road, Spencer, NSW 2775",355000,"$355,000",house,2,1,2,,,1850.0,m²,QIHPDI,Rachael Goldsworthy Realty -  Windsor,,,03 Mar 2017,house,,1850.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-141297216,Spencer,NSW,2775,4168 Wisemans Ferry Rd,"4168 Wisemans Ferry Rd, Spencer, NSW 2775",490000,"$490,000",house,2,1,4,,,7493.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,03 Mar 2023,house,,7493.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-139987087,Spencer,NSW,2775,4836 Wisemans Ferry Rd,"4836 Wisemans Ferry Rd, Spencer, NSW 2775",380000,"$380,000",house,2,1,2,,,550.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,14 Oct 2022,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-139931907,Spencer,NSW,2775,16 Lavender Cres,"16 Lavender Cres, Spencer, NSW 2775",355000,"$355,000",house,2,1,1,,,-1.0,,QLTWZP,Vella Iverson Real Estate,,,05 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-136904434,Spencer,NSW,2775,4691 Wisemans Ferry Rd,"4691 Wisemans Ferry Rd, Spencer, NSW 2775",600000,"$600,000",house,2,2,2,,,-1.0,,QLTWZP,Vella Iverson Real Estate,,,29 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-130331394,Spencer,NSW,2775,5249 Wisemans Ferry Rd,"5249 Wisemans Ferry Rd, Spencer, NSW 2775",565000,"$565,000",house,2,1,8,,,-1.0,,BGRGQA,Stone Real Estate - Glenorie,,,19 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-127585310,Spencer,NSW,2775,1 Lavender Cres,"1 Lavender Cres, Spencer, NSW 2775",,Contact agent,house,2,1,3,,,544.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,26 Apr 2019,house,,544.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-126894366,Spencer,NSW,2775,21 Mooga Ave,"21 Mooga Ave, Spencer, NSW 2775",,Contact agent,house,2,1,3,,,607.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,22 Jan 2018,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-spencer-124507130,Spencer,NSW,2775,6 Collington Road,"6 Collington Road, Spencer, NSW 2775",415000,"$415,000",house,2,1,1,,,1840.0,m²,BGRGQA,Stone Real Estate - Glenorie,,,01 May 2017,house,,1840.0
