badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-125544734,St Andrews,NSW,2566,,,,Contact agent,house,0,2,6,,,621.0,m²,KMKMMY,Sydney West Real Estate - BLAIR ATHOL,,,26 Jun 2017,house,,621.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-108790306,St Andrews,NSW,2566,,,338000,"$338,000",house,2,1,3,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,16 Dec 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-107432959,St Andrews,NSW,2566,,,290000,"$290,000",house,2,1,2,,,-1.0,,KYNMXR,@realty - National Head Office Australia,,,01 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-106796815,St Andrews,NSW,2566,,,270000,"$270,000",house,2,1,1,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,06 Jan 2006,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-141832792,St Andrews,NSW,2566,8 Duncansby Crescent,"8 Duncansby Crescent, St Andrews, NSW 2566",770000,"$770,000",house,3,1,0,,,565.3,m²,LHYAVR,Ray White Macarthur Group - Ingleburn,,,17 Apr 2023,house,,565.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-141174864,St Andrews,NSW,2566,17 Lerwick Place,"17 Lerwick Place, St Andrews, NSW 2566",775000,"$775,000",house,3,1,2,,,-1.0,,STANAR,Richardson & Wrench - Narellan,,,15 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-141235916,St Andrews,NSW,2566,7 Tummul Place,"7 Tummul Place, St Andrews, NSW 2566",770000,"$770,000",house,3,1,4,,,687.0,m²,EJLJDU,LJ Hooker Ingleburn - INGLEBURN,,,14 Feb 2023,house,,687.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140725223,St Andrews,NSW,2566,11 Bute Place,"11 Bute Place, St Andrews, NSW 2566",900000,"$900,000",house,3,1,1,,,874.0,m²,TVLSRQ,Ray White - Macarthur Group,,,12 Dec 2022,house,,874.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140701683,St Andrews,NSW,2566,48 Midlothian Road,"48 Midlothian Road, St Andrews, NSW 2566",732510,"$732,510",house,3,2,1,,,582.6,m²,TVLSRQ,Ray White - Macarthur Group,,,12 Dec 2022,house,,582.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140623931,St Andrews,NSW,2566,2 Morar Place,"2 Morar Place, St Andrews, NSW 2566",760000,"$760,000",house,3,2,0,,,600.6,m²,TVLSRQ,Ray White - Macarthur Group,,,02 Dec 2022,house,,600.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140875496,St Andrews,NSW,2566,6 Dunbar Street,"6 Dunbar Street, St Andrews, NSW 2566",865000,"$865,000",house,3,2,2,,,612.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,28 Nov 2022,house,,612.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140693399,St Andrews,NSW,2566,74 Stromeferry Crescent,"74 Stromeferry Crescent, St Andrews, NSW 2566",715000,"$715,000",house,3,1,3,,,562.0,m²,TVLSRQ,Ray White - Macarthur Group,,,28 Nov 2022,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140770015,St Andrews,NSW,2566,10 Glenshee Place,"10 Glenshee Place, St Andrews, NSW 2566",772000,"$772,000",house,3,1,1,,,733.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,26 Nov 2022,house,,733.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140727743,St Andrews,NSW,2566,47 Stranraer Drive,"47 Stranraer Drive, St Andrews, NSW 2566",705000,"$705,000",house,3,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,11 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140481319,St Andrews,NSW,2566,12 Selkirk Street,"12 Selkirk Street, St Andrews, NSW 2566",747000,"$747,000",house,3,1,2,,,557.0,m²,XRWPEN,Ray White - Nepean Group,,,24 Oct 2022,house,,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140032827,St Andrews,NSW,2566,4 Arran Place,"4 Arran Place, St Andrews, NSW 2566",765000,"$765,000",house,3,1,4,,,635.0,m²,MUUNKW,CENTURY 21 MINTO - MINTO,,,26 Sep 2022,house,,635.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-140064391,St Andrews,NSW,2566,6 Durness Place,"6 Durness Place, St Andrews, NSW 2566",730000,"$730,000",house,3,1,1,,,564.7,m²,XIYWHQ,Stone Real Estate Macarthur,,,20 Sep 2022,house,,564.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-139576223,St Andrews,NSW,2566,72 Aberdeen Road,"72 Aberdeen Road, St Andrews, NSW 2566",900000,"$900,000",house,3,2,3,,,788.0,m²,TVLSRQ,Ray White - Macarthur Group,,,21 Jul 2022,house,,788.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-139658851,St Andrews,NSW,2566,51 Bannockburn Avenue,"51 Bannockburn Avenue, St Andrews, NSW 2566",696000,"$696,000",house,3,1,1,,,560.0,m²,EQMGZA,United Agents Property Group - WEST HOXTON,,,18 Jul 2022,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-139721147,St Andrews,NSW,2566,1 Earn Place,"1 Earn Place, St Andrews, NSW 2566",855000,"$855,000",house,3,2,2,,,652.2,m²,TVLSRQ,Ray White - Macarthur Group,,,14 Jul 2022,house,,652.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-139463071,St Andrews,NSW,2566,7 Hebrides Place,"7 Hebrides Place, St Andrews, NSW 2566",960000,"$960,000",house,3,2,2,,,806.0,m²,TVLSRQ,Ray White - Macarthur Group,,,15 Jun 2022,house,,806.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-139348883,St Andrews,NSW,2566,9 Fannich Place,"9 Fannich Place, St Andrews, NSW 2566",820000,"$820,000",house,3,1,1,,,642.0,m²,TVLSRQ,Ray White - Macarthur Group,,,06 Jun 2022,house,,642.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-139425899,St Andrews,NSW,2566,6 Galashiels Avenue,"6 Galashiels Avenue, St Andrews, NSW 2566",760000,"$760,000",house,3,1,1,,,565.7,m²,TVLSRQ,Ray White - Macarthur Group,,,01 Jun 2022,house,,565.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-139065351,St Andrews,NSW,2566,6 Nith Place,"6 Nith Place, St Andrews, NSW 2566",851000,"$851,000",house,3,1,5,,,575.0,m²,TVLSRQ,Ray White - Macarthur Group,,,03 May 2022,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-138950875,St Andrews,NSW,2566,3 Aberfeldy Crescent,"3 Aberfeldy Crescent, St Andrews, NSW 2566",905000,"$905,000",house,3,1,2,,,633.0,m²,EJLJDU,LJ Hooker Ingleburn - INGLEBURN,,,20 Apr 2022,house,,633.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-138751079,St Andrews,NSW,2566,4 Lochalsh Street,"4 Lochalsh Street, St Andrews, NSW 2566",900000,"$900,000",house,3,1,1,,,614.0,m²,XCEFAI,Century 21 - Fairfield,,,25 Mar 2022,house,,614.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-138586459,St Andrews,NSW,2566,2 Midlothian Road,"2 Midlothian Road, St Andrews, NSW 2566",750000,"$750,000",house,3,1,1,,,564.0,m²,IEERYA,McLaren Real Estate - Narellan,,,21 Mar 2022,house,,564.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-138655747,St Andrews,NSW,2566,8 Troon Place,"8 Troon Place, St Andrews, NSW 2566",894000,"$894,000",house,3,2,2,,,604.0,m²,STANAR,Richardson & Wrench - Narellan,,,11 Mar 2022,house,,604.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-138445359,St Andrews,NSW,2566,13 Selkirk Street,"13 Selkirk Street, St Andrews, NSW 2566",800000,"$800,000",house,3,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,23 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-138386311,St Andrews,NSW,2566,9 Troon Place,"9 Troon Place, St Andrews, NSW 2566",876000,"$876,000",house,3,2,1,,,658.1,m²,STANAR,Richardson & Wrench - Narellan,,,16 Feb 2022,house,,658.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-137791290,St Andrews,NSW,2566,31 Rutherglen Drive,"31 Rutherglen Drive, St Andrews, NSW 2566",770000,"$770,000",house,3,1,1,,,581.4,m²,LHYAVR,Ray White Macarthur Group - Ingleburn,,,29 Nov 2021,house,,581.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-136691866,St Andrews,NSW,2566,63 Stromeferry Crescent,"63 Stromeferry Crescent, St Andrews, NSW 2566",795000,"$795,000",house,3,2,1,,,715.3,m²,ISDZRN,First National Real Estate Pinnacle,,,17 Aug 2021,house,,715.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-136900314,St Andrews,NSW,2566,70 Stornoway Avenue,"70 Stornoway Avenue, St Andrews, NSW 2566",716594,"$716,594",house,3,1,3,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,16 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-136766054,St Andrews,NSW,2566,70 Stromeferry Crescent,"70 Stromeferry Crescent, St Andrews, NSW 2566",690000,"$690,000",house,3,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,10 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-136173046,St Andrews,NSW,2566,51 Stromeferry Crescent,"51 Stromeferry Crescent, St Andrews, NSW 2566",732500,"$732,500",house,3,1,4,,,657.7,m²,XIYWHQ,Stone Real Estate Macarthur,,,19 May 2021,house,,657.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-135921166,St Andrews,NSW,2566,4 Bute Place,"4 Bute Place, St Andrews, NSW 2566",690000,"$690,000",house,3,1,2,124,m²,560.0,m²,WKEYZZ,Raine & Horne Ingleburn - INGLEBURN,,,21 Apr 2021,house,124,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-135464338,St Andrews,NSW,2566,8 Dewar Place,"8 Dewar Place, St Andrews, NSW 2566",780000,"$780,000",house,3,2,4,,,615.0,m²,STALIL,Prudential Real Estate - Liverpool,,,26 Feb 2021,house,,615.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-134905626,St Andrews,NSW,2566,44 Ballantrae Drive,"44 Ballantrae Drive, St Andrews, NSW 2566",615000,"$615,000",house,3,1,1,,,620.5,m²,XIYWHQ,Stone Real Estate Macarthur,,,16 Dec 2020,house,,620.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-134795618,St Andrews,NSW,2566,65 Ballantrae Drive,"65 Ballantrae Drive, St Andrews, NSW 2566",625000,"$625,000",house,3,2,2,,,663.0,m²,TVLSRQ,Ray White - Macarthur Group,,,14 Dec 2020,house,,663.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+andrews-134763566,St Andrews,NSW,2566,30 Aberfeldy Crescent,"30 Aberfeldy Crescent, St Andrews, NSW 2566",650000,"$650,000",house,3,1,2,,,667.2,m²,XIYWHQ,Stone Real Estate Macarthur,,,16 Nov 2020,house,,667.2
