badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-105205330,St Clair,NSW,2759,6 caribou,"6 caribou, St Clair, NSW 2759",,Contact agent,house,0,4,0,,,-1.0,,,,,,27 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-138285294,St Clair,NSW,2759,158A Explorers Way,"158A Explorers Way, St Clair, NSW 2759",450000,"$450,000",house,1,1,2,,,288.0,m²,QKQSIZ,Ray White Stanhope Gardens - STANHOPE GARDENS,,,19 Apr 2022,house,,288.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-119592367,St Clair,NSW,2759,158A Explorers Way,"158A Explorers Way, St Clair, NSW 2759",343000,"$343,000",house,1,1,1,,,288.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,29 Jun 2015,house,,288.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-120642617,St Clair,NSW,2759,52 Solander drive,"52 Solander drive, St Clair, NSW 2759",636000,"$636,000",house,2,1,2,,,829.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,16 Oct 2015,house,,829.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-113541899,St Clair,NSW,2759,,,339000,"$339,000",house,2,1,0,,,-1.0,,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,13 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-106948093,St Clair,NSW,2759,,,343000,"$343,000",house,2,1,1,,,-1.0,,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,22 Dec 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-106267829,St Clair,NSW,2759,55 Melville,"55 Melville, St Clair, NSW 2759",510000,"$510,000",house,2,1,2,,,1419.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,16 Mar 2010,house,,1419.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141810872,St Clair,NSW,2759,29 Dobell Circuit,"29 Dobell Circuit, St Clair, NSW 2759",862000,"$862,000",house,3,2,1,,,627.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,19 Apr 2023,house,,627.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141559612,St Clair,NSW,2759,10 Walkers Lane,"10 Walkers Lane, St Clair, NSW 2759",900000,"$900,000",house,3,2,6,,,791.0,m²,MULQUJ,Ray White Diamantidis Group,,,18 Apr 2023,house,,791.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141844040,St Clair,NSW,2759,4 Dobell Circuit,"4 Dobell Circuit, St Clair, NSW 2759",891000,"$891,000",house,3,2,2,,,565.0,m²,XRWPEN,Ray White - Nepean Group,,,18 Apr 2023,house,,565.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141927760,St Clair,NSW,2759,73 Rotorua Road,"73 Rotorua Road, St Clair, NSW 2759",907000,"$907,000",house,3,2,2,,,627.0,m²,MPOPEN,Dukes Estate Agents,,,16 Apr 2023,house,,627.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141751220,St Clair,NSW,2759,31 Dobell Circuit,"31 Dobell Circuit, St Clair, NSW 2759",850000,"$850,000",house,3,1,4,,,568.0,m²,VNWGRP,BHGRE Property Solutions,,,11 Apr 2023,house,,568.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141741804,St Clair,NSW,2759,9 Moore Street,"9 Moore Street, St Clair, NSW 2759",845000,"$845,000",house,3,1,2,,,629.0,m²,MULQUJ,Ray White Diamantidis Group,,,06 Apr 2023,house,,629.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141652072,St Clair,NSW,2759,33 The Grandstand,"33 The Grandstand, St Clair, NSW 2759",900000,"$900,000",house,3,1,5,,,828.0,m²,MULQUJ,Ray White Diamantidis Group,,,03 Apr 2023,house,,828.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141687864,St Clair,NSW,2759,3 Ree Place,"3 Ree Place, St Clair, NSW 2759",880000,"$880,000",house,3,1,1,,,672.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,03 Apr 2023,house,,672.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141593784,St Clair,NSW,2759,2 Kalindi Place,"2 Kalindi Place, St Clair, NSW 2759",852000,"$852,000",house,3,1,2,,,473.0,m²,STASTM,Starr Partners Real Estate,,,31 Mar 2023,house,,473.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141607040,St Clair,NSW,2759,154 Explorers Way,"154 Explorers Way, St Clair, NSW 2759",770000,"$770,000",house,3,1,3,,,564.0,m²,VUNUHO,One Agency Caddens - St Marys,,,31 Mar 2023,house,,564.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141526020,St Clair,NSW,2759,2 Meru Place,"2 Meru Place, St Clair, NSW 2759",765000,"$765,000",house,3,1,2,,,630.0,m²,XRWPEN,Ray White - Nepean Group,,,29 Mar 2023,house,,630.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141563332,St Clair,NSW,2759,4 Brolga Glen,"4 Brolga Glen, St Clair, NSW 2759",910000,"$910,000",house,3,1,1,,,743.0,m²,XNFPEN,PRD - PENRITH,,,21 Mar 2023,house,,743.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141567688,St Clair,NSW,2759,228 Bennett Road,"228 Bennett Road, St Clair, NSW 2759",950000,"$950,000",house,3,1,3,,,639.0,m²,XPNSTM,Professionals - St Marys & Erskine Park,,,18 Mar 2023,house,,639.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141561588,St Clair,NSW,2759,6 Denzil Avenue,"6 Denzil Avenue, St Clair, NSW 2759",790000,"$790,000",house,3,2,3,,,640.0,m²,QQHRJX,LJ Hooker - Colyton | St Clair ,,,18 Mar 2023,house,,640.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141539036,St Clair,NSW,2759,43 Columbus Avenue,"43 Columbus Avenue, St Clair, NSW 2759",830000,"$830,000",house,3,1,2,,,485.0,m²,ZBPUZN,The Studio Estate Agents - CASTLE HILL,,,13 Mar 2023,house,,485.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141237252,St Clair,NSW,2759,1 Boeing Place,"1 Boeing Place, St Clair, NSW 2759",925000,"$925,000",house,3,1,2,,,-1.0,,XPNSTM,Professionals - St Marys & Erskine Park,,,11 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141447308,St Clair,NSW,2759,12 Como Close,"12 Como Close, St Clair, NSW 2759",910000,"$910,000",house,3,2,1,,,677.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,03 Mar 2023,house,,677.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141351436,St Clair,NSW,2759,5 Menzies Circuit,"5 Menzies Circuit, St Clair, NSW 2759",833000,"$833,000",house,3,1,1,,,626.0,m²,STASTM,Starr Partners Real Estate,,,27 Feb 2023,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141386260,St Clair,NSW,2759,6 Strauss Road,"6 Strauss Road, St Clair, NSW 2759",812000,"$812,000",house,3,1,1,,,510.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,24 Feb 2023,house,,510.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141411648,St Clair,NSW,2759,22 Netherton Avenue,"22 Netherton Avenue, St Clair, NSW 2759",810000,"$810,000",house,3,1,3,,,638.0,m²,MULQUJ,Ray White Diamantidis Group,,,24 Feb 2023,house,,638.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+clair-141154684,St Clair,NSW,2759,7 Chatres Street,"7 Chatres Street, St Clair, NSW 2759",825000,"$825,000",house,3,1,4,,,555.1,m²,MULQUJ,Ray White Diamantidis Group,,,07 Feb 2023,house,,555.1
