badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+helens+park-138335198,St Helens Park,NSW,2560,6/53 Woodland Road,"6/53 Woodland Road, St Helens Park, NSW 2560",500000,"$500,000",house,2,1,1,,,-1.0,,STANAR,Richardson & Wrench - Narellan,,,16 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+helens+park-137747974,St Helens Park,NSW,2560,13/11 Mundarda Place,"13/11 Mundarda Place, St Helens Park, NSW 2560",450000,"$450,000",house,2,1,1,,,4142.69,m²,TVLSRQ,Ray White - Macarthur Group,,,22 Nov 2021,house,,4142.69
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-st+helens+park-135261270,St Helens Park,NSW,2560,1/64 Ironside Avenue,"1/64 Ironside Avenue, St Helens Park, NSW 2560",548000,"$548,000",duplex-semi-detached,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,10 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+helens+park-130430490,St Helens Park,NSW,2560,13/11 Mundarda Place,"13/11 Mundarda Place, St Helens Park, NSW 2560",369000,"$369,000",house,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,09 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-st+helens+park-126663734,St Helens Park,NSW,2560,57 St Helens Park Drive,"57 St Helens Park Drive, St Helens Park, NSW 2560",499000,"$499,000",duplex-semi-detached,2,1,1,,,-1.0,,STANAR,Richardson & Wrench - Narellan,,,09 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+helens+park-124469718,St Helens Park,NSW,2560,,,499950,"$499,950",house,2,1,1,,,-1.0,,HBGYTR,Ray White Macarthur Group,,,31 Jan 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+helens+park-132210814,St Helens Park,NSW,2560,31 Greengate Road,"31 Greengate Road, St Helens Park, NSW 2560",497000,"$497,000",house,2,1,1,,,691.3,m²,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,14 Nov 2019,house,,691.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+helens+park-132278858,St Helens Park,NSW,2560,48 Ironside Avenue,"48 Ironside Avenue, St Helens Park, NSW 2560",475000,"$475,000",house,2,1,1,,,579.0,m²,TVLSRQ,Ray White - Macarthur Group,,,22 Aug 2019,house,,579.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-st+helens+park-129444378,St Helens Park,NSW,2560,1/6 Larapinta Crescent,"1/6 Larapinta Crescent, St Helens Park, NSW 2560",430000,"$430,000",duplex-semi-detached,2,1,1,,,208.0,m²,STACAM,Prudential Real Estate - Campbelltown,,,07 Mar 2019,house,,208.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+helens+park-129695506,St Helens Park,NSW,2560,2/18 Tungoo Place,"2/18 Tungoo Place, St Helens Park, NSW 2560",415000,"$415,000",house,2,1,1,,,-1.0,,KYNMXR,@realty - National Head Office Australia,,,24 Oct 2018,house,,-1.0
