badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-124225102,St Huberts Island,NSW,2257,43 Marina View Parade,"43 Marina View Parade, St Huberts Island, NSW 2257",620000,"$620,000",house,2,1,1,,,575.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,16 Dec 2016,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-118863435,St Huberts Island,NSW,2257,20 Beachfront Parade,"20 Beachfront Parade, St Huberts Island, NSW 2257",410000,"$410,000",house,2,1,1,,,-1.0,,,,,,06 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-105535901,St Huberts Island,NSW,2257,69 Helmsman Blvd,"69 Helmsman Blvd, St Huberts Island, NSW 2257",,Contact agent,house,2,1,2,,,-1.0,,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-139472099,St Huberts Island,NSW,2257,18 Nautilus Crescent,"18 Nautilus Crescent, St Huberts Island, NSW 2257",1020000,"$1,020,000",house,3,2,2,,,575.0,m²,NIILOI,Central Coast Agents - ST HUBERTS ISLAND,,,13 Mar 2023,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-140301531,St Huberts Island,NSW,2257,71 Helmsman Boulevard,"71 Helmsman Boulevard, St Huberts Island, NSW 2257",965000,"$965,000",house,3,2,2,,,-1.0,,RYCDZU,Belle Property - Central Coast,,,07 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-140405119,St Huberts Island,NSW,2257,13 Attunga Close,"13 Attunga Close, St Huberts Island, NSW 2257",1200000,"$1,200,000",house,3,2,2,,,685.0,m²,XCEUMI,Wiseberry Peninsula - Umina Beach,,,12 Oct 2022,house,,685.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-138852323,St Huberts Island,NSW,2257,39 Helmsman Boulevard,"39 Helmsman Boulevard, St Huberts Island, NSW 2257",2120000,"$2,120,000",house,3,2,2,,,663.9,m²,XGBKIN,George Brand Real Estate - Kincumber,,,05 Oct 2022,house,,663.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-139065703,St Huberts Island,NSW,2257,35 Marina View Parade,"35 Marina View Parade, St Huberts Island, NSW 2257",1100000,"$1,100,000",house,3,2,2,,,575.0,m²,NIILOI,Central Coast Agents - ST HUBERTS ISLAND,,,10 Aug 2022,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-139487659,St Huberts Island,NSW,2257,12 Discovery Street,"12 Discovery Street, St Huberts Island, NSW 2257",1400000,"$1,400,000",house,3,2,2,,,-1.0,,NIILOI,Central Coast Agents - ST HUBERTS ISLAND,,,08 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-139263671,St Huberts Island,NSW,2257,3 Salacia Close,"3 Salacia Close, St Huberts Island, NSW 2257",2350000,"$2,350,000",house,3,3,2,,,-1.0,,WNWMIZ,inStyle Estate Agents Central Coast,,,15 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-139210067,St Huberts Island,NSW,2257,23 Cuttlefish Parade,"23 Cuttlefish Parade, St Huberts Island, NSW 2257",2550000,"$2,550,000",house,3,2,2,,,740.0,m²,,,,,08 Jun 2022,house,,740.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-138567931,St Huberts Island,NSW,2257,3 Weatherly Parade,"3 Weatherly Parade, St Huberts Island, NSW 2257",1200000,"$1,200,000",house,3,1,1,132,m²,696.0,m²,OSQXQV,Gittoes - East Gosford,,,17 Mar 2022,house,132,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-137406634,St Huberts Island,NSW,2257,124 Helmsman Blvd,"124 Helmsman Blvd, St Huberts Island, NSW 2257",1161800,"$1,161,800",house,3,2,3,,,615.0,m²,NIILOI,Central Coast Agents - ST HUBERTS ISLAND,,,18 Feb 2022,house,,615.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-138308118,St Huberts Island,NSW,2257,11 Attunga Close,"11 Attunga Close, St Huberts Island, NSW 2257",1400250,"$1,400,250",house,3,3,3,,,685.0,m²,XLSETT,McGrath - Ettalong Beach,,,30 Jan 2022,house,,685.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-137336886,St Huberts Island,NSW,2257,107 Helmsman Blvd,"107 Helmsman Blvd, St Huberts Island, NSW 2257",1930000,"$1,930,000",house,3,2,2,,,669.0,m²,NIILOI,Central Coast Agents - ST HUBERTS ISLAND,,,27 Sep 2021,house,,669.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-136231086,St Huberts Island,NSW,2257,21 Attunga Close,"21 Attunga Close, St Huberts Island, NSW 2257",1300000,"$1,300,000",house,3,2,4,,,-1.0,,XCEUMI,Wiseberry Peninsula - Umina Beach,,,28 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-135791398,St Huberts Island,NSW,2257,16 Marina View Parade,"16 Marina View Parade, St Huberts Island, NSW 2257",1800000,"$1,800,000",house,3,2,4,,,664.0,m²,EMREMP,Domain Property Group Central Coast - ETTALONG BEACH,,,26 Mar 2021,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-134177462,St Huberts Island,NSW,2257,11 Mercator Parade,"11 Mercator Parade, St Huberts Island, NSW 2257",1488000,"$1,488,000",house,3,2,2,,,664.0,m²,EMREMP,Domain Property Group Central Coast - ETTALONG BEACH,,,15 Oct 2020,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-134565742,St Huberts Island,NSW,2257,12 Marina View Parade,"12 Marina View Parade, St Huberts Island, NSW 2257",1063000,"$1,063,000",house,3,2,2,,,656.0,m²,EMREMP,Domain Property Group Central Coast - ETTALONG BEACH,,,14 Oct 2020,house,,656.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-134343762,St Huberts Island,NSW,2257,64 Helmsman Blvd,"64 Helmsman Blvd, St Huberts Island, NSW 2257",1410000,"$1,410,000",house,3,2,2,154,m²,575.0,m²,EMREMP,Domain Property Group Central Coast - ETTALONG BEACH,,,12 Oct 2020,house,154,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-133138778,St Huberts Island,NSW,2257,14 Attunga Close,"14 Attunga Close, St Huberts Island, NSW 2257",760000,"$760,000",house,3,2,1,,,-1.0,,XCEUMI,Wiseberry Peninsula - Umina Beach,,,24 Apr 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-133045778,St Huberts Island,NSW,2257,10 Skiff Place,"10 Skiff Place, St Huberts Island, NSW 2257",1150000,"$1,150,000",house,3,2,1,,,622.0,m²,XRHTER,McGrath - Terrigal,,,30 Mar 2020,house,,622.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-130955786,St Huberts Island,NSW,2257,31 Helmsman Blvd,"31 Helmsman Blvd, St Huberts Island, NSW 2257",1300000,"$1,300,000",house,3,3,2,,,683.0,m²,EMREMP,Domain Property Group Central Coast - ETTALONG BEACH,,,29 Oct 2019,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-130422714,St Huberts Island,NSW,2257,12 Nautilus Cresent,"12 Nautilus Cresent, St Huberts Island, NSW 2257",730000,"$730,000",house,3,2,6,,,575.0,m²,OSQXQV,Gittoes - East Gosford,,,27 May 2019,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-130537870,St Huberts Island,NSW,2257,14 Salacia Close,"14 Salacia Close, St Huberts Island, NSW 2257",1320000,"$1,320,000",house,3,2,1,,,658.0,m²,XLSETT,McGrath - Ettalong Beach,,,02 May 2019,house,,658.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-st+huberts+island-121815926,St Huberts Island,NSW,2257,2/19 Weatherly Parade,"2/19 Weatherly Parade, St Huberts Island, NSW 2257",520000,"$520,000",duplex-semi-detached,3,2,1,163,m²,315.0,m²,OSQXQV,Gittoes - East Gosford,,,10 Feb 2016,house,163,315.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-117403611,St Huberts Island,NSW,2257,13 Heron Place,"13 Heron Place, St Huberts Island, NSW 2257",930000,"$930,000",house,3,2,2,,,645.0,m²,PIRBMV,Prestige Properties - TERRIGAL,,,05 Nov 2014,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-137021638,St Huberts Island,NSW,2257,31 Cuttlefish Parade,"31 Cuttlefish Parade, St Huberts Island, NSW 2257",2540000,"$2,540,000",house,3,2,1,,,-1.0,,XCEUMI,Wiseberry Peninsula - Umina Beach,,,13 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-135860790,St Huberts Island,NSW,2257,16 Marina View Parade,"16 Marina View Parade, St Huberts Island, NSW 2257",1800000,"$1,800,000",house,3,2,4,,,664.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,26 Mar 2021,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-132115766,St Huberts Island,NSW,2257,19 Marina View Parade,"19 Marina View Parade, St Huberts Island, NSW 2257",980000,"$980,000",house,3,1,1,,,575.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,17 Dec 2020,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-135249146,St Huberts Island,NSW,2257,22 Attunga Close,"22 Attunga Close, St Huberts Island, NSW 2257",985000,"$985,000",house,3,2,1,,,683.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,04 Dec 2020,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-134888374,St Huberts Island,NSW,2257,30 Beachfront Parade,"30 Beachfront Parade, St Huberts Island, NSW 2257",1090000,"$1,090,000",house,3,2,2,,,750.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,28 Nov 2020,house,,750.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-134668146,St Huberts Island,NSW,2257,42 Beachfront Parade,"42 Beachfront Parade, St Huberts Island, NSW 2257",850000,"$850,000",house,3,1,2,,,789.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,17 Nov 2020,house,,789.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-134336498,St Huberts Island,NSW,2257,36 Beachfront Parade,"36 Beachfront Parade, St Huberts Island, NSW 2257",865000,"$865,000",house,3,2,2,,,777.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,28 Sep 2020,house,,777.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-133313238,St Huberts Island,NSW,2257,115 Helmsman Boulevard,"115 Helmsman Boulevard, St Huberts Island, NSW 2257",1180000,"$1,180,000",house,3,2,4,,,671.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,19 Aug 2020,house,,671.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-133924186,St Huberts Island,NSW,2257,94 Helmsman Boulevard,"94 Helmsman Boulevard, St Huberts Island, NSW 2257",1457000,"$1,457,000",house,3,2,2,,,955.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,20 Jul 2020,house,,955.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-133068242,St Huberts Island,NSW,2257,17 Marina View Pde,"17 Marina View Pde, St Huberts Island, NSW 2257",980000,"$980,000",house,3,2,3,,,-1.0,,CYLHTD,Coast Realty - Central Coast,,,06 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-131905114,St Huberts Island,NSW,2257,31 Helmsman Blvd,"31 Helmsman Blvd, St Huberts Island, NSW 2257",1300000,"$1,300,000",house,3,2,2,,,683.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,23 Oct 2019,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-131031822,St Huberts Island,NSW,2257,12 Discovery Street,"12 Discovery Street, St Huberts Island, NSW 2257",887000,"$887,000",house,3,2,2,,,695.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,13 Jun 2019,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-130177326,St Huberts Island,NSW,2257,75 Helmsman Bvd,"75 Helmsman Bvd, St Huberts Island, NSW 2257",750000,"$750,000",house,3,2,1,,,481.0,m²,CYLHTD,Coast Realty - Central Coast,,,22 Feb 2019,house,,481.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-128917246,St Huberts Island,NSW,2257,64 Helmsman Blvd,"64 Helmsman Blvd, St Huberts Island, NSW 2257",1310000,"$1,310,000",house,3,2,3,,,575.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,07 Feb 2019,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-129735822,St Huberts Island,NSW,2257,4 Long Arm Parade,"4 Long Arm Parade, St Huberts Island, NSW 2257",1015000,"$1,015,000",house,3,1,1,,,645.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,11 Dec 2018,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-126731954,St Huberts Island,NSW,2257,15 Sirius Street,"15 Sirius Street, St Huberts Island, NSW 2257",650000,"$650,000",house,3,1,2,,,346.0,m²,XRWDPT,Ray White - Woy Woy,,,19 Oct 2018,house,,346.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-128388634,St Huberts Island,NSW,2257,8 Helmsman Boulevard,"8 Helmsman Boulevard, St Huberts Island, NSW 2257",1310000,"$1,310,000",house,3,1,2,,,630.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,14 Sep 2018,house,,630.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-128503610,St Huberts Island,NSW,2257,41 Helmsman Boulevard,"41 Helmsman Boulevard, St Huberts Island, NSW 2257",1280000,"$1,280,000",house,3,2,2,,,664.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,16 Jul 2018,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-127638390,St Huberts Island,NSW,2257,4 Heron Place,"4 Heron Place, St Huberts Island, NSW 2257",1160000,"$1,160,000",house,3,2,1,,,-1.0,,GCZFWD,Richardson & Wrench - Umina Beach,,,16 May 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-128050618,St Huberts Island,NSW,2257,17 Long Arm Parade,"17 Long Arm Parade, St Huberts Island, NSW 2257",1760000,"$1,760,000",house,3,3,3,,,727.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,15 May 2018,house,,727.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-127930994,St Huberts Island,NSW,2257,4 Attunga Close,"4 Attunga Close, St Huberts Island, NSW 2257",1130000,"$1,130,000",house,3,2,3,,,685.0,m²,IRIWZP,Marc Matthews & Associates Real Estate - UMINA BEACH,,,20 Apr 2018,house,,685.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-115027235,St Huberts Island,NSW,2257,1 Long Arm Parade,"1 Long Arm Parade, St Huberts Island, NSW 2257",940000,"$940,000",house,3,1,3,,,740.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,20 Apr 2018,house,,740.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-127385150,St Huberts Island,NSW,2257,3 Salacia Close,"3 Salacia Close, St Huberts Island, NSW 2257",1400000,"$1,400,000",house,3,2,2,,,651.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,14 Mar 2018,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-127195322,St Huberts Island,NSW,2257,13 Heron Place,"13 Heron Place, St Huberts Island, NSW 2257",1420000,"$1,420,000",house,3,2,3,,,645.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,16 Jan 2018,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-125921342,St Huberts Island,NSW,2257,11 Heron Place,"11 Heron Place, St Huberts Island, NSW 2257",1380000,"$1,380,000",house,3,2,2,,,734.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,31 Aug 2017,house,,734.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-125838206,St Huberts Island,NSW,2257,37 Marina View Parade,"37 Marina View Parade, St Huberts Island, NSW 2257",840000,"$840,000",house,3,2,2,,,575.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,10 Aug 2017,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-125456598,St Huberts Island,NSW,2257,18 Nautilus Crescent,"18 Nautilus Crescent, St Huberts Island, NSW 2257",750000,"$750,000",house,3,2,2,,,575.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,04 Jul 2017,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-125188414,St Huberts Island,NSW,2257,136 Helmsman Boulevard,"136 Helmsman Boulevard, St Huberts Island, NSW 2257",790000,"$790,000",house,3,2,2,,,-1.0,,ABCSRU,Raine & Horne - Umina Beach & Woy Woy  ,,,03 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-125741686,St Huberts Island,NSW,2257,19 Salacia Close,"19 Salacia Close, St Huberts Island, NSW 2257",1400000,"$1,400,000",house,3,2,2,,,-1.0,,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,02 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-124086278,St Huberts Island,NSW,2257,27 Nautilus Crescent,"27 Nautilus Crescent, St Huberts Island, NSW 2257",1246000,"$1,246,000",house,3,2,1,,,645.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,25 Jan 2017,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-123833434,St Huberts Island,NSW,2257,42 Beachfront Parade,"42 Beachfront Parade, St Huberts Island, NSW 2257",775000,"$775,000",house,3,1,1,,,-1.0,,,,,,13 Oct 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-123121306,St Huberts Island,NSW,2257,11 Helmsman Boulevard,"11 Helmsman Boulevard, St Huberts Island, NSW 2257",1115000,"$1,115,000",house,3,2,4,,,695.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,08 Aug 2016,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-122905238,St Huberts Island,NSW,2257,13 Mercator Parade,"13 Mercator Parade, St Huberts Island, NSW 2257",1160000,"$1,160,000",house,3,2,2,,,663.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,22 Jul 2016,house,,663.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-120552677,St Huberts Island,NSW,2257,67 Helmsman Boulevard,"67 Helmsman Boulevard, St Huberts Island, NSW 2257",740000,"$740,000",house,3,1,2,,,904.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,23 May 2016,house,,904.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-121642878,St Huberts Island,NSW,2257,14 Salacia Close,"14 Salacia Close, St Huberts Island, NSW 2257",1060000,"$1,060,000",house,3,2,1,,,658.0,m²,XLSETT,McGrath - Ettalong Beach,,,23 Feb 2016,house,,658.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-121433778,St Huberts Island,NSW,2257,11 Heron Place,"11 Heron Place, St Huberts Island, NSW 2257",970000,"$970,000",house,3,2,2,,,733.0,m²,XFNETT,G L Jackson & Co First National - Ettalong Beach,,,17 Dec 2015,house,,733.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-121145650,St Huberts Island,NSW,2257,4 Mercator Parade,"4 Mercator Parade, St Huberts Island, NSW 2257",1265000,"$1,265,000",house,3,3,2,,,-1.0,,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,30 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-119139155,St Huberts Island,NSW,2257,83 Helmsman Boulevard,"83 Helmsman Boulevard, St Huberts Island, NSW 2257",609000,"$609,000",house,3,2,2,,,611.0,m²,,,,,07 Jul 2015,house,,611.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-119979045,St Huberts Island,NSW,2257,41 Nautilus Crescent,"41 Nautilus Crescent, St Huberts Island, NSW 2257",1150000,"$1,150,000",house,3,2,2,,,-1.0,,,,,,09 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-118013175,St Huberts Island,NSW,2257,25 Salacia Close,"25 Salacia Close, St Huberts Island, NSW 2257",1075000,"$1,075,000",house,3,2,2,,,676.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,01 May 2015,house,,676.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-119185695,St Huberts Island,NSW,2257,75 Helmsman Boulevard,"75 Helmsman Boulevard, St Huberts Island, NSW 2257",620000,"$620,000",house,3,1,2,,,480.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,24 Apr 2015,house,,480.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-118960767,St Huberts Island,NSW,2257,22 Attunga Close,"22 Attunga Close, St Huberts Island, NSW 2257",760000,"$760,000",house,3,2,1,,,683.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,27 Mar 2015,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-118056859,St Huberts Island,NSW,2257,105 Helmsman Boulevard,"105 Helmsman Boulevard, St Huberts Island, NSW 2257",872000,"$872,000",house,3,2,2,,,660.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,24 Dec 2014,house,,660.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-118652899,St Huberts Island,NSW,2257,4 Attunga Close,"4 Attunga Close, St Huberts Island, NSW 2257",645000,"$645,000",house,3,2,4,,,685.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,15 Dec 2014,house,,685.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+huberts+island-118539955,St Huberts Island,NSW,2257,28 Beachfront Parade,"28 Beachfront Parade, St Huberts Island, NSW 2257",715000,"$715,000",house,3,2,2,,,750.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,09 Dec 2014,house,,750.0
