badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-119132551,St Johns Park,NSW,2176,2 Buranda Avenue,"2 Buranda Avenue, St Johns Park, NSW 2176",550000,"$550,000",house,0,2,2,,,-1.0,,KUWQEI,Richardson & Wrench Hinchinbrook/Hoxton Park,,,19 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-123240302,St Johns Park,NSW,2176,29 St Kilda Street,"29 St Kilda Street, St Johns Park, NSW 2176",812500,"$812,500",house,2,2,1,,,588.0,m²,EQMGZA,United Agents Property Group - WEST HOXTON,,,07 Sep 2016,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-115918583,St Johns Park,NSW,2176,79 Humphries Road,"79 Humphries Road, St Johns Park, NSW 2176",585000,"$585,000",house,2,1,1,,,-1.0,,,,,,24 Jun 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-106311423,St Johns Park,NSW,2176,,,365000,"$365,000",house,2,1,1,,,-1.0,,,,,,06 Mar 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-141046180,St Johns Park,NSW,2176,94 Melbourne Road,"94 Melbourne Road, St Johns Park, NSW 2176",1030000,"$1,030,000",house,3,2,2,,,556.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,02 Jan 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-140654023,St Johns Park,NSW,2176,26 Brisbane Road,"26 Brisbane Road, St Johns Park, NSW 2176",1100000,"$1,100,000",house,3,2,4,,,630.0,m²,HFOROI,GIA Realty - BONNYRIGG,,,12 Nov 2022,house,,630.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-140225475,St Johns Park,NSW,2176,20 Broadmeadows Street,"20 Broadmeadows Street, St Johns Park, NSW 2176",1007000,"$1,007,000",house,3,1,1,,,551.0,m²,HRXGDD,J Nguyen Property Agents - CANLEY VALE,,,13 Sep 2022,house,,551.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-140017263,St Johns Park,NSW,2176,9 Carina Place,"9 Carina Place, St Johns Park, NSW 2176",1130000,"$1,130,000",house,3,1,1,,,553.4,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,27 Aug 2022,house,,553.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-138659419,St Johns Park,NSW,2176,167 Humphries Road,"167 Humphries Road, St Johns Park, NSW 2176",1302000,"$1,302,000",house,3,1,2,,,558.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,26 Mar 2022,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-138478799,St Johns Park,NSW,2176,134 Humphries Road,"134 Humphries Road, St Johns Park, NSW 2176",1150000,"$1,150,000",house,3,1,1,,,553.5,m²,SFGPCG,Laing Simmons West Hoxton - Austral,,,12 Mar 2022,house,,553.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+johns+park-138564991,St Johns Park,NSW,2176,8 Footscray Street,"8 Footscray Street, St Johns Park, NSW 2176",1110000,"$1,110,000",house,3,1,1,,,550.0,m²,XNBZVH,LJ Hooker - Fairfield,,,12 Mar 2022,house,,550.0
