badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-st+peters-105584262,St Peters,NSW,2044,,,425000,"$425,000",warehouse,0,1,0,147,m²,-1.0,,,,,,11 Jun 2009,house,147,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-132861050,St Peters,NSW,2044,21 Frederick Street,"21 Frederick Street, St Peters, NSW 2044",940000,"$940,000",house,1,1,0,,,-1.0,,PZQRAN,Harcourts Byrnes Marsh Shaw - RANDWICK,,,22 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-136556698,St Peters,NSW,2044,39 Frederick Street,"39 Frederick Street, St Peters, NSW 2044",1178000,"$1,178,000",house,1,1,0,,,145.0,m²,LYPDUR,Planet Properties - Croydon,,,01 Jul 2021,house,,145.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-107985751,St Peters,NSW,2044,55 Mary Street,"55 Mary Street, St Peters, NSW 2044",580000,"$580,000",house,1,1,0,,,-1.0,,YOYWNU,Raine & Horne - Marrickville,,,19 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-105117669,St Peters,NSW,2044,7 Applebee Street,"7 Applebee Street, St Peters, NSW 2044",790000,"$790,000",house,1,2,2,,,-1.0,,,,,,13 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-109802931,St Peters,NSW,2044,10 Goodsell Street,"10 Goodsell Street, St Peters, NSW 2044",,Contact agent,house,1,1,4,,,-1.0,,CQVSYD,Colliers International Residential - Sydney,,,29 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-122620978,St Peters,NSW,2044,70 Goodsell St,"70 Goodsell St, St Peters, NSW 2044",930000,"$930,000",house,1,1,0,,,-1.0,,GEVLEI,Gerard Partners Real Estate - Leichhardt,,,06 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-109453336,St Peters,NSW,2044,18 Florence st,"18 Florence st, St Peters, NSW 2044",,Contact agent,house,1,1,0,,,-1.0,,GEVLEI,Gerard Partners Real Estate - Leichhardt,,,01 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-st+peters-106731506,St Peters,NSW,2044,18 Florence Street,"18 Florence Street, St Peters, NSW 2044",550000,"$550,000",terrace,1,1,0,,,-1.0,,XRWNEY,Ray White (IW Group),,,19 Aug 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-105958319,St Peters,NSW,2044,49 Brown Street,"49 Brown Street, St Peters, NSW 2044",,Contact agent,house,1,1,0,,,-1.0,,XRWNEY,Ray White (IW Group),,,19 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-st+peters-105919205,St Peters,NSW,2044,12 Florence Street,"12 Florence Street, St Peters, NSW 2044",485000,"$485,000",house,1,1,0,,,-1.0,,XRWNEY,Ray White (IW Group),,,03 Sep 2009,house,,-1.0
