badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-136668618,Stanwell Park,NSW,2508,10-14 Lawrence Hargrave Drive,"10-14 Lawrence Hargrave Drive, Stanwell Park, NSW 2508",976000,"$976,000",house,1,1,2,,,3699.0,m²,VJSMGZ,Raine & Horne - Helensburgh,,,13 Jul 2021,house,,3699.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-121712418,Stanwell Park,NSW,2508,3 Lower Coast Road,"3 Lower Coast Road, Stanwell Park, NSW 2508",905000,"$905,000",house,1,1,0,,,950.0,m²,XLSMIR,Laing+Simmons - Miranda,,,25 Feb 2016,house,,950.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-120076829,Stanwell Park,NSW,2508,56A Lower Coast Road,"56A Lower Coast Road, Stanwell Park, NSW 2508",1150000,"$1,150,000",house,1,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,25 Jul 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-stanwell+park-111846583,Stanwell Park,NSW,2508,1/34 Beach Road,"1/34 Beach Road, Stanwell Park, NSW 2508",421500,"$421,500",duplex-semi-detached,1,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,16 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-120271397,Stanwell Park,NSW,2508,44 Chellow Dene Avenue,"44 Chellow Dene Avenue, Stanwell Park, NSW 2508",,Contact agent,house,1,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,18 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-119408619,Stanwell Park,NSW,2508,103-107 The Drive,"103-107 The Drive, Stanwell Park, NSW 2508",,Contact agent,house,1,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,03 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-105795741,Stanwell Park,NSW,2508,52 Lawrence Hargrave Drive,"52 Lawrence Hargrave Drive, Stanwell Park, NSW 2508",,Contact agent,house,1,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,08 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-140010431,Stanwell Park,NSW,2508,31 Stanwell Avenue,"31 Stanwell Avenue, Stanwell Park, NSW 2508",5000000,"$5,000,000",house,2,1,2,,,1372.0,m²,XRWHEB,Ray White - Helensburgh,,,03 Sep 2022,house,,1372.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-124794806,Stanwell Park,NSW,2508,13 Murrawal Road,"13 Murrawal Road, Stanwell Park, NSW 2508",1050000,"$1,050,000",house,2,1,1,,,746.0,m²,FLVFJQ,Belle Property - Illawarra,,,26 Apr 2017,house,,746.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-123440718,Stanwell Park,NSW,2508,2/52 Stanwell Avenue,"2/52 Stanwell Avenue, Stanwell Park, NSW 2508",790000,"$790,000",house,2,1,1,,,344.0,m²,FLVFJQ,Belle Property - Illawarra,,,23 Sep 2016,house,,344.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-114793563,Stanwell Park,NSW,2508,1 The Drive,"1 The Drive, Stanwell Park, NSW 2508",625000,"$625,000",house,2,2,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,28 Oct 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-114279723,Stanwell Park,NSW,2508,13 Railway Cresent,"13 Railway Cresent, Stanwell Park, NSW 2508",590000,"$590,000",house,2,1,2,,,556.0,m²,,,,,18 Oct 2013,house,,556.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-stanwell+park-114120931,Stanwell Park,NSW,2508,5a The Drive,"5a The Drive, Stanwell Park, NSW 2508",510000,"$510,000",duplex-semi-detached,2,1,1,,,358.0,m²,NCOFLL,The Agency - Illawarra,,,29 Jul 2013,house,,358.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-114081935,Stanwell Park,NSW,2508,58 The Drive,"58 The Drive, Stanwell Park, NSW 2508",918000,"$918,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,13 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-111740391,Stanwell Park,NSW,2508,98-100 Lawrence Hargrave Dr,"98-100 Lawrence Hargrave Dr, Stanwell Park, NSW 2508",800000,"$800,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,27 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-112859255,Stanwell Park,NSW,2508,1 Hillside Crescent,"1 Hillside Crescent, Stanwell Park, NSW 2508",650000,"$650,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,10 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-107441355,Stanwell Park,NSW,2508,52B Lawrence Hargrave Dr,"52B Lawrence Hargrave Dr, Stanwell Park, NSW 2508",805000,"$805,000",house,2,2,6,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,20 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-107453168,Stanwell Park,NSW,2508,22 The Drive,"22 The Drive, Stanwell Park, NSW 2508",655000,"$655,000",house,2,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,28 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-106221015,Stanwell Park,NSW,2508,2/52 Stanwell Avenue,"2/52 Stanwell Avenue, Stanwell Park, NSW 2508",545000,"$545,000",house,2,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,13 Apr 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-105357586,Stanwell Park,NSW,2508,22 The Drive,"22 The Drive, Stanwell Park, NSW 2508",545000,"$545,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,17 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-106355968,Stanwell Park,NSW,2508,52b Lawrence Hargrave Drive,"52b Lawrence Hargrave Drive, Stanwell Park, NSW 2508",,Contact agent,house,2,3,9,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-106546437,Stanwell Park,NSW,2508,52b Lawrence Hargrave Drive,"52b Lawrence Hargrave Drive, Stanwell Park, NSW 2508",,Contact agent,house,2,3,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-stanwell+park-106329220,Stanwell Park,NSW,2508,2/66 Stanwell Avenue,"2/66 Stanwell Avenue, Stanwell Park, NSW 2508",,Contact agent,duplex-semi-detached,2,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-140368063,Stanwell Park,NSW,2508,57 The Drive,"57 The Drive, Stanwell Park, NSW 2508",2150000,"$2,150,000",house,3,2,1,,,790.4,m²,XRWHEB,Ray White - Helensburgh,,,04 Oct 2022,house,,790.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-139766503,Stanwell Park,NSW,2508,4 Cassandra Place,"4 Cassandra Place, Stanwell Park, NSW 2508",1450000,"$1,450,000",house,3,2,1,,,557.4,m²,XRWHEB,Ray White - Helensburgh,,,16 Aug 2022,house,,557.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-139197175,Stanwell Park,NSW,2508,35 Sheridan Crescent,"35 Sheridan Crescent, Stanwell Park, NSW 2508",1675000,"$1,675,000",house,3,2,2,,,581.6,m²,XRWHEB,Ray White - Helensburgh,,,27 May 2022,house,,581.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-137492478,Stanwell Park,NSW,2508,8/14 Station Street,"8/14 Station Street, Stanwell Park, NSW 2508",1680000,"$1,680,000",house,3,2,2,,,-1.0,,MBSDRI,McGrath - Thirroul,,,06 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-137061898,Stanwell Park,NSW,2508,7 Murrawal Road,"7 Murrawal Road, Stanwell Park, NSW 2508",1915500,"$1,915,500",house,3,2,1,,,533.0,m²,XRWHEB,Ray White - Helensburgh,,,31 Aug 2021,house,,533.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-136817042,Stanwell Park,NSW,2508,107B The Drive,"107B The Drive, Stanwell Park, NSW 2508",3775000,"$3,775,000",house,3,2,3,,,330.0,m²,MBSDRI,McGrath - Thirroul,,,14 Aug 2021,house,,330.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-134790558,Stanwell Park,NSW,2508,59 Lower Coast Road,"59 Lower Coast Road, Stanwell Park, NSW 2508",2000000,"$2,000,000",house,3,2,1,,,725.0,m²,MBSDRI,McGrath - Thirroul,,,20 Nov 2020,house,,725.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-134077082,Stanwell Park,NSW,2508,24 Old Coast Road,"24 Old Coast Road, Stanwell Park, NSW 2508",915000,"$915,000",house,3,1,0,,,571.0,m²,XRWHEB,Ray White - Helensburgh,,,29 Oct 2020,house,,571.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-133928246,Stanwell Park,NSW,2508,1 Murrawal Road,"1 Murrawal Road, Stanwell Park, NSW 2508",1200000,"$1,200,000",house,3,2,3,,,814.0,m²,XRWHEB,Ray White - Helensburgh,,,14 Aug 2020,house,,814.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-stanwell+park-133711206,Stanwell Park,NSW,2508,11A The Drive,"11A The Drive, Stanwell Park, NSW 2508",1150000,"$1,150,000",duplex-semi-detached,3,2,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,24 Jun 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-133038434,Stanwell Park,NSW,2508,101-103 Lawrence Hargrave Dr,"101-103 Lawrence Hargrave Dr, Stanwell Park, NSW 2508",1200000,"$1,200,000",house,3,2,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,25 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-stanwell+park-127957362,Stanwell Park,NSW,2508,6/14 Station Street,"6/14 Station Street, Stanwell Park, NSW 2508",930000,"$930,000",duplex-semi-detached,3,2,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,20 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-132385166,Stanwell Park,NSW,2508,38 Chellow Dene Avenue,"38 Chellow Dene Avenue, Stanwell Park, NSW 2508",1077500,"$1,077,500",house,3,1,2,102,m²,-1.0,,XRWHEB,Ray White - Helensburgh,,,02 Dec 2019,house,102,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-132395674,Stanwell Park,NSW,2508,30 Beach Road,"30 Beach Road, Stanwell Park, NSW 2508",1450000,"$1,450,000",house,3,2,2,145,m²,1045.0,m²,VJSMGZ,Raine & Horne - Helensburgh,,,15 Nov 2019,house,145,1045.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-131394690,Stanwell Park,NSW,2508,79 The Drive,"79 The Drive, Stanwell Park, NSW 2508",1325000,"$1,325,000",house,3,3,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,10 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-stanwell+park-130689810,Stanwell Park,NSW,2508,11B The Drive,"11B The Drive, Stanwell Park, NSW 2508",1060000,"$1,060,000",duplex-semi-detached,3,2,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,02 Jul 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-127974218,Stanwell Park,NSW,2508,5 Old Coast Road,"5 Old Coast Road, Stanwell Park, NSW 2508",1320000,"$1,320,000",house,3,2,3,,,3721.0,m²,XRWHEB,Ray White - Helensburgh,,,04 May 2018,house,,3721.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-126989882,Stanwell Park,NSW,2508,15 Old Coast Road,"15 Old Coast Road, Stanwell Park, NSW 2508",1190000,"$1,190,000",house,3,2,1,164,m²,888.0,m²,MBSDRI,McGrath - Thirroul,,,23 Jan 2018,house,164,888.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-126738594,Stanwell Park,NSW,2508,14 Lower Coast Road,"14 Lower Coast Road, Stanwell Park, NSW 2508",1600000,"$1,600,000",house,3,3,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,24 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-123309030,Stanwell Park,NSW,2508,28 Old Coast Road,"28 Old Coast Road, Stanwell Park, NSW 2508",878000,"$878,000",house,3,1,2,,,587.0,m²,FLVFJQ,Belle Property - Illawarra,,,23 Nov 2016,house,,587.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-123765318,Stanwell Park,NSW,2508,48 Lower Coast Road,"48 Lower Coast Road, Stanwell Park, NSW 2508",1695000,"$1,695,000",house,3,2,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,27 Oct 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-121002522,Stanwell Park,NSW,2508,22 Old Coast Road,"22 Old Coast Road, Stanwell Park, NSW 2508",870000,"$870,000",house,3,1,4,122,m²,507.0,m²,FLVFJQ,Belle Property - Illawarra,,,30 Nov 2015,house,122,507.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-120804449,Stanwell Park,NSW,2508,28 Old Coast Road,"28 Old Coast Road, Stanwell Park, NSW 2508",842000,"$842,000",house,3,1,2,125,m²,587.0,m²,FLVFJQ,Belle Property - Illawarra,,,01 Oct 2015,house,125,587.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-137591262,Stanwell Park,NSW,2508,26 The Drive,"26 The Drive, Stanwell Park, NSW 2508",1900000,"$1,900,000",house,3,2,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,21 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-132373418,Stanwell Park,NSW,2508,14 Beach Road,"14 Beach Road, Stanwell Park, NSW 2508",1260000,"$1,260,000",house,3,1,1,,,651.0,m²,VJSMGZ,Raine & Horne - Helensburgh,,,05 Nov 2019,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-124900482,Stanwell Park,NSW,2508,12 Murrawal Road,"12 Murrawal Road, Stanwell Park, NSW 2508",1720000,"$1,720,000",house,3,2,1,,,-1.0,,EJSHEN,Realty Way,,,27 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+park-123924358,Stanwell Park,NSW,2508,11 Sheridan Crescent,"11 Sheridan Crescent, Stanwell Park, NSW 2508",1100000,"$1,100,000",house,3,2,1,,,-1.0,,EJSHEN,Realty Way,,,16 Nov 2016,house,,-1.0
