badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-105165476,Stanwell Tops,NSW,2508,,,,Contact agent,house,1,1,1,,,-1.0,,,,,,09 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-139386451,Stanwell Tops,NSW,2508,36b Bendena Gardens,"36b Bendena Gardens, Stanwell Tops, NSW 2508",1100000,"$1,100,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,26 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-123044990,Stanwell Tops,NSW,2508,36b Bendena Gardens,"36b Bendena Gardens, Stanwell Tops, NSW 2508",695500,"$695,500",house,2,1,1,,,289.0,m²,FLVFJQ,Belle Property - Illawarra,,,14 Jul 2016,house,,289.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-122561134,Stanwell Tops,NSW,2508,32 Southview Avenue,"32 Southview Avenue, Stanwell Tops, NSW 2508",680000,"$680,000",house,2,2,2,,,929.5,m²,FLVFJQ,Belle Property - Illawarra,,,28 May 2016,house,,929.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-114697815,Stanwell Tops,NSW,2508,13 Stonehaven Road,"13 Stonehaven Road, Stanwell Tops, NSW 2508",590000,"$590,000",house,2,1,3,161.7,m²,680.0,m²,NCOFLL,The Agency - Illawarra,,,17 Sep 2013,house,161.7,680.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-105933006,Stanwell Tops,NSW,2508,30 Stonehaven Road,"30 Stonehaven Road, Stanwell Tops, NSW 2508",490000,"$490,000",house,2,1,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,18 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-105776464,Stanwell Tops,NSW,2508,4a Longview Crescent,"4a Longview Crescent, Stanwell Tops, NSW 2508",,Contact agent,house,2,1,1,,,-1.0,,,,,,15 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-140706947,Stanwell Tops,NSW,2508,33 Annesley Avenue,"33 Annesley Avenue, Stanwell Tops, NSW 2508",1220000,"$1,220,000",house,3,1,4,,,892.0,m²,XRWHEB,Ray White - Helensburgh,,,19 Jan 2023,house,,892.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-140562279,Stanwell Tops,NSW,2508,26 Southview Avenue,"26 Southview Avenue, Stanwell Tops, NSW 2508",1400000,"$1,400,000",house,3,2,1,,,1190.0,m²,XRWHEB,Ray White - Helensburgh,,,21 Oct 2022,house,,1190.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-140201623,Stanwell Tops,NSW,2508,18 Plateau Road,"18 Plateau Road, Stanwell Tops, NSW 2508",1330000,"$1,330,000",house,3,1,1,,,804.0,m²,XRWHEB,Ray White - Helensburgh,,,17 Sep 2022,house,,804.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-139198159,Stanwell Tops,NSW,2508,22 Longview Crescent,"22 Longview Crescent, Stanwell Tops, NSW 2508",1900000,"$1,900,000",house,3,3,4,,,815.0,m²,VJSMGZ,Raine & Horne - Helensburgh,,,07 Jun 2022,house,,815.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-136469414,Stanwell Tops,NSW,2508,3 Southview Avenue,"3 Southview Avenue, Stanwell Tops, NSW 2508",3550000,"$3,550,000",house,3,3,2,292,m²,1044.0,m²,VJSMGZ,Raine & Horne - Helensburgh,,,04 Nov 2021,house,292,1044.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-135600730,Stanwell Tops,NSW,2508,8 Annesley Avenue,"8 Annesley Avenue, Stanwell Tops, NSW 2508",1160000,"$1,160,000",house,3,1,2,,,696.0,m²,XRWHEB,Ray White - Helensburgh,,,19 Mar 2021,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-stanwell+tops-132953814,Stanwell Tops,NSW,2508,22 Plateau Road,"22 Plateau Road, Stanwell Tops, NSW 2508",890000,"$890,000",house,3,2,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,27 Feb 2020,house,,-1.0
