badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-strathfield+south-113382251,Strathfield South,NSW,2136,142 Dean Street,"142 Dean Street, Strathfield South, NSW 2136",506000,"$506,000",duplex-semi-detached,1,1,0,,,-1.0,,NIMBUR,Begetis Estate Agents,,,11 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-strathfield+south-122781082,Strathfield South,NSW,2136,5 Pilcher Street,"5 Pilcher Street, Strathfield South, NSW 2136",1100000,"$1,100,000",warehouse,1,1,10,,,-1.0,,RILCRO,Rich and Oliva - Real Estate ,,,21 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-141845032,Strathfield South,NSW,2136,26 The Causeway,"26 The Causeway, Strathfield South, NSW 2136",1890000,"$1,890,000",house,2,1,3,,,455.0,m²,STRSTR,Strathfield Partners - Strathfield,,,29 Apr 2023,house,,455.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-strathfield+south-140869776,Strathfield South,NSW,2136,29 Brooklyn Street,"29 Brooklyn Street, Strathfield South, NSW 2136",1235000,"$1,235,000",duplex-semi-detached,2,1,1,,,355.0,m²,VSETZG,Richard Matthews Real Estate - Strathfield,,,11 Dec 2022,house,,355.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-140745015,Strathfield South,NSW,2136,30 Chiswick Street,"30 Chiswick Street, Strathfield South, NSW 2136",1700088,"$1,700,088",house,2,1,3,,,556.4,m²,VSETZG,Richard Matthews Real Estate - Strathfield,,,26 Nov 2022,house,,556.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-140178247,Strathfield South,NSW,2136,4 Mcencroe Street,"4 Mcencroe Street, Strathfield South, NSW 2136",1650000,"$1,650,000",house,2,1,2,,,474.2,m²,VSETZG,Richard Matthews Real Estate - Strathfield,,,17 Sep 2022,house,,474.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-137414142,Strathfield South,NSW,2136,294 Homebush Road,"294 Homebush Road, Strathfield South, NSW 2136",1366000,"$1,366,000",house,2,1,1,,,380.0,m²,XSFSTR,Devine Real Estate - Strathfield,,,16 Oct 2021,house,,380.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-137174438,Strathfield South,NSW,2136,4A Maria Street,"4A Maria Street, Strathfield South, NSW 2136",1621000,"$1,621,000",house,2,1,2,,,312.0,m²,XRWDRU,Ray White - Drummoyne,,,02 Oct 2021,house,,312.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-128774682,Strathfield South,NSW,2136,39 Anselm Street,"39 Anselm Street, Strathfield South, NSW 2136",1100000,"$1,100,000",house,2,2,3,,,-1.0,,ELDENF,Elders Inner West,,,09 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-126097750,Strathfield South,NSW,2136,108 Dean Street,"108 Dean Street, Strathfield South, NSW 2136",1300000,"$1,300,000",house,2,1,1,,,580.0,m²,ELDENF,Elders Inner West,,,18 Dec 2017,house,,580.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-123013566,Strathfield South,NSW,2136,24 Chiswick Street,"24 Chiswick Street, Strathfield South, NSW 2136",1335000,"$1,335,000",house,2,1,1,,,577.0,m²,ELDENF,Elders Inner West,,,30 Jul 2016,house,,577.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-122060794,Strathfield South,NSW,2136,6/20 Fitzgerald Crescent,"6/20 Fitzgerald Crescent, Strathfield South, NSW 2136",620000,"$620,000",house,2,2,2,,,-1.0,,WZIXNT,Raine & Horne - Southern Highlands,,,11 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-strathfield+south-122108962,Strathfield South,NSW,2136,16 Therry Street East,"16 Therry Street East, Strathfield South, NSW 2136",1195000,"$1,195,000",duplex-semi-detached,2,2,4,,,-1.0,,ELDENF,Elders Inner West,,,09 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-strathfield+south-141912940,Strathfield South,NSW,2136,25/25-29 ANSELM STREET,"25/25-29 ANSELM STREET, Strathfield South, NSW 2136",580000,"$580,000",house,2,1,1,,,-1.0,,XNTSTR,Richardson & Wrench - Strathfield,,,12 Apr 2023,house,,-1.0
