badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-135274814,Summerland Point,NSW,2259,16 Kapala Avenue,"16 Kapala Avenue, Summerland Point, NSW 2259",395000,"$395,000",house,1,1,1,,,512.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,09 Feb 2021,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-125999542,Summerland Point,NSW,2259,10 Kapala Avenue,"10 Kapala Avenue, Summerland Point, NSW 2259",378000,"$378,000",house,1,1,1,,,512.0,m²,,,,,13 Dec 2017,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-123382670,Summerland Point,NSW,2259,4 Bambara Avenue,"4 Bambara Avenue, Summerland Point, NSW 2259",397000,"$397,000",house,1,1,2,,,689.0,m²,DOWMOR,Wilson Britten - Morisset,,,01 Dec 2016,house,,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-122044434,Summerland Point,NSW,2259,16 Kapala Avenue,"16 Kapala Avenue, Summerland Point, NSW 2259",291000,"$291,000",house,1,1,1,,,512.0,m²,YHJXZO,Triple Lakes Real Estate - Summerland Point,,,16 Mar 2016,house,,512.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-summerland+point-105924789,Summerland Point,NSW,2259,,,465000,"$465,000",residential-other,1,1,3,,,-1.0,,YHJXZO,Triple Lakes Real Estate - Summerland Point,,,02 Oct 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-109931191,Summerland Point,NSW,2259,18 Kapala Avenue,"18 Kapala Avenue, Summerland Point, NSW 2259",200000,"$200,000",house,1,1,2,,,512.0,m²,RBBSUM,The Property Market Lake Macquarie - GWANDALAN,,,28 Feb 2013,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-107670066,Summerland Point,NSW,2259,30 Summerland Road,"30 Summerland Road, Summerland Point, NSW 2259",576000,"$576,000",house,1,1,0,,,-1.0,,YHJXZO,Triple Lakes Real Estate - Summerland Point,,,17 Sep 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-106927753,Summerland Point,NSW,2259,19 Nirringa Road,"19 Nirringa Road, Summerland Point, NSW 2259",175000,"$175,000",house,1,1,2,,,512.0,m²,RBBSUM,The Property Market Lake Macquarie - GWANDALAN,,,21 Jul 2011,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-105098178,Summerland Point,NSW,2259,,,215000,"$215,000",house,1,1,1,,,689.0,m²,DOWMOR,Wilson Britten - Morisset,,,20 Feb 2009,house,,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-summerland+point-103797384,Summerland Point,NSW,2259,8 Tarwari Street,"8 Tarwari Street, Summerland Point, NSW 2259",200000,"$200,000",house,1,1,2,,,512.0,m²,DOWMOR,Wilson Britten - Morisset,,,24 Feb 2007,house,,512.0
